step_time,total_stopped,total_wait_time
7.0,0,0.0
14.0,3,3.0
21.0,6,42.0
28.0,6,84.0
35.0,14,129.0
42.0,15,228.0
49.0,22,369.0
56.0,24,529.0
63.0,28,667.0
70.0,29,864.0
77.0,38,1112.0
84.0,31,1089.0
91.0,23,987.0
98.0,25,1070.0
105.0,38,1302.0
112.0,33,1255.0
119.0,32,1124.0
126.0,27,979.0
133.0,23,839.0
140.0,22,686.0
147.0,24,636.0
154.0,27,663.0
161.0,36,885.0
168.0,31,940.0
175.0,28,924.0
182.0,29,955.0
189.0,22,800.0
196.0,33,794.0
203.0,35,1033.0
210.0,42,1310.0
217.0,36,1468.0
224.0,37,1602.0
231.0,37,1830.0
238.0,37,1902.0
245.0,42,2132.0
252.0,44,2437.0
259.0,46,2635.0
266.0,46,2951.0
273.0,50,3293.0
280.0,52,3655.0
287.0,46,3843.0
294.0,42,3951.0
301.0,47,4259.0
308.0,51,4612.0
315.0,52,4858.0
322.0,53,5229.0
329.0,57,5610.0
336.0,57,5969.0
343.0,61,6382.0
350.0,51,5951.0
357.0,47,4942.0
364.0,30,4920.0
371.0,24,4727.0
378.0,31,4735.0
385.0,47,5006.0
392.0,53,5266.0
399.0,61,5662.0
406.0,63,6102.0
413.0,58,5607.0
420.0,50,4716.0
427.0,42,4607.0
434.0,52,4930.0
441.0,52,4494.0
448.0,50,3581.0
455.0,40,3226.0
462.0,36,2871.0
469.0,35,2907.0
476.0,47,3191.0
483.0,46,2915.0
490.0,46,2863.0
497.0,37,2615.0
504.0,35,2197.0
511.0,26,1994.0
518.0,40,1890.0
525.0,43,1944.0
532.0,38,1962.0
539.0,33,1809.0
546.0,28,1447.0
553.0,30,1378.0
560.0,41,1608.0
567.0,48,1754.0
574.0,53,2062.0
581.0,53,2175.0
588.0,40,2156.0
595.0,35,1910.0
602.0,31,1672.0
609.0,32,1437.0
616.0,35,1541.0
623.0,46,1825.0
630.0,56,2191.0
637.0,63,2608.0
644.0,60,2826.0
651.0,62,3176.0
658.0,68,3637.0
665.0,69,4116.0
672.0,63,4108.0
679.0,55,3883.0
686.0,49,4224.0
693.0,58,4585.0
700.0,56,4551.0
707.0,52,4361.0
714.0,41,4405.0
721.0,52,4707.0
728.0,51,4498.0
735.0,48,4010.0
742.0,32,3724.0
749.0,26,3365.0
756.0,28,3255.0
763.0,45,3516.0
770.0,47,3257.0
777.0,47,2811.0
784.0,31,2707.0
791.0,30,2598.0
798.0,35,2733.0
805.0,51,3048.0
812.0,50,2831.0
819.0,50,2305.0
826.0,41,1975.0
833.0,47,2153.0
840.0,55,2508.0
847.0,53,2716.0
854.0,51,2870.0
861.0,54,3168.0
868.0,46,3088.0
875.0,41,2749.0
882.0,27,2831.0
889.0,38,3060.0
896.0,50,3373.0
903.0,49,3344.0
910.0,44,3074.0
917.0,40,3282.0
924.0,48,3592.0
931.0,63,3999.0
938.0,59,3677.0
945.0,53,3216.0
952.0,55,2953.0
959.0,63,3287.0
966.0,55,3320.0
973.0,49,3185.0
980.0,45,3432.0
987.0,53,3777.0
994.0,59,4063.0
1001.0,68,4522.0
1008.0,69,5005.0
1015.0,73,5464.0
1022.0,73,5975.0
1029.0,66,6017.0
1036.0,58,5854.0
1043.0,49,6133.0
1050.0,56,6495.0
1057.0,57,6535.0
1064.0,55,6422.0
1071.0,46,6426.0
1078.0,48,6636.0
1085.0,56,7008.0
1092.0,55,6427.0
1099.0,47,5435.0
1106.0,38,5270.0
1113.0,46,5557.0
1120.0,48,5612.0
1127.0,44,5655.0
1134.0,48,5882.0
1141.0,56,6253.0
1148.0,59,6183.0
1155.0,60,6152.0
1162.0,57,5523.0
1169.0,49,4573.0
1176.0,39,4563.0
1183.0,48,4866.0
1190.0,57,5235.0
1197.0,71,5693.0
1204.0,73,6198.0
1211.0,68,6279.0
1218.0,60,6128.0
1225.0,50,5898.0
1232.0,42,5086.0
1239.0,42,3902.0
1246.0,38,2768.0
1253.0,38,2374.0
1260.0,39,2412.0
1267.0,47,2708.0
1274.0,57,3075.0
1281.0,58,3476.0
1288.0,55,3604.0
1295.0,51,3640.0
1302.0,56,3974.0
1309.0,64,4399.0
1316.0,58,4243.0
1323.0,54,4016.0
1330.0,56,4239.0
1337.0,64,4675.0
1344.0,55,4389.0
1351.0,46,3791.0
1358.0,32,3503.0
1365.0,26,3375.0
1372.0,26,2873.0
1379.0,35,2256.0
1386.0,27,2285.0
1393.0,30,2288.0
1400.0,41,2464.0
1407.0,44,2600.0
1414.0,50,2914.0
1421.0,44,2725.0
1428.0,36,2327.0
1435.0,26,2434.0
1442.0,34,2536.0
1449.0,37,2344.0
1456.0,37,2295.0
1463.0,28,2429.0
1470.0,38,2641.0
1477.0,40,2739.0
1484.0,34,2797.0
1491.0,34,2997.0
1498.0,45,3281.0
1505.0,41,3475.0
1512.0,37,3601.0
1519.0,39,3844.0
1526.0,46,4147.0
1533.0,47,4392.0
