step_time,total_stopped,total_wait_time
125.0,35,2382.0
130.0,35,2299.0
135.0,34,2200.0
140.0,29,2023.0
145.0,30,1699.0
150.0,24,1413.0
155.0,24,1238.0
160.0,21,1217.0
165.0,19,1061.0
170.0,22,886.0
175.0,21,895.0
180.0,19,766.0
185.0,23,722.0
190.0,21,707.0
195.0,20,701.0
200.0,24,718.0
205.0,25,795.0
210.0,22,818.0
215.0,25,887.0
220.0,26,959.0
225.0,23,1017.0
230.0,26,1063.0
235.0,26,1150.0
240.0,25,1218.0
245.0,22,1235.0
250.0,25,1134.0
255.0,29,1030.0
260.0,31,1125.0
265.0,31,1191.0
270.0,28,1273.0
275.0,24,1263.0
280.0,25,1262.0
285.0,29,1336.0
290.0,26,1370.0
295.0,29,1416.0
300.0,25,1464.0
305.0,23,1473.0
310.0,27,1449.0
315.0,34,1343.0
320.0,36,1356.0
325.0,30,1412.0
330.0,30,1485.0
335.0,25,1494.0
340.0,30,1507.0
345.0,29,1583.0
350.0,28,1577.0
355.0,29,1600.0
360.0,30,1621.0
365.0,31,1577.0
370.0,36,1321.0
375.0,41,1059.0
380.0,42,1066.0
385.0,39,1134.0
390.0,29,1138.0
395.0,29,1081.0
400.0,29,958.0
405.0,26,987.0
410.0,35,1097.0
415.0,34,1185.0
420.0,33,1196.0
425.0,30,1251.0
430.0,30,1200.0
435.0,29,1114.0
440.0,29,1132.0
445.0,22,1095.0
450.0,20,1013.0
455.0,20,896.0
460.0,20,934.0
465.0,22,931.0
470.0,22,941.0
475.0,23,933.0
480.0,20,841.0
485.0,29,687.0
490.0,35,769.0
495.0,28,785.0
500.0,29,807.0
505.0,24,838.0
510.0,25,813.0
515.0,25,767.0
520.0,24,844.0
525.0,23,871.0
530.0,28,911.0
535.0,22,967.0
540.0,19,957.0
545.0,23,850.0
550.0,27,766.0
555.0,33,687.0
560.0,38,661.0
565.0,38,780.0
570.0,33,830.0
575.0,28,886.0
580.0,27,827.0
585.0,25,784.0
590.0,24,822.0
595.0,19,817.0
600.0,20,791.0
605.0,19,808.0
610.0,21,760.0
615.0,23,696.0
620.0,21,756.0
625.0,19,765.0
630.0,18,666.0
635.0,27,715.0
640.0,28,776.0
645.0,30,779.0
650.0,28,764.0
655.0,21,799.0
660.0,15,733.0
665.0,15,668.0
670.0,17,698.0
