step_time,total_stopped,total_wait_time
130.0,34,1708.0
140.0,44,1977.0
150.0,41,2298.0
160.0,43,2664.0
170.0,31,2347.0
180.0,21,2449.0
190.0,17,1885.0
200.0,19,1778.0
210.0,33,1959.0
220.0,45,2365.0
230.0,50,2833.0
240.0,54,3350.0
250.0,44,2865.0
260.0,30,2169.0
270.0,20,1794.0
280.0,24,1516.0
290.0,37,1776.0
300.0,42,1815.0
310.0,47,2253.0
320.0,54,2753.0
330.0,61,3313.0
340.0,65,3945.0
350.0,51,3503.0
360.0,42,3834.0
370.0,51,4284.0
380.0,50,4062.0
390.0,39,3570.0
400.0,32,3044.0
410.0,38,3352.0
420.0,46,3636.0
430.0,63,4183.0
440.0,68,4836.0
450.0,71,5524.0
460.0,63,5256.0
470.0,47,5048.0
480.0,44,5047.0
490.0,49,5397.0
500.0,53,5910.0
510.0,54,6268.0
520.0,60,6829.0
530.0,48,6009.0
540.0,26,5765.0
550.0,34,6037.0
560.0,61,6529.0
570.0,65,6966.0
580.0,68,7600.0
590.0,73,8305.0
600.0,62,7392.0
610.0,51,7395.0
620.0,41,7149.0
630.0,43,7460.0
640.0,54,7940.0
650.0,49,7813.0
660.0,34,6424.0
670.0,31,3939.0
680.0,44,4033.0
690.0,48,3258.0
700.0,53,3733.0
710.0,50,3722.0
720.0,46,3979.0
730.0,47,4424.0
740.0,50,4894.0
750.0,42,4927.0
760.0,34,4219.0
770.0,21,2516.0
780.0,21,1443.0
790.0,27,1470.0
800.0,22,1413.0
810.0,34,1623.0
820.0,31,1273.0
830.0,42,1609.0
840.0,41,1689.0
850.0,41,1827.0
860.0,47,2207.0
870.0,46,1934.0
880.0,40,2048.0
890.0,46,2360.0
900.0,55,2860.0
910.0,49,3087.0
920.0,56,3621.0
930.0,50,3993.0
940.0,39,3470.0
950.0,22,3375.0
960.0,29,3490.0
970.0,32,2744.0
980.0,22,2609.0
990.0,37,2694.0
1000.0,35,2894.0
1010.0,43,3218.0
1020.0,39,2704.0
1030.0,22,2639.0
1040.0,19,1766.0
1050.0,28,1938.0
1060.0,52,2265.0
1070.0,65,2863.0
1080.0,70,3537.0
1090.0,60,3257.0
1100.0,47,2838.0
1110.0,42,2734.0
1120.0,45,2911.0
1130.0,31,2621.0
1140.0,21,2643.0
1150.0,30,2711.0
1160.0,44,3098.0
1170.0,41,3422.0
1180.0,46,3531.0
1190.0,32,3085.0
1200.0,23,3023.0
1210.0,38,3306.0
1220.0,37,3451.0
1230.0,46,3837.0
1240.0,41,4103.0
1250.0,47,4488.0
1260.0,57,4980.0
1270.0,60,5569.0
1280.0,64,6185.0
1290.0,69,6851.0
1300.0,57,7125.0
1310.0,52,7599.0
1320.0,61,8150.0
1330.0,76,8838.0
1340.0,77,9547.0
1350.0,76,10303.0
1360.0,77,11063.0
1370.0,62,11117.0
1380.0,38,9779.0
1390.0,38,9822.0
1400.0,56,10245.0
1410.0,55,10064.0
1420.0,43,9351.0
1430.0,46,9663.0
1440.0,43,9552.0
1450.0,47,9811.0
1460.0,44,9782.0
1470.0,42,10024.0
1480.0,51,10469.0
1490.0,37,8182.0
1500.0,23,8334.0
1510.0,29,8484.0
1520.0,42,8848.0
1530.0,47,9309.0
1540.0,46,9376.0
1550.0,49,9789.0
1560.0,46,10203.0
1570.0,43,10354.0
1580.0,33,7630.0
1590.0,25,7863.0
1600.0,41,8162.0
1610.0,54,8619.0
1620.0,45,6600.0
1630.0,36,3368.0
1640.0,41,1757.0
1650.0,32,1579.0
1660.0,22,1491.0
1670.0,22,1262.0
1680.0,23,1399.0
1690.0,35,1458.0
1700.0,35,1380.0
1710.0,24,1491.0
1720.0,30,1682.0
1730.0,43,2001.0
1740.0,43,1944.0
1750.0,34,1547.0
1760.0,18,1656.0
1770.0,27,1684.0
1780.0,41,2022.0
1790.0,44,2362.0
1800.0,54,2848.0
1810.0,55,3383.0
1820.0,47,3106.0
1830.0,28,3112.0
1840.0,36,3360.0
1850.0,54,3782.0
1860.0,49,3485.0
1870.0,34,3454.0
1880.0,33,3583.0
1890.0,54,4026.0
1900.0,72,4669.0
1910.0,60,4829.0
1920.0,54,5383.0
1930.0,47,5538.0
1940.0,51,5780.0
1950.0,52,5084.0
1960.0,36,4938.0
1970.0,35,4724.0
1980.0,38,3441.0
1990.0,28,3573.0
2000.0,34,3669.0
2010.0,49,3986.0
2020.0,42,3205.0
2030.0,28,3425.0
2040.0,26,2615.0
2050.0,25,2106.0
2060.0,42,2281.0
2070.0,55,2569.0
2080.0,67,3179.0
2090.0,70,3839.0
2100.0,58,4085.0
2110.0,34,3220.0
2120.0,33,3536.0
2130.0,51,3921.0
2140.0,72,4529.0
2150.0,58,4622.0
2160.0,41,4010.0
2170.0,39,4385.0
2180.0,63,4881.0
2190.0,78,5594.0
2200.0,81,6394.0
2210.0,82,7211.0
2220.0,76,7718.0
2230.0,76,8466.0
2240.0,61,8077.0
2250.0,53,8628.0
2260.0,61,9185.0
2270.0,73,9862.0
2280.0,78,10571.0
2290.0,61,10020.0
2300.0,53,10386.0
2310.0,47,9672.0
2320.0,48,9896.0
2330.0,46,9218.0
2340.0,47,9652.0
2350.0,44,8556.0
2360.0,40,8738.0
2370.0,37,7864.0
2380.0,29,6239.0
2390.0,25,3956.0
2400.0,38,4241.0
2410.0,45,3634.0
2420.0,43,3214.0
2430.0,36,2288.0
2440.0,24,1311.0
2450.0,25,1233.0
2460.0,28,1101.0
2470.0,19,1041.0
2480.0,21,814.0
2490.0,37,1064.0
2500.0,40,1173.0
2510.0,41,1504.0
2520.0,41,1537.0
2530.0,49,1804.0
2540.0,58,2341.0
2550.0,46,2688.0
2560.0,43,2905.0
2570.0,46,3339.0
2580.0,48,3673.0
2590.0,33,3289.0
2600.0,26,3300.0
2610.0,39,3615.0
2620.0,56,4101.0
2630.0,63,4605.0
2640.0,67,5255.0
2650.0,72,5952.0
2660.0,75,6660.0
2670.0,77,7423.0
2680.0,77,8193.0
2690.0,76,8935.0
2700.0,60,8324.0
2710.0,52,8668.0
2720.0,60,9209.0
2730.0,55,8512.0
2740.0,45,6817.0
2750.0,32,5910.0
2760.0,37,6077.0
2770.0,45,6319.0
2780.0,44,5717.0
2790.0,28,4820.0
2800.0,34,4952.0
2810.0,46,4280.0
2820.0,42,3161.0
2830.0,35,2300.0
2840.0,37,2420.0
2850.0,47,2786.0
2860.0,61,3339.0
2870.0,52,2926.0
2880.0,40,2674.0
2890.0,45,3057.0
2900.0,41,3227.0
2910.0,38,3461.0
2920.0,44,3863.0
2930.0,39,4234.0
2940.0,40,4609.0
2950.0,27,3899.0
2960.0,21,3958.0
2970.0,36,4227.0
2980.0,49,4503.0
2990.0,52,5004.0
3000.0,60,5564.0
3010.0,59,6141.0
3020.0,64,6749.0
3030.0,51,6926.0
3040.0,45,6845.0
3050.0,48,7144.0
3060.0,37,6078.0
3070.0,35,6389.0
3080.0,37,6472.0
3090.0,55,6848.0
3100.0,59,7414.0
3110.0,66,8049.0
3120.0,55,8320.0
3130.0,44,8359.0
3140.0,33,6888.0
3150.0,31,6950.0
3160.0,40,7283.0
3170.0,56,7765.0
3180.0,61,8339.0
3190.0,53,8430.0
3200.0,46,8854.0
3210.0,43,7230.0
3220.0,45,7323.0
3230.0,38,5712.0
3240.0,44,6134.0
3250.0,47,4668.0
3260.0,45,3112.0
3270.0,51,3436.0
3280.0,54,3720.0
3290.0,45,3755.0
3300.0,46,4108.0
3310.0,42,3621.0
3320.0,24,2505.0
3330.0,28,2590.0
3340.0,45,2906.0
3350.0,40,2979.0
3360.0,39,3278.0
3370.0,40,3326.0
3380.0,44,3601.0
3390.0,43,3775.0
3400.0,46,4171.0
3410.0,59,4700.0
3420.0,54,4089.0
3430.0,28,3856.0
3440.0,35,4157.0
3450.0,41,4261.0
3460.0,45,4610.0
3470.0,44,4821.0
3480.0,44,5190.0
3490.0,44,5411.0
3500.0,35,4335.0
3510.0,32,2725.0
3520.0,37,2719.0
3530.0,36,2266.0
3540.0,31,2211.0
3550.0,29,2028.0
3560.0,17,1386.0
3570.0,24,968.0
3580.0,33,980.0
3590.0,38,1263.0
3600.0,32,1108.0
3610.0,24,1208.0
3620.0,23,1052.0
3630.0,29,1293.0
3640.0,31,1248.0
3650.0,30,1178.0
3660.0,33,1312.0
3670.0,37,1648.0
3680.0,28,1493.0
3690.0,21,1587.0
3700.0,29,1746.0
3710.0,44,2095.0
3720.0,51,2566.0
3730.0,44,2952.0
3740.0,47,3000.0
3750.0,39,3359.0
3760.0,32,2722.0
3770.0,15,2882.0
3780.0,29,3079.0
3790.0,38,3373.0
3800.0,30,2654.0
3810.0,19,2594.0
3820.0,33,2769.0
3830.0,35,2247.0
3840.0,37,2573.0
3850.0,30,2654.0
3860.0,43,2932.0
3870.0,46,2476.0
3880.0,43,2803.0
3890.0,53,3269.0
3900.0,55,2948.0
3910.0,52,3412.0
3920.0,59,3935.0
3930.0,72,4590.0
3940.0,61,4261.0
3950.0,51,4700.0
3960.0,43,4633.0
3970.0,51,5014.0
3980.0,63,5588.0
3990.0,55,5701.0
4000.0,51,6063.0
4010.0,65,6642.0
4020.0,60,6190.0
4030.0,38,5970.0
4040.0,37,6169.0
4050.0,59,6653.0
4060.0,76,7325.0
4070.0,73,7416.0
4080.0,62,6600.0
4090.0,51,7102.0
4100.0,44,6342.0
4110.0,42,4664.0
4120.0,45,4852.0
4130.0,55,5336.0
4140.0,56,5892.0
4150.0,59,6472.0
4160.0,62,7071.0
4170.0,65,7695.0
4180.0,53,7141.0
4190.0,47,7252.0
4200.0,42,6156.0
4210.0,47,6583.0
4220.0,61,7121.0
4230.0,72,7792.0
4240.0,75,8532.0
4250.0,76,9288.0
4260.0,61,9024.0
4270.0,36,7921.0
4280.0,25,5719.0
4290.0,27,4818.0
4300.0,26,4091.0
4310.0,35,4200.0
4320.0,51,4601.0
4330.0,48,3658.0
4340.0,38,2236.0
4350.0,29,1654.0
4360.0,32,1793.0
4370.0,30,1695.0
4380.0,43,1989.0
4390.0,58,2494.0
4400.0,54,2729.0
4410.0,51,3241.0
4420.0,62,3797.0
4430.0,74,4475.0
4440.0,76,5205.0
4450.0,76,5965.0
4460.0,76,6725.0
4470.0,77,7491.0
4480.0,63,7526.0
4490.0,52,7956.0
4500.0,43,7725.0
4510.0,43,7324.0
4520.0,50,7649.0
4530.0,62,8156.0
4540.0,52,8207.0
4550.0,42,8069.0
4560.0,33,6565.0
4570.0,29,4820.0
4580.0,23,4387.0
4590.0,20,3273.0
4600.0,27,1310.0
4610.0,33,1085.0
4620.0,39,1154.0
4630.0,49,1601.0
4640.0,53,2028.0
4650.0,58,2577.0
4660.0,66,3186.0
4670.0,71,3866.0
4680.0,59,3826.0
4690.0,51,4316.0
4700.0,44,4089.0
4710.0,45,4423.0
4720.0,59,4952.0
4730.0,71,5608.0
4740.0,72,6248.0
4750.0,60,6165.0
4760.0,37,5438.0
4770.0,18,4831.0
4780.0,29,4794.0
4790.0,52,5140.0
4800.0,55,4712.0
4810.0,44,5022.0
4820.0,61,5533.0
4830.0,59,5161.0
4840.0,52,5660.0
4850.0,62,6219.0
4860.0,73,6823.0
4870.0,76,7581.0
