step_time,total_stopped,total_wait_time
125.0,80,4544.0
130.0,69,4480.0
135.0,57,4391.0
140.0,49,4317.0
145.0,53,4315.0
150.0,48,4325.0
155.0,51,4418.0
160.0,55,4405.0
165.0,49,4358.0
170.0,52,4357.0
175.0,54,4134.0
180.0,62,4116.0
185.0,65,3672.0
190.0,68,3644.0
195.0,70,3707.0
200.0,71,4033.0
205.0,67,4250.0
210.0,56,4361.0
215.0,46,4278.0
220.0,48,4349.0
225.0,49,4581.0
230.0,49,4681.0
235.0,52,4654.0
240.0,44,4821.0
245.0,56,5076.0
250.0,69,5398.0
255.0,67,5553.0
260.0,59,5735.0
265.0,60,6032.0
270.0,65,6351.0
275.0,61,6239.0
280.0,57,6337.0
285.0,53,6303.0
290.0,55,6568.0
295.0,53,6713.0
300.0,61,6832.0
305.0,72,7145.0
310.0,78,7522.0
315.0,75,7858.0
320.0,76,8189.0
325.0,77,8306.0
330.0,65,8636.0
335.0,62,8938.0
340.0,52,8961.0
345.0,49,9208.0
350.0,46,9191.0
355.0,42,9382.0
360.0,48,9610.0
365.0,50,9278.0
370.0,48,8422.0
375.0,43,8107.0
380.0,51,8347.0
385.0,53,8604.0
390.0,56,8862.0
395.0,60,8829.0
400.0,60,9123.0
405.0,54,9091.0
410.0,39,8751.0
415.0,39,7862.0
420.0,33,6569.0
425.0,29,6666.0
430.0,39,6812.0
435.0,53,7021.0
440.0,57,6946.0
445.0,52,6572.0
450.0,47,6788.0
455.0,44,6716.0
460.0,38,6860.0
465.0,43,7039.0
470.0,51,7253.0
475.0,55,6975.0
480.0,49,6917.0
485.0,46,7129.0
490.0,43,7319.0
495.0,40,6966.0
500.0,42,7146.0
505.0,60,7033.0
510.0,50,7249.0
515.0,44,6911.0
520.0,39,7090.0
525.0,42,7262.0
530.0,51,7495.0
535.0,59,7769.0
540.0,64,7492.0
545.0,65,6687.0
550.0,58,6435.0
555.0,48,6225.0
560.0,43,6383.0
565.0,47,6175.0
570.0,43,6018.0
575.0,36,5779.0
580.0,27,5698.0
585.0,20,5726.0
590.0,32,5796.0
595.0,50,5742.0
600.0,41,5496.0
605.0,36,5608.0
610.0,42,5790.0
615.0,44,5943.0
620.0,54,6182.0
625.0,60,6000.0
630.0,59,6250.0
635.0,61,6283.0
640.0,49,6521.0
645.0,50,6741.0
650.0,51,6509.0
655.0,51,6751.0
660.0,53,6968.0
665.0,59,7248.0
670.0,58,7039.0
675.0,54,6393.0
680.0,55,6671.0
685.0,56,6888.0
690.0,57,7156.0
695.0,58,7091.0
700.0,53,6933.0
705.0,45,7119.0
710.0,41,6971.0
715.0,37,7126.0
720.0,41,7270.0
725.0,52,7477.0
730.0,55,7373.0
735.0,55,7615.0
740.0,60,7899.0
745.0,59,8199.0
750.0,55,8107.0
755.0,54,7692.0
760.0,52,7770.0
765.0,52,8026.0
770.0,52,8257.0
775.0,66,8539.0
780.0,66,8854.0
785.0,73,9206.0
790.0,74,9573.0
795.0,71,9339.0
800.0,63,8578.0
805.0,56,7688.0
810.0,52,7725.0
815.0,50,7974.0
820.0,53,8145.0
825.0,58,8343.0
830.0,60,8208.0
835.0,56,8496.0
840.0,55,8753.0
845.0,54,9018.0
850.0,52,8779.0
855.0,54,9041.0
860.0,55,8811.0
865.0,53,8108.0
870.0,44,7459.0
875.0,43,7498.0
880.0,45,7656.0
885.0,54,7904.0
890.0,57,7883.0
895.0,53,7456.0
900.0,43,7157.0
905.0,38,6100.0
910.0,31,5958.0
915.0,36,6046.0
920.0,37,5742.0
925.0,36,5912.0
930.0,36,5781.0
935.0,32,5428.0
940.0,37,5598.0
945.0,44,5794.0
950.0,48,5517.0
955.0,55,5655.0
960.0,46,5368.0
965.0,35,5391.0
970.0,30,5036.0
975.0,25,5137.0
980.0,32,5275.0
985.0,40,5271.0
990.0,42,5356.0
995.0,46,5402.0
1000.0,52,5616.0
1005.0,49,5310.0
1010.0,49,4527.0
1015.0,47,4332.0
1020.0,44,4186.0
1025.0,42,4190.0
1030.0,40,4026.0
1035.0,37,4203.0
1040.0,36,4186.0
1045.0,44,3917.0
1050.0,42,3753.0
1055.0,44,3752.0
1060.0,42,3831.0
1065.0,45,3830.0
1070.0,50,3834.0
1075.0,52,3991.0
1080.0,57,4182.0
1085.0,55,4385.0
1090.0,60,4212.0
1095.0,51,4455.0
1100.0,48,4663.0
1105.0,45,4878.0
1110.0,50,5110.0
1115.0,52,5078.0
1120.0,48,4850.0
1125.0,44,4146.0
1130.0,40,4330.0
1135.0,47,4184.0
1140.0,32,4059.0
1145.0,28,4058.0
1150.0,32,3984.0
1155.0,44,4091.0
1160.0,53,4076.0
1165.0,47,4258.0
1170.0,43,4196.0
1175.0,35,4057.0
1180.0,33,4191.0
1185.0,31,4257.0
1190.0,38,4110.0
1195.0,43,4229.0
1200.0,42,4132.0
1205.0,51,3821.0
1210.0,50,3993.0
1215.0,40,4116.0
1220.0,40,3955.0
1225.0,47,4087.0
1230.0,47,4279.0
1235.0,53,4229.0
1240.0,54,4171.0
1245.0,42,4097.0
1250.0,29,4198.0
1255.0,28,4311.0
1260.0,47,4431.0
1265.0,48,4333.0
1270.0,50,4245.0
1275.0,51,4467.0
1280.0,43,4391.0
1285.0,40,4276.0
1290.0,46,4469.0
1295.0,51,4433.0
1300.0,46,4350.0
1305.0,41,3980.0
1310.0,43,3934.0
1315.0,49,3889.0
1320.0,40,4051.0
1325.0,54,4273.0
1330.0,68,4585.0
1335.0,71,4677.0
1340.0,65,4797.0
1345.0,59,4876.0
1350.0,60,4770.0
1355.0,55,4658.0
1360.0,56,4769.0
1365.0,56,5013.0
1370.0,63,5037.0
1375.0,62,4650.0
1380.0,61,4933.0
1385.0,60,4957.0
1390.0,55,4584.0
1395.0,55,4288.0
1400.0,50,4203.0
1405.0,49,4227.0
1410.0,35,4188.0
1415.0,33,4118.0
1420.0,36,4066.0
1425.0,39,4028.0
1430.0,35,3988.0
1435.0,36,3945.0
1440.0,41,3945.0
1445.0,44,3929.0
1450.0,54,3772.0
1455.0,54,3807.0
1460.0,54,3903.0
1465.0,44,3991.0
1470.0,48,4046.0
1475.0,53,4070.0
1480.0,58,4194.0
1485.0,50,4232.0
1490.0,44,4312.0
1495.0,48,4247.0
1500.0,41,4230.0
1505.0,46,4064.0
1510.0,50,4057.0
1515.0,53,4040.0
1520.0,56,3813.0
1525.0,58,3463.0
1530.0,64,3517.0
