step_time,total_stopped,total_wait_time
125.0,35,1434.0
130.0,33,1440.0
135.0,25,1260.0
140.0,21,964.0
145.0,21,718.0
150.0,14,613.0
155.0,14,527.0
160.0,16,518.0
165.0,12,450.0
170.0,15,464.0
175.0,18,417.0
180.0,17,472.0
185.0,16,495.0
190.0,14,499.0
195.0,15,443.0
200.0,21,514.0
205.0,22,559.0
210.0,16,563.0
215.0,18,546.0
220.0,22,615.0
225.0,18,677.0
230.0,12,695.0
235.0,21,731.0
240.0,18,821.0
245.0,20,914.0
250.0,21,1016.0
255.0,15,863.0
260.0,11,876.0
265.0,21,935.0
270.0,23,1037.0
275.0,18,934.0
280.0,16,956.0
285.0,19,997.0
290.0,18,832.0
295.0,15,871.0
300.0,17,906.0
305.0,23,997.0
310.0,18,898.0
315.0,17,937.0
320.0,20,811.0
325.0,24,565.0
330.0,16,543.0
335.0,19,447.0
340.0,22,497.0
345.0,21,537.0
350.0,21,609.0
355.0,21,609.0
360.0,16,618.0
365.0,20,601.0
370.0,19,503.0
375.0,20,573.0
380.0,23,644.0
385.0,24,664.0
390.0,22,744.0
395.0,20,700.0
400.0,18,543.0
405.0,16,546.0
410.0,16,450.0
415.0,24,513.0
420.0,18,544.0
425.0,19,559.0
430.0,20,574.0
435.0,17,608.0
440.0,21,663.0
445.0,18,663.0
450.0,21,636.0
455.0,23,552.0
460.0,22,597.0
465.0,19,601.0
470.0,16,589.0
475.0,22,610.0
480.0,20,660.0
485.0,20,685.0
490.0,19,588.0
495.0,22,484.0
500.0,25,562.0
505.0,27,613.0
510.0,18,563.0
515.0,16,567.0
520.0,24,552.0
525.0,28,643.0
530.0,21,662.0
535.0,22,696.0
540.0,22,756.0
545.0,19,796.0
550.0,21,814.0
555.0,19,720.0
560.0,14,777.0
565.0,19,812.0
570.0,21,886.0
575.0,19,798.0
580.0,15,601.0
585.0,12,553.0
590.0,16,549.0
595.0,25,622.0
600.0,17,614.0
605.0,17,594.0
610.0,16,615.0
615.0,9,461.0
620.0,18,302.0
625.0,18,290.0
630.0,12,235.0
635.0,13,234.0
640.0,9,225.0
645.0,12,218.0
650.0,16,258.0
655.0,19,336.0
660.0,14,372.0
665.0,13,366.0
670.0,11,293.0
675.0,13,185.0
680.0,18,228.0
685.0,21,270.0
690.0,10,260.0
695.0,7,223.0
700.0,11,195.0
705.0,16,235.0
710.0,12,252.0
715.0,12,211.0
720.0,11,150.0
725.0,17,169.0
730.0,14,211.0
735.0,10,213.0
740.0,11,229.0
745.0,18,269.0
750.0,14,308.0
755.0,12,309.0
760.0,14,317.0
765.0,11,359.0
770.0,10,386.0
775.0,16,434.0
780.0,11,481.0
785.0,14,541.0
790.0,10,431.0
795.0,9,455.0
800.0,11,480.0
805.0,13,401.0
810.0,15,457.0
815.0,15,526.0
820.0,9,402.0
825.0,10,403.0
830.0,14,430.0
835.0,13,341.0
840.0,10,362.0
845.0,13,375.0
850.0,15,445.0
855.0,9,392.0
860.0,12,413.0
865.0,22,469.0
870.0,14,359.0
875.0,15,397.0
880.0,15,455.0
885.0,19,522.0
890.0,16,576.0
895.0,21,638.0
900.0,18,567.0
905.0,18,625.0
910.0,17,668.0
915.0,20,743.0
920.0,17,670.0
925.0,17,483.0
930.0,13,457.0
935.0,15,374.0
940.0,15,422.0
945.0,13,404.0
950.0,15,414.0
955.0,21,372.0
960.0,21,426.0
965.0,18,453.0
970.0,17,453.0
975.0,19,445.0
980.0,21,520.0
985.0,22,576.0
990.0,16,586.0
995.0,16,611.0
1000.0,16,672.0
1005.0,18,605.0
1010.0,20,578.0
1015.0,20,650.0
1020.0,12,525.0
1025.0,15,547.0
1030.0,18,571.0
1035.0,18,636.0
1040.0,15,539.0
1045.0,22,361.0
1050.0,15,295.0
1055.0,16,244.0
1060.0,20,265.0
1065.0,19,319.0
1070.0,12,302.0
1075.0,16,290.0
1080.0,12,286.0
1085.0,14,265.0
1090.0,17,325.0
1095.0,11,367.0
1100.0,12,369.0
1105.0,16,413.0
1110.0,14,476.0
1115.0,11,389.0
1120.0,10,244.0
1125.0,9,249.0
1130.0,11,269.0
1135.0,15,196.0
1140.0,10,204.0
1145.0,8,171.0
1150.0,7,122.0
1155.0,15,165.0
1160.0,18,254.0
1165.0,19,301.0
1170.0,13,308.0
1175.0,9,262.0
1180.0,12,217.0
1185.0,10,234.0
1190.0,10,247.0
1195.0,14,282.0
1200.0,12,342.0
1205.0,10,352.0
1210.0,14,375.0
1215.0,15,449.0
1220.0,11,498.0
1225.0,19,529.0
1230.0,13,587.0
1235.0,13,652.0
1240.0,15,719.0
1245.0,19,813.0
1250.0,13,739.0
1255.0,17,576.0
1260.0,14,301.0
1265.0,14,302.0
1270.0,14,295.0
1275.0,10,317.0
1280.0,13,332.0
1285.0,17,383.0
1290.0,13,427.0
1295.0,16,495.0
1300.0,11,393.0
1305.0,12,431.0
1310.0,13,469.0
1315.0,19,421.0
1320.0,18,475.0
1325.0,18,417.0
1330.0,17,406.0
1335.0,18,457.0
1340.0,16,476.0
1345.0,18,420.0
1350.0,19,441.0
1355.0,22,468.0
1360.0,19,518.0
1365.0,14,528.0
1370.0,16,550.0
1375.0,17,473.0
1380.0,14,510.0
1385.0,20,472.0
1390.0,21,443.0
1395.0,17,474.0
1400.0,14,466.0
1405.0,23,498.0
1410.0,14,502.0
1415.0,15,497.0
1420.0,14,368.0
1425.0,16,232.0
1430.0,17,296.0
1435.0,16,323.0
1440.0,11,303.0
1445.0,13,307.0
1450.0,13,369.0
1455.0,14,406.0
1460.0,13,351.0
1465.0,15,399.0
1470.0,17,473.0
1475.0,17,558.0
1480.0,14,541.0
1485.0,10,455.0
1490.0,11,447.0
1495.0,15,362.0
1500.0,11,366.0
1505.0,12,383.0
1510.0,10,387.0
1515.0,11,426.0
1520.0,13,489.0
1525.0,17,554.0
1530.0,15,567.0
1535.0,11,443.0
1540.0,12,461.0
1545.0,16,472.0
1550.0,16,529.0
1555.0,18,560.0
1560.0,12,455.0
1565.0,18,309.0
1570.0,14,322.0
1575.0,16,299.0
1580.0,12,311.0
1585.0,20,306.0
1590.0,11,263.0
1595.0,11,292.0
1600.0,16,272.0
1605.0,15,322.0
1610.0,14,350.0
1615.0,16,347.0
1620.0,16,395.0
1625.0,16,475.0
1630.0,12,504.0
1635.0,13,507.0
1640.0,12,451.0
1645.0,16,350.0
1650.0,12,379.0
1655.0,12,399.0
1660.0,15,461.0
1665.0,10,370.0
1670.0,8,370.0
1675.0,19,394.0
1680.0,13,362.0
1685.0,10,395.0
1690.0,13,375.0
1695.0,15,358.0
1700.0,15,408.0
1705.0,15,430.0
1710.0,12,313.0
1715.0,14,322.0
1720.0,15,379.0
1725.0,16,431.0
1730.0,13,436.0
1735.0,16,433.0
1740.0,14,357.0
1745.0,15,397.0
1750.0,15,432.0
1755.0,15,481.0
1760.0,17,562.0
1765.0,25,654.0
1770.0,15,683.0
1775.0,13,679.0
1780.0,10,564.0
1785.0,14,426.0
1790.0,16,449.0
1795.0,14,499.0
1800.0,14,520.0
1805.0,13,536.0
1810.0,12,389.0
1815.0,12,412.0
1820.0,20,483.0
1825.0,21,412.0
1830.0,14,433.0
1835.0,13,408.0
1840.0,13,394.0
1845.0,12,375.0
1850.0,14,424.0
1855.0,20,345.0
1860.0,17,414.0
1865.0,19,481.0
1870.0,17,495.0
1875.0,18,464.0
1880.0,22,550.0
1885.0,21,520.0
1890.0,20,526.0
1895.0,21,594.0
1900.0,20,641.0
1905.0,18,648.0
1910.0,21,628.0
1915.0,24,703.0
1920.0,18,741.0
1925.0,18,685.0
1930.0,19,737.0
1935.0,22,816.0
1940.0,21,883.0
1945.0,26,794.0
1950.0,20,825.0
1955.0,25,861.0
1960.0,24,927.0
1965.0,21,973.0
1970.0,20,1012.0
1975.0,21,894.0
1980.0,17,962.0
1985.0,21,858.0
1990.0,21,907.0
1995.0,24,812.0
2000.0,25,893.0
2005.0,27,958.0
2010.0,22,995.0
2015.0,26,1005.0
2020.0,29,962.0
2025.0,26,1040.0
2030.0,23,1070.0
2035.0,29,967.0
2040.0,28,1053.0
2045.0,28,1119.0
2050.0,24,1161.0
2055.0,27,1159.0
2060.0,27,1078.0
2065.0,34,1182.0
2070.0,27,1261.0
2075.0,26,1333.0
2080.0,24,1209.0
2085.0,21,1245.0
2090.0,24,1166.0
2095.0,32,1273.0
2100.0,26,1349.0
2105.0,29,1250.0
2110.0,22,1285.0
2115.0,27,1270.0
2120.0,29,1357.0
2125.0,33,1406.0
2130.0,22,1462.0
2135.0,23,1368.0
2140.0,31,1469.0
2145.0,36,1600.0
2150.0,34,1721.0
2155.0,31,1778.0
2160.0,27,1824.0
2165.0,25,1651.0
2170.0,20,1233.0
2175.0,25,1303.0
2180.0,24,1369.0
2185.0,28,1421.0
2190.0,28,1453.0
2195.0,28,1570.0
2200.0,26,1656.0
2205.0,27,1760.0
2210.0,24,1600.0
2215.0,28,1329.0
2220.0,26,1153.0
2225.0,18,1186.0
2230.0,20,1250.0
2235.0,24,1318.0
2240.0,27,1426.0
2245.0,27,1471.0
2250.0,23,1314.0
2255.0,21,911.0
2260.0,21,861.0
2265.0,24,857.0
2270.0,22,824.0
2275.0,22,876.0
2280.0,19,855.0
2285.0,19,715.0
2290.0,21,548.0
2295.0,18,474.0
2300.0,17,516.0
2305.0,29,596.0
2310.0,21,616.0
2315.0,20,592.0
2320.0,21,635.0
2325.0,21,651.0
2330.0,20,672.0
2335.0,18,603.0
2340.0,17,461.0
2345.0,20,465.0
2350.0,21,437.0
2355.0,19,462.0
2360.0,18,460.0
2365.0,19,500.0
2370.0,16,476.0
2375.0,20,519.0
2380.0,19,554.0
2385.0,20,607.0
2390.0,17,628.0
2395.0,23,635.0
2400.0,21,591.0
2405.0,26,608.0
2410.0,21,694.0
2415.0,13,624.0
2420.0,14,633.0
2425.0,21,659.0
2430.0,21,683.0
2435.0,19,624.0
2440.0,18,633.0
2445.0,22,639.0
2450.0,24,691.0
2455.0,22,701.0
2460.0,17,706.0
2465.0,17,614.0
2470.0,19,446.0
2475.0,19,443.0
2480.0,19,490.0
2485.0,24,524.0
2490.0,15,523.0
2495.0,15,474.0
2500.0,14,491.0
2505.0,16,542.0
2510.0,13,462.0
2515.0,20,522.0
2520.0,18,593.0
2525.0,17,621.0
2530.0,19,635.0
2535.0,16,699.0
