step_time,total_stopped,total_wait_time
125.0,25,681.0
130.0,22,703.0
135.0,17,742.0
140.0,16,731.0
145.0,24,631.0
150.0,25,737.0
155.0,28,800.0
160.0,23,760.0
165.0,35,903.0
170.0,33,977.0
175.0,34,1137.0
180.0,28,1195.0
185.0,26,1155.0
190.0,20,1051.0
195.0,21,1074.0
200.0,27,1029.0
205.0,31,1147.0
210.0,28,1133.0
215.0,30,1086.0
220.0,36,1182.0
225.0,28,1148.0
230.0,22,1265.0
235.0,32,1390.0
240.0,38,1526.0
245.0,45,1552.0
250.0,39,1420.0
255.0,35,1205.0
260.0,36,1190.0
265.0,38,1291.0
270.0,44,1451.0
275.0,44,1629.0
280.0,43,1819.0
285.0,42,2006.0
290.0,44,2186.0
295.0,40,2206.0
300.0,34,2384.0
305.0,29,2346.0
310.0,15,2410.0
315.0,16,2442.0
320.0,24,2520.0
325.0,34,2446.0
330.0,29,2576.0
335.0,30,2611.0
340.0,32,2761.0
345.0,31,2820.0
350.0,35,2881.0
355.0,44,3084.0
360.0,40,3048.0
365.0,34,2756.0
370.0,26,2769.0
375.0,19,2768.0
380.0,17,2847.0
385.0,33,2963.0
390.0,34,3024.0
395.0,37,3194.0
400.0,41,3117.0
405.0,38,3313.0
410.0,33,3382.0
415.0,28,3359.0
420.0,25,3175.0
425.0,26,3245.0
430.0,28,3084.0
435.0,18,3128.0
440.0,16,3098.0
445.0,21,2873.0
450.0,24,2918.0
455.0,25,2992.0
460.0,29,3079.0
465.0,34,3224.0
470.0,36,3349.0
475.0,37,3178.0
480.0,36,3357.0
485.0,39,3542.0
490.0,30,3569.0
495.0,32,3646.0
500.0,35,3688.0
505.0,50,3819.0
510.0,44,4035.0
515.0,44,4255.0
520.0,40,4047.0
525.0,32,4092.0
530.0,29,4165.0
535.0,22,3871.0
540.0,21,3965.0
545.0,29,4089.0
550.0,24,4135.0
555.0,28,4186.0
560.0,36,4283.0
565.0,39,4006.0
570.0,33,4160.0
575.0,28,4240.0
580.0,28,4372.0
585.0,27,4041.0
590.0,27,4172.0
595.0,33,3871.0
600.0,19,3925.0
605.0,24,4030.0
610.0,31,4174.0
615.0,34,4222.0
620.0,33,4175.0
625.0,41,4284.0
630.0,47,4496.0
635.0,44,4658.0
640.0,42,4818.0
645.0,42,4971.0
650.0,45,5182.0
655.0,44,4869.0
660.0,34,4060.0
665.0,30,4170.0
670.0,30,4310.0
675.0,26,4353.0
680.0,24,4343.0
685.0,35,3971.0
690.0,26,4065.0
695.0,27,4126.0
700.0,26,4230.0
705.0,31,4375.0
710.0,36,4534.0
715.0,46,4740.0
720.0,43,4462.0
725.0,36,4643.0
730.0,34,4821.0
735.0,27,4502.0
740.0,22,4505.0
745.0,18,4138.0
750.0,20,4206.0
755.0,18,3855.0
760.0,17,3827.0
765.0,11,3451.0
770.0,14,2386.0
775.0,24,2447.0
780.0,22,2418.0
785.0,19,2424.0
790.0,28,2186.0
795.0,30,1747.0
800.0,30,1737.0
805.0,36,1877.0
810.0,33,1867.0
815.0,31,1708.0
820.0,30,1715.0
825.0,36,1804.0
830.0,38,1720.0
835.0,33,1807.0
840.0,29,1913.0
845.0,32,2006.0
850.0,34,1904.0
855.0,36,2074.0
860.0,37,2226.0
865.0,45,2415.0
870.0,36,2482.0
875.0,31,2341.0
880.0,33,2460.0
885.0,41,2648.0
890.0,35,2572.0
895.0,25,2572.0
900.0,24,2454.0
905.0,20,2327.0
910.0,20,2363.0
915.0,26,2369.0
920.0,26,2503.0
925.0,39,2661.0
930.0,43,2607.0
935.0,42,2739.0
940.0,41,2706.0
945.0,25,2714.0
950.0,21,2819.0
955.0,26,2792.0
960.0,27,2683.0
965.0,25,2678.0
970.0,33,2825.0
975.0,32,2880.0
980.0,37,2919.0
985.0,49,3128.0
990.0,49,3281.0
995.0,56,3455.0
1000.0,61,3745.0
1005.0,55,3889.0
1010.0,45,3843.0
1015.0,37,4031.0
1020.0,35,3922.0
1025.0,34,4090.0
1030.0,36,4263.0
1035.0,41,4374.0
1040.0,44,4405.0
1045.0,49,4293.0
1050.0,36,3871.0
1055.0,36,4025.0
1060.0,34,4003.0
1065.0,32,3827.0
1070.0,30,3897.0
1075.0,36,3733.0
1080.0,39,3917.0
1085.0,43,4013.0
1090.0,47,4190.0
1095.0,50,4429.0
1100.0,58,4704.0
1105.0,70,5022.0
1110.0,66,5334.0
1115.0,69,5669.0
1120.0,68,6008.0
1125.0,70,6352.0
1130.0,70,6702.0
1135.0,70,6792.0
1140.0,55,6656.0
1145.0,45,6878.0
1150.0,40,7088.0
1155.0,40,6846.0
1160.0,39,7036.0
1165.0,50,6822.0
1170.0,48,7050.0
1175.0,46,6977.0
1180.0,46,7204.0
1185.0,45,6990.0
1190.0,44,7214.0
1195.0,44,7095.0
1200.0,40,6669.0
1205.0,46,6883.0
1210.0,45,7004.0
1215.0,52,7116.0
1220.0,55,6898.0
1225.0,58,7153.0
1230.0,55,7427.0
1235.0,55,7704.0
1240.0,50,7605.0
1245.0,57,7876.0
1250.0,54,7818.0
1255.0,50,8073.0
1260.0,49,8318.0
1265.0,57,8585.0
1270.0,60,8822.0
1275.0,68,9144.0
1280.0,76,9507.0
1285.0,72,9487.0
1290.0,60,9236.0
1295.0,44,9117.0
1300.0,28,8749.0
1305.0,19,7605.0
1310.0,20,6554.0
1315.0,27,6392.0
1320.0,41,6528.0
1325.0,48,6748.0
1330.0,51,6597.0
1335.0,48,6110.0
1340.0,48,6182.0
1345.0,50,6418.0
1350.0,55,6611.0
1355.0,57,6535.0
1360.0,53,6028.0
1365.0,48,6152.0
1370.0,43,6163.0
1375.0,42,6322.0
1380.0,48,6534.0
1385.0,48,6264.0
1390.0,50,6508.0
1395.0,48,6509.0
1400.0,42,6704.0
1405.0,45,6665.0
1410.0,39,6852.0
1415.0,47,7071.0
1420.0,56,7299.0
1425.0,58,7376.0
1430.0,56,7423.0
1435.0,55,7621.0
1440.0,54,7891.0
1445.0,56,8162.0
1450.0,57,8351.0
1455.0,51,8560.0
1460.0,55,8722.0
1465.0,44,8777.0
1470.0,43,8932.0
1475.0,49,9161.0
1480.0,49,9325.0
1485.0,45,8873.0
1490.0,39,8984.0
1495.0,43,8498.0
1500.0,34,7375.0
1505.0,32,6885.0
1510.0,43,7054.0
1515.0,48,7160.0
1520.0,44,6789.0
1525.0,39,5590.0
1530.0,31,5708.0
1535.0,30,5688.0
1540.0,32,5458.0
1545.0,39,5324.0
1550.0,40,5487.0
1555.0,41,5684.0
1560.0,42,5771.0
1565.0,37,5376.0
1570.0,32,5445.0
1575.0,35,5483.0
1580.0,36,5517.0
1585.0,46,5667.0
1590.0,43,5278.0
1595.0,39,5464.0
1600.0,35,5076.0
1605.0,34,5079.0
1610.0,34,5229.0
1615.0,35,4840.0
1620.0,27,4958.0
1625.0,38,5125.0
1630.0,48,5334.0
1635.0,59,5601.0
1640.0,63,5332.0
1645.0,61,5628.0
1650.0,58,5918.0
1655.0,56,6205.0
1660.0,60,6492.0
1665.0,60,6533.0
1670.0,59,6328.0
1675.0,54,5989.0
1680.0,39,6200.0
1685.0,33,5789.0
1690.0,30,4862.0
1695.0,27,4291.0
1700.0,26,4140.0
1705.0,26,3998.0
1710.0,22,3468.0
1715.0,24,3451.0
1720.0,30,3504.0
1725.0,42,3638.0
1730.0,49,3870.0
1735.0,55,4137.0
1740.0,64,4444.0
1745.0,64,4764.0
1750.0,70,5106.0
1755.0,66,5143.0
1760.0,60,5425.0
1765.0,66,5722.0
1770.0,59,6025.0
1775.0,57,6025.0
1780.0,53,6271.0
1785.0,58,6283.0
1790.0,45,6180.0
1795.0,34,6089.0
1800.0,32,6212.0
1805.0,32,6374.0
1810.0,43,6564.0
1815.0,50,6507.0
1820.0,57,6777.0
1825.0,61,6992.0
1830.0,57,6867.0
1835.0,48,7058.0
1840.0,51,7277.0
1845.0,56,7547.0
1850.0,56,7410.0
1855.0,58,6908.0
1860.0,54,7000.0
1865.0,47,6905.0
1870.0,39,6729.0
1875.0,34,6566.0
1880.0,28,6663.0
1885.0,29,6398.0
1890.0,29,6504.0
1895.0,41,6684.0
1900.0,51,6912.0
1905.0,57,7186.0
1910.0,62,7454.0
1915.0,63,7342.0
1920.0,60,7646.0
1925.0,53,7506.0
1930.0,47,7751.0
1935.0,40,7548.0
1940.0,40,7744.0
1945.0,53,7957.0
1950.0,56,8220.0
1955.0,56,8022.0
1960.0,55,8298.0
1965.0,62,8600.0
1970.0,55,8436.0
1975.0,49,7804.0
1980.0,45,7130.0
1985.0,37,6948.0
1990.0,31,7089.0
1995.0,36,7262.0
2000.0,39,7312.0
2005.0,51,7158.0
2010.0,53,7330.0
2015.0,55,7581.0
2020.0,55,7850.0
2025.0,55,7572.0
2030.0,55,7845.0
2035.0,58,8123.0
2040.0,56,8405.0
2045.0,53,8189.0
2050.0,50,7511.0
2055.0,46,7098.0
2060.0,39,7297.0
2065.0,39,7482.0
2070.0,41,7681.0
2075.0,44,7430.0
2080.0,46,6572.0
2085.0,48,6800.0
2090.0,47,7030.0
2095.0,46,6772.0
2100.0,44,6125.0
2105.0,42,6344.0
2110.0,42,6124.0
2115.0,38,6312.0
2120.0,38,6095.0
2125.0,47,6285.0
2130.0,44,6490.0
2135.0,47,6314.0
2140.0,46,6541.0
2145.0,50,6378.0
2150.0,39,6181.0
2155.0,33,5602.0
2160.0,35,5591.0
2165.0,39,5778.0
2170.0,42,5541.0
2175.0,43,5693.0
2180.0,54,5942.0
2185.0,62,6234.0
2190.0,58,6470.0
2195.0,67,6786.0
2200.0,73,7118.0
2205.0,71,7005.0
2210.0,65,7338.0
2215.0,60,7201.0
2220.0,47,6610.0
2225.0,40,5715.0
2230.0,38,5912.0
2235.0,40,5682.0
2240.0,44,5894.0
2245.0,50,6118.0
2250.0,51,6009.0
2255.0,44,6227.0
2260.0,43,6096.0
2265.0,39,6171.0
2270.0,47,6261.0
2275.0,53,6515.0
2280.0,61,6805.0
2285.0,67,7129.0
2290.0,70,7470.0
2295.0,64,7285.0
2300.0,57,7554.0
2305.0,61,7834.0
2310.0,48,7667.0
2315.0,43,7094.0
2320.0,43,7120.0
2325.0,43,6806.0
2330.0,43,7012.0
2335.0,40,6868.0
2340.0,36,6555.0
2345.0,29,6633.0
2350.0,35,6792.0
2355.0,47,6997.0
2360.0,51,6903.0
2365.0,52,6664.0
2370.0,42,6841.0
2375.0,37,6713.0
2380.0,30,6442.0
2385.0,27,6572.0
2390.0,26,6306.0
2395.0,35,5509.0
2400.0,39,4808.0
2405.0,41,4654.0
2410.0,39,4758.0
2415.0,38,4841.0
2420.0,40,4697.0
2425.0,37,4539.0
2430.0,37,4657.0
2435.0,39,4821.0
2440.0,44,5014.0
2445.0,46,4876.0
2450.0,47,4748.0
2455.0,47,4945.0
2460.0,38,4784.0
2465.0,32,4931.0
2470.0,36,5099.0
2475.0,41,4930.0
2480.0,45,4456.0
2485.0,46,3994.0
2490.0,36,3529.0
2495.0,31,2846.0
2500.0,24,2723.0
2505.0,24,2806.0
2510.0,28,2696.0
2515.0,28,2409.0
2520.0,30,2031.0
2525.0,36,2188.0
2530.0,50,2407.0
2535.0,51,2433.0
2540.0,50,2688.0
2545.0,44,2730.0
2550.0,35,2919.0
2555.0,30,2872.0
2560.0,33,3028.0
2565.0,33,2982.0
2570.0,41,3166.0
2575.0,50,3220.0
2580.0,36,3193.0
2585.0,29,3337.0
2590.0,32,3488.0
2595.0,41,3477.0
2600.0,42,3415.0
2605.0,46,3366.0
2610.0,42,3575.0
2615.0,37,3559.0
2620.0,41,3487.0
2625.0,47,3469.0
2630.0,39,3522.0
2635.0,37,3484.0
2640.0,30,3409.0
2645.0,28,3113.0
2650.0,29,3113.0
2655.0,40,3279.0
2660.0,43,3350.0
2665.0,61,3492.0
2670.0,58,3764.0
2675.0,65,4082.0
2680.0,69,4417.0
2685.0,74,4777.0
2690.0,74,5147.0
2695.0,70,5229.0
2700.0,65,5559.0
2705.0,57,5590.0
2710.0,44,5334.0
2715.0,43,5546.0
2720.0,47,5706.0
2725.0,55,5967.0
2730.0,62,6263.0
2735.0,61,6296.0
2740.0,57,6553.0
2745.0,59,6844.0
2750.0,51,6701.0
2755.0,50,6191.0
2760.0,48,5440.0
2765.0,45,5649.0
2770.0,48,5882.0
2775.0,50,5806.0
2780.0,45,5996.0
2785.0,49,5902.0
2790.0,42,6112.0
2795.0,37,5982.0
2800.0,36,6156.0
2805.0,45,6061.0
2810.0,47,6295.0
2815.0,47,6465.0
2820.0,51,6402.0
2825.0,47,6237.0
2830.0,42,5522.0
2835.0,33,5210.0
2840.0,24,4772.0
2845.0,34,4261.0
2850.0,24,3929.0
2855.0,26,3940.0
2860.0,33,3943.0
2865.0,42,4116.0
