step_time,total_stopped,total_wait_time
125.0,24,659.0
130.0,27,788.0
135.0,23,756.0
140.0,26,660.0
145.0,31,653.0
150.0,17,674.0
155.0,16,728.0
160.0,19,741.0
165.0,20,709.0
170.0,20,749.0
175.0,26,837.0
180.0,30,964.0
185.0,37,1139.0
190.0,33,1130.0
195.0,32,1288.0
200.0,30,1346.0
205.0,27,1295.0
210.0,21,1406.0
215.0,20,1331.0
220.0,23,1329.0
225.0,27,1259.0
230.0,28,1176.0
235.0,28,1138.0
240.0,17,1161.0
245.0,17,1102.0
250.0,23,1104.0
255.0,31,1066.0
260.0,24,1130.0
265.0,26,1134.0
270.0,23,1109.0
275.0,31,1176.0
280.0,40,1355.0
285.0,40,1359.0
290.0,38,1456.0
295.0,34,1436.0
300.0,29,1272.0
305.0,35,1314.0
310.0,38,1468.0
315.0,41,1553.0
320.0,36,1619.0
325.0,42,1791.0
330.0,27,1824.0
335.0,31,1961.0
340.0,42,2150.0
345.0,52,2271.0
350.0,53,2534.0
355.0,54,2801.0
360.0,57,2993.0
365.0,59,3090.0
370.0,47,3207.0
375.0,39,3334.0
380.0,32,3298.0
385.0,32,3377.0
390.0,38,3344.0
395.0,34,3350.0
400.0,25,3434.0
405.0,28,3511.0
410.0,38,3516.0
415.0,45,3672.0
420.0,51,3876.0
425.0,56,4140.0
430.0,61,4408.0
435.0,62,4443.0
440.0,52,4064.0
445.0,46,4157.0
450.0,39,4140.0
455.0,35,4316.0
460.0,32,4279.0
465.0,28,4135.0
470.0,23,4072.0
475.0,27,4195.0
480.0,26,4134.0
485.0,24,3943.0
490.0,29,4076.0
495.0,36,3948.0
500.0,31,3906.0
505.0,33,3943.0
510.0,30,3785.0
515.0,27,3344.0
520.0,28,2737.0
525.0,34,2678.0
530.0,31,2767.0
535.0,41,2925.0
540.0,40,3121.0
545.0,46,3080.0
550.0,44,2829.0
555.0,48,2979.0
560.0,45,2936.0
565.0,42,2649.0
570.0,37,2602.0
575.0,41,2801.0
580.0,43,2831.0
585.0,40,2798.0
590.0,30,2785.0
595.0,33,2939.0
600.0,25,2915.0
605.0,28,2761.0
610.0,34,2868.0
615.0,40,2977.0
620.0,45,3186.0
625.0,49,3134.0
630.0,43,3218.0
635.0,45,3324.0
640.0,38,3447.0
645.0,40,3354.0
650.0,38,3012.0
655.0,40,2918.0
660.0,38,2980.0
665.0,43,3174.0
670.0,43,3261.0
675.0,33,3199.0
680.0,33,3363.0
685.0,42,3427.0
690.0,35,3450.0
695.0,47,3662.0
700.0,58,3934.0
705.0,56,3951.0
710.0,49,3675.0
715.0,50,3799.0
720.0,49,3922.0
725.0,56,4176.0
730.0,59,4263.0
735.0,57,4271.0
740.0,48,4404.0
745.0,44,4459.0
750.0,36,4369.0
755.0,42,4060.0
760.0,50,3714.0
765.0,43,3884.0
770.0,44,3833.0
775.0,45,4006.0
780.0,47,4052.0
785.0,38,3960.0
790.0,34,3832.0
795.0,36,3898.0
800.0,46,4042.0
805.0,48,4171.0
810.0,50,4348.0
815.0,47,4254.0
820.0,40,3820.0
825.0,30,3727.0
830.0,23,3751.0
835.0,28,3568.0
