step_time,total_stopped,total_wait_time
125.0,38,1830.0
130.0,39,1849.0
135.0,42,2000.0
140.0,38,2013.0
145.0,31,1761.0
150.0,25,1881.0
155.0,21,1975.0
160.0,20,2009.0
165.0,31,2141.0
170.0,41,2320.0
175.0,41,2512.0
180.0,43,2687.0
185.0,44,2898.0
190.0,44,3118.0
195.0,44,3338.0
200.0,44,3558.0
205.0,49,3791.0
210.0,41,3733.0
215.0,33,3365.0
220.0,24,3248.0
225.0,24,3107.0
230.0,25,3218.0
235.0,33,3362.0
240.0,37,3248.0
245.0,37,2865.0
250.0,25,2918.0
255.0,19,2844.0
260.0,19,2821.0
265.0,31,2923.0
270.0,40,3071.0
275.0,47,3292.0
280.0,42,3190.0
285.0,34,2639.0
290.0,29,2639.0
295.0,28,2785.0
300.0,35,2938.0
305.0,37,2815.0
310.0,36,2436.0
315.0,39,2502.0
320.0,44,2709.0
325.0,42,2645.0
330.0,40,2356.0
335.0,37,2370.0
340.0,30,2216.0
345.0,27,2140.0
350.0,24,1910.0
355.0,30,1764.0
360.0,28,1726.0
365.0,28,1554.0
370.0,30,1464.0
375.0,32,1464.0
380.0,38,1613.0
385.0,51,1835.0
390.0,58,2102.0
395.0,57,2226.0
400.0,52,2184.0
405.0,47,2317.0
410.0,47,2533.0
415.0,47,2624.0
420.0,47,2588.0
425.0,40,2541.0
430.0,32,2367.0
435.0,33,2520.0
440.0,37,2690.0
445.0,36,2710.0
450.0,41,2603.0
455.0,40,2643.0
460.0,43,2814.0
465.0,45,2843.0
470.0,43,2711.0
475.0,45,2775.0
480.0,46,3002.0
485.0,47,3229.0
490.0,58,3496.0
495.0,68,3811.0
500.0,65,3949.0
505.0,64,3886.0
510.0,56,4099.0
515.0,53,4326.0
520.0,48,4314.0
525.0,47,4036.0
530.0,41,3969.0
535.0,33,3848.0
540.0,25,3658.0
545.0,21,3123.0
550.0,22,2697.0
555.0,29,2270.0
560.0,29,2326.0
565.0,40,2394.0
570.0,47,2615.0
575.0,54,2869.0
580.0,55,3119.0
585.0,60,3408.0
590.0,57,3506.0
595.0,52,3375.0
600.0,47,3606.0
605.0,52,3855.0
610.0,55,4077.0
615.0,60,4297.0
620.0,66,4610.0
625.0,65,4935.0
630.0,61,5056.0
635.0,54,4962.0
640.0,48,5107.0
645.0,46,5342.0
650.0,52,5590.0
655.0,54,5488.0
660.0,48,4857.0
665.0,47,4266.0
670.0,38,4322.0
675.0,29,4203.0
680.0,27,4208.0
685.0,30,4326.0
690.0,39,4503.0
695.0,41,4580.0
700.0,40,4553.0
705.0,43,4675.0
710.0,46,4896.0
715.0,44,4996.0
720.0,44,4992.0
725.0,41,4958.0
730.0,40,5000.0
735.0,42,5127.0
740.0,42,5316.0
745.0,40,5449.0
750.0,45,5664.0
755.0,47,5892.0
760.0,43,5620.0
765.0,34,4634.0
770.0,28,4787.0
775.0,31,4931.0
780.0,31,5075.0
785.0,34,5139.0
790.0,40,5255.0
795.0,42,5352.0
800.0,40,5386.0
805.0,44,5586.0
810.0,50,5823.0
815.0,53,6061.0
820.0,59,6306.0
825.0,53,6471.0
830.0,46,6563.0
835.0,39,6661.0
840.0,42,6858.0
845.0,46,7077.0
850.0,51,7309.0
855.0,56,7580.0
860.0,54,7247.0
865.0,47,6318.0
870.0,41,4831.0
875.0,33,3411.0
880.0,33,3566.0
885.0,41,3755.0
890.0,45,3846.0
895.0,44,3766.0
900.0,33,3426.0
905.0,23,2702.0
910.0,14,2503.0
915.0,18,2318.0
920.0,21,2181.0
925.0,24,2201.0
930.0,32,2272.0
935.0,33,2072.0
940.0,33,1587.0
945.0,29,1509.0
950.0,22,1398.0
955.0,22,1407.0
960.0,33,1547.0
965.0,40,1666.0
970.0,50,1814.0
975.0,56,2076.0
980.0,61,2370.0
985.0,59,2370.0
990.0,53,2144.0
995.0,45,2057.0
1000.0,41,2211.0
1005.0,43,2371.0
1010.0,45,2488.0
1015.0,45,2504.0
1020.0,45,2698.0
1025.0,49,2928.0
1030.0,53,3172.0
1035.0,55,3421.0
1040.0,56,3457.0
1045.0,51,3256.0
1050.0,46,3282.0
1055.0,43,3505.0
1060.0,47,3729.0
1065.0,55,3992.0
1070.0,66,4298.0
1075.0,64,4422.0
1080.0,56,4336.0
1085.0,53,4522.0
1090.0,48,4767.0
1095.0,47,4718.0
1100.0,44,4406.0
1105.0,36,4159.0
1110.0,30,3974.0
1115.0,28,3633.0
1120.0,29,3462.0
1125.0,31,3548.0
1130.0,44,3746.0
1135.0,49,3910.0
1140.0,57,4143.0
1145.0,55,4100.0
1150.0,50,3734.0
1155.0,41,3651.0
1160.0,28,3446.0
1165.0,21,3162.0
1170.0,15,2643.0
1175.0,22,1920.0
1180.0,25,1443.0
1185.0,34,1531.0
1190.0,39,1710.0
1195.0,41,1724.0
1200.0,40,1595.0
1205.0,37,1730.0
1210.0,40,1916.0
1215.0,40,1994.0
1220.0,40,1958.0
1225.0,40,1907.0
1230.0,42,1973.0
1235.0,43,2119.0
1240.0,50,2360.0
1245.0,51,2458.0
1250.0,54,2535.0
