step_time,total_stopped,total_wait_time
130.0,27,962.0
140.0,29,1106.0
150.0,33,1337.0
160.0,35,1672.0
170.0,39,2041.0
180.0,27,1698.0
190.0,25,1845.0
200.0,20,1499.0
210.0,29,1733.0
220.0,43,2079.0
230.0,53,2554.0
240.0,42,2441.0
250.0,26,1965.0
260.0,30,2215.0
270.0,36,1996.0
280.0,32,1821.0
290.0,27,1489.0
300.0,30,1540.0
310.0,31,1598.0
320.0,40,1859.0
330.0,42,2241.0
340.0,29,1910.0
350.0,24,2024.0
360.0,25,1788.0
370.0,28,1776.0
380.0,33,2000.0
390.0,37,2319.0
400.0,24,1849.0
410.0,15,1667.0
420.0,21,1721.0
430.0,34,2009.0
440.0,39,2289.0
450.0,43,2689.0
460.0,39,3003.0
470.0,45,3417.0
480.0,42,3789.0
490.0,41,4095.0
500.0,27,3300.0
510.0,12,3386.0
520.0,24,3549.0
530.0,39,3836.0
540.0,35,4119.0
550.0,40,4493.0
560.0,42,4906.0
570.0,26,3928.0
580.0,14,3850.0
590.0,21,3957.0
600.0,19,2885.0
610.0,18,3058.0
620.0,26,3225.0
630.0,36,3538.0
640.0,36,3756.0
650.0,37,4111.0
660.0,40,4490.0
670.0,28,3480.0
680.0,19,3463.0
690.0,28,3683.0
700.0,27,2700.0
710.0,23,2932.0
720.0,35,3161.0
730.0,43,3554.0
740.0,48,4005.0
750.0,51,4508.0
760.0,49,4941.0
770.0,45,4745.0
780.0,43,5034.0
790.0,45,5462.0
800.0,45,5724.0
810.0,33,4300.0
820.0,23,4228.0
830.0,23,4269.0
840.0,34,4438.0
850.0,27,3449.0
860.0,21,3597.0
870.0,32,3833.0
880.0,46,4232.0
890.0,36,3383.0
900.0,28,3499.0
910.0,43,3848.0
920.0,44,3962.0
930.0,47,4048.0
940.0,55,4497.0
950.0,59,5067.0
960.0,43,4161.0
970.0,29,4106.0
980.0,42,4435.0
990.0,58,4933.0
1000.0,62,5494.0
1010.0,51,4667.0
1020.0,47,5142.0
1030.0,58,5650.0
1040.0,54,4996.0
1050.0,32,4413.0
1060.0,27,3445.0
1070.0,26,2803.0
1080.0,26,1792.0
1090.0,30,1898.0
1100.0,46,2201.0
1110.0,37,2000.0
1120.0,36,2139.0
1130.0,50,2572.0
1140.0,56,3037.0
1150.0,61,3624.0
1160.0,61,4234.0
1170.0,66,4857.0
1180.0,70,5535.0
1190.0,60,5327.0
1200.0,52,5749.0
1210.0,45,4986.0
1220.0,30,4547.0
1230.0,34,4824.0
1240.0,57,5291.0
1250.0,51,4889.0
1260.0,40,5164.0
1270.0,53,5624.0
1280.0,62,5935.0
1290.0,51,5628.0
1300.0,47,5970.0
1310.0,57,6444.0
1320.0,52,6172.0
1330.0,38,4946.0
1340.0,31,3470.0
1350.0,36,3739.0
1360.0,36,3096.0
1370.0,31,3336.0
1380.0,44,3720.0
1390.0,39,2983.0
1400.0,39,3227.0
1410.0,37,2888.0
1420.0,28,2325.0
1430.0,34,2391.0
1440.0,40,2650.0
1450.0,37,2386.0
1460.0,28,1805.0
1470.0,19,1274.0
1480.0,28,1463.0
1490.0,30,1308.0
1500.0,37,1632.0
1510.0,34,1783.0
1520.0,24,1348.0
1530.0,20,1417.0
1540.0,19,1075.0
1550.0,36,1257.0
1560.0,31,1411.0
1570.0,36,1684.0
1580.0,35,1907.0
1590.0,31,1608.0
1600.0,26,1392.0
1610.0,20,1360.0
1620.0,25,1373.0
1630.0,26,917.0
1640.0,32,673.0
1650.0,39,950.0
1660.0,29,959.0
1670.0,35,1244.0
1680.0,38,1464.0
1690.0,47,1888.0
1700.0,35,1825.0
1710.0,32,2074.0
1720.0,28,1849.0
1730.0,32,1828.0
1740.0,25,1551.0
1750.0,14,1499.0
1760.0,22,1510.0
1770.0,30,1744.0
1780.0,31,2023.0
1790.0,34,2339.0
1800.0,40,2687.0
1810.0,40,3085.0
1820.0,30,2604.0
1830.0,23,2700.0
1840.0,25,2130.0
1850.0,17,1240.0
1860.0,20,1177.0
1870.0,15,1031.0
1880.0,30,1169.0
1890.0,32,1402.0
1900.0,41,1760.0
1910.0,28,1342.0
1920.0,35,1536.0
1930.0,47,1952.0
1940.0,53,2463.0
1950.0,60,3029.0
1960.0,54,3424.0
1970.0,44,3240.0
1980.0,21,2516.0
1990.0,26,2117.0
2000.0,39,2325.0
2010.0,35,2052.0
2020.0,28,2142.0
2030.0,38,2340.0
2040.0,49,2792.0
2050.0,35,2516.0
2060.0,30,1900.0
2070.0,32,1697.0
2080.0,36,1998.0
2090.0,46,2420.0
2100.0,55,2929.0
2110.0,45,2611.0
2120.0,36,2756.0
2130.0,35,2393.0
2140.0,33,1719.0
2150.0,39,2064.0
2160.0,40,2129.0
2170.0,42,2310.0
2180.0,33,2096.0
2190.0,22,1479.0
2200.0,19,1254.0
2210.0,24,1137.0
2220.0,26,1121.0
2230.0,18,1020.0
2240.0,21,982.0
2250.0,14,783.0
2260.0,12,463.0
2270.0,12,373.0
2280.0,11,336.0
2290.0,22,437.0
2300.0,28,688.0
2310.0,35,772.0
2320.0,21,760.0
2330.0,26,919.0
2340.0,22,919.0
2350.0,15,735.0
2360.0,26,871.0
2370.0,41,1229.0
2380.0,46,1660.0
2390.0,52,2146.0
2400.0,38,2135.0
2410.0,41,2316.0
2420.0,42,2151.0
2430.0,35,2420.0
2440.0,50,2855.0
2450.0,46,2810.0
2460.0,44,3150.0
2470.0,37,3110.0
2480.0,32,2647.0
2490.0,34,2981.0
2500.0,37,2675.0
2510.0,37,2534.0
2520.0,55,2983.0
2530.0,63,3560.0
2540.0,68,4212.0
2550.0,73,4913.0
2560.0,56,4797.0
2570.0,35,4341.0
2580.0,31,4317.0
2590.0,55,4755.0
2600.0,51,4498.0
2610.0,46,4946.0
2620.0,61,5480.0
2630.0,59,5376.0
2640.0,45,4858.0
2650.0,36,3953.0
2660.0,21,3641.0
2670.0,23,2655.0
2680.0,28,2569.0
2690.0,40,2803.0
2700.0,42,2211.0
2710.0,32,2313.0
2720.0,49,2707.0
2730.0,61,3248.0
2740.0,67,3896.0
2750.0,56,3570.0
2760.0,42,3007.0
2770.0,48,3426.0
2780.0,45,3572.0
2790.0,41,3738.0
2800.0,45,4020.0
2810.0,46,4476.0
2820.0,49,4956.0
2830.0,52,5469.0
2840.0,42,5698.0
2850.0,44,5984.0
2860.0,46,6422.0
2870.0,34,5315.0
2880.0,21,3663.0
2890.0,18,2010.0
2900.0,22,754.0
2910.0,25,988.0
2920.0,28,1265.0
2930.0,26,1356.0
2940.0,30,1619.0
2950.0,31,1893.0
2960.0,30,2002.0
2970.0,15,1474.0
2980.0,14,1602.0
2990.0,27,1787.0
3000.0,34,2003.0
3010.0,35,2274.0
3020.0,37,2617.0
3030.0,24,1924.0
3040.0,11,1078.0
3050.0,15,992.0
3060.0,25,1141.0
3070.0,33,1449.0
3080.0,25,1204.0
3090.0,19,724.0
3100.0,25,903.0
3110.0,36,1219.0
3120.0,33,1465.0
3130.0,38,1804.0
3140.0,43,2194.0
3150.0,30,2114.0
3160.0,36,2325.0
3170.0,35,1965.0
3180.0,33,2235.0
3190.0,47,2630.0
3200.0,40,2367.0
3210.0,41,2739.0
3220.0,55,3166.0
3230.0,50,3029.0
3240.0,41,2680.0
3250.0,44,3019.0
3260.0,42,3239.0
3270.0,34,2757.0
3280.0,32,2841.0
3290.0,26,2435.0
3300.0,32,1696.0
3310.0,36,1249.0
3320.0,30,1118.0
3330.0,20,1228.0
3340.0,31,1484.0
3350.0,28,1371.0
3360.0,24,1522.0
3370.0,19,1354.0
3380.0,23,1344.0
3390.0,28,1051.0
3400.0,21,867.0
3410.0,16,822.0
3420.0,27,729.0
3430.0,29,1015.0
3440.0,22,873.0
3450.0,18,567.0
3460.0,23,539.0
3470.0,17,473.0
3480.0,16,446.0
3490.0,20,597.0
3500.0,10,437.0
3510.0,12,294.0
3520.0,12,397.0
3530.0,16,533.0
3540.0,18,513.0
3550.0,21,663.0
3560.0,20,819.0
3570.0,21,1024.0
3580.0,9,671.0
3590.0,9,722.0
3600.0,19,877.0
3610.0,23,1087.0
3620.0,22,1240.0
3630.0,24,1377.0
3640.0,26,1598.0
3650.0,28,1802.0
3660.0,21,1273.0
3670.0,19,1249.0
3680.0,26,1404.0
3690.0,33,1699.0
3700.0,26,1212.0
3710.0,26,1282.0
3720.0,30,1058.0
3730.0,22,873.0
3740.0,23,823.0
3750.0,37,1039.0
3760.0,34,1202.0
3770.0,34,1351.0
3780.0,39,1669.0
3790.0,37,1914.0
3800.0,42,2262.0
3810.0,45,2636.0
3820.0,42,2959.0
3830.0,43,3333.0
3840.0,45,3762.0
3850.0,46,4134.0
3860.0,49,4596.0
3870.0,46,5008.0
3880.0,47,5475.0
3890.0,47,5945.0
3900.0,47,6415.0
3910.0,34,5560.0
3920.0,31,5605.0
3930.0,26,5354.0
3940.0,40,5536.0
3950.0,43,5961.0
3960.0,31,4966.0
3970.0,13,4668.0
3980.0,36,4877.0
3990.0,34,3895.0
4000.0,24,1978.0
4010.0,19,1693.0
4020.0,31,1902.0
4030.0,43,2272.0
4040.0,31,2397.0
4050.0,35,2657.0
4060.0,33,1796.0
4070.0,21,1538.0
4080.0,28,1547.0
4090.0,33,1833.0
4100.0,38,2184.0
4110.0,39,2569.0
4120.0,28,2244.0
4130.0,22,2087.0
4140.0,35,2378.0
4150.0,38,2651.0
4160.0,30,2376.0
4170.0,25,1992.0
4180.0,31,2163.0
4190.0,30,1414.0
4200.0,40,1465.0
4210.0,43,1382.0
4220.0,46,1778.0
4230.0,36,1821.0
4240.0,30,2007.0
4250.0,46,2358.0
4260.0,54,2871.0
4270.0,43,2682.0
4280.0,34,2257.0
4290.0,38,2142.0
4300.0,43,2484.0
4310.0,45,2931.0
4320.0,33,2575.0
4330.0,17,1719.0
4340.0,10,1350.0
4350.0,21,1368.0
4360.0,28,1448.0
4370.0,31,1744.0
4380.0,20,1304.0
4390.0,14,1229.0
4400.0,25,1240.0
4410.0,33,1536.0
4420.0,38,1892.0
4430.0,39,2196.0
4440.0,33,2412.0
4450.0,37,2743.0
4460.0,43,3144.0
4470.0,53,3624.0
4480.0,51,4095.0
4490.0,53,4621.0
4500.0,46,4817.0
4510.0,43,5134.0
4520.0,40,5320.0
4530.0,30,4322.0
4540.0,28,4604.0
4550.0,36,4919.0
4560.0,50,5370.0
4570.0,41,4538.0
4580.0,30,4469.0
4590.0,44,4822.0
4600.0,45,4837.0
4610.0,36,3892.0
4620.0,32,2121.0
4630.0,37,1420.0
4640.0,37,1708.0
4650.0,34,1742.0
4660.0,39,1968.0
4670.0,35,2129.0
4680.0,41,2504.0
4690.0,38,2851.0
4700.0,41,3242.0
4710.0,39,3504.0
4720.0,27,2890.0
4730.0,18,2936.0
4740.0,11,2259.0
4750.0,11,2185.0
4760.0,14,1570.0
4770.0,19,1624.0
4780.0,23,1188.0
4790.0,22,1253.0
4800.0,22,1209.0
4810.0,24,1166.0
4820.0,27,1389.0
4830.0,27,1619.0
4840.0,29,1875.0
4850.0,33,2177.0
4860.0,39,2542.0
4870.0,38,2819.0
4880.0,39,3206.0
4890.0,25,2439.0
4900.0,18,2633.0
4910.0,11,1919.0
4920.0,10,904.0
4930.0,15,926.0
4940.0,12,664.0
4950.0,22,773.0
4960.0,34,1063.0
4970.0,38,1412.0
4980.0,26,1331.0
4990.0,16,901.0
5000.0,27,1109.0
5010.0,37,1352.0
5020.0,45,1764.0
5030.0,51,2248.0
5040.0,53,2753.0
5050.0,43,2729.0
5060.0,37,3030.0
5070.0,38,2993.0
5080.0,42,3327.0
5090.0,42,2938.0
5100.0,35,2335.0
5110.0,37,1885.0
5120.0,31,1610.0
5130.0,23,1581.0
5140.0,30,1565.0
5150.0,29,1343.0
5160.0,21,971.0
5170.0,18,688.0
5180.0,24,693.0
5190.0,30,937.0
5200.0,34,1072.0
5210.0,24,940.0
5220.0,23,1028.0
5230.0,23,955.0
5240.0,35,1166.0
5250.0,30,1279.0
5260.0,35,1566.0
5270.0,42,1965.0
5280.0,34,2234.0
5290.0,30,1871.0
5300.0,16,2012.0
5310.0,19,1558.0
5320.0,14,1527.0
5330.0,30,1750.0
5340.0,40,2105.0
5350.0,41,2357.0
5360.0,45,2790.0
5370.0,41,2794.0
5380.0,40,3128.0
5390.0,43,3516.0
5400.0,29,2796.0
5410.0,22,2887.0
5420.0,23,3003.0
5430.0,41,3331.0
5440.0,39,3688.0
5450.0,41,3803.0
5460.0,40,4155.0
5470.0,42,4501.0
5480.0,38,4849.0
5490.0,41,5247.0
5500.0,39,5611.0
5510.0,41,5996.0
5520.0,45,6419.0
5530.0,45,6830.0
5540.0,41,7138.0
5550.0,45,7548.0
5560.0,44,7943.0
5570.0,42,8285.0
5580.0,43,8700.0
5590.0,44,9136.0
5600.0,47,9585.0
5610.0,33,8022.0
5620.0,23,7828.0
5630.0,20,6193.0
5640.0,18,3419.0
5650.0,18,3119.0
5660.0,29,3047.0
5670.0,32,3182.0
5680.0,36,3501.0
5690.0,40,3855.0
5700.0,44,4270.0
5710.0,49,4727.0
5720.0,41,4797.0
5730.0,26,2685.0
5740.0,31,2821.0
5750.0,34,1788.0
5760.0,44,2154.0
5770.0,57,2657.0
5780.0,53,2556.0
5790.0,43,2681.0
5800.0,60,3196.0
5810.0,66,3826.0
5820.0,54,3822.0
5830.0,38,3342.0
5840.0,35,3679.0
5850.0,34,3303.0
5860.0,43,3684.0
5870.0,41,3382.0
5880.0,37,3382.0
5890.0,39,3007.0
5900.0,26,2610.0
5910.0,17,2105.0
5920.0,24,1453.0
5930.0,25,1087.0
5940.0,21,867.0
5950.0,28,973.0
5960.0,34,1278.0
5970.0,39,1620.0
5980.0,42,2020.0
5990.0,35,1839.0
6000.0,41,2099.0
6010.0,44,2531.0
6020.0,31,2308.0
6030.0,22,2156.0
6040.0,18,1844.0
6050.0,20,1924.0
6060.0,28,1515.0
6070.0,38,1826.0
6080.0,42,2229.0
6090.0,46,2452.0
6100.0,36,2111.0
6110.0,18,1965.0
6120.0,26,1940.0
6130.0,36,2196.0
6140.0,39,2498.0
6150.0,37,2809.0
6160.0,30,2281.0
6170.0,25,2414.0
6180.0,19,1875.0
6190.0,17,1048.0
6200.0,11,891.0
6210.0,31,1101.0
6220.0,36,1235.0
6230.0,23,1017.0
6240.0,18,708.0
6250.0,27,914.0
6260.0,22,1047.0
6270.0,32,1301.0
6280.0,36,1529.0
6290.0,30,1724.0
6300.0,37,2026.0
6310.0,27,1622.0
6320.0,17,1578.0
6330.0,29,1781.0
6340.0,32,2030.0
6350.0,38,2378.0
6360.0,37,2708.0
6370.0,38,3079.0
6380.0,35,3111.0
6390.0,37,3475.0
6400.0,26,2750.0
6410.0,15,2578.0
6420.0,20,2676.0
6430.0,34,2958.0
6440.0,21,2270.0
6450.0,11,2089.0
6460.0,23,2246.0
6470.0,34,2534.0
6480.0,41,2918.0
6490.0,42,3283.0
6500.0,43,3708.0
6510.0,28,2806.0
6520.0,17,1647.0
6530.0,19,1662.0
6540.0,27,1786.0
6550.0,32,1666.0
6560.0,38,2030.0
6570.0,39,2319.0
6580.0,44,2721.0
6590.0,50,3198.0
6600.0,54,3721.0
6610.0,56,4222.0
6620.0,42,4316.0
6630.0,39,4408.0
6640.0,41,4775.0
6650.0,42,5192.0
6660.0,46,5637.0
6670.0,47,6067.0
6680.0,38,6314.0
6690.0,46,6723.0
6700.0,40,7071.0
6710.0,42,7478.0
6720.0,48,7925.0
6730.0,36,6627.0
6740.0,24,6520.0
6750.0,34,6765.0
6760.0,46,7177.0
6770.0,50,7634.0
6780.0,40,7685.0
6790.0,29,5957.0
6800.0,15,5928.0
6810.0,23,6013.0
6820.0,34,6312.0
6830.0,39,6686.0
6840.0,27,5105.0
6850.0,21,5323.0
6860.0,32,5576.0
6870.0,50,5986.0
6880.0,41,6294.0
6890.0,33,4795.0
6900.0,28,5048.0
6910.0,23,3246.0
6920.0,18,1549.0
6930.0,23,1071.0
6940.0,22,713.0
6950.0,26,873.0
6960.0,24,1025.0
6970.0,27,1270.0
6980.0,29,1531.0
6990.0,37,1869.0
7000.0,22,1545.0
7010.0,16,872.0
7020.0,14,718.0
7030.0,25,901.0
7040.0,30,1167.0
7050.0,31,1467.0
7060.0,35,1797.0
7070.0,38,2147.0
7080.0,38,1846.0
7090.0,37,2018.0
7100.0,36,2310.0
7110.0,38,2573.0
7120.0,38,2919.0
7130.0,27,2385.0
7140.0,15,2277.0
7150.0,24,2423.0
7160.0,37,2711.0
7170.0,45,3111.0
7180.0,30,2455.0
7190.0,19,1483.0
7200.0,12,1404.0
7210.0,25,1594.0
7220.0,29,1588.0
7230.0,21,1143.0
7240.0,19,1201.0
7250.0,19,861.0
7260.0,21,860.0
7270.0,28,1078.0
7280.0,18,870.0
7290.0,26,884.0
7300.0,26,1046.0
7310.0,29,1326.0
7320.0,35,1632.0
7330.0,38,1991.0
7340.0,33,2064.0
7350.0,26,1454.0
7360.0,22,1542.0
7370.0,34,1787.0
7380.0,41,2058.0
7390.0,44,2485.0
7400.0,33,2034.0
7410.0,15,1769.0
7420.0,26,1915.0
7430.0,39,2237.0
7440.0,48,2675.0
7450.0,39,2847.0
7460.0,40,3125.0
7470.0,40,3511.0
7480.0,42,3906.0
7490.0,28,3236.0
7500.0,17,3219.0
7510.0,22,3337.0
7520.0,35,3634.0
7530.0,38,4000.0
7540.0,35,4262.0
7550.0,27,3426.0
7560.0,18,3419.0
7570.0,26,3581.0
7580.0,39,3900.0
7590.0,40,4198.0
7600.0,42,4602.0
7610.0,28,3675.0
7620.0,15,1909.0
7630.0,16,1787.0
7640.0,34,2041.0
7650.0,26,2195.0
7660.0,40,2530.0
7670.0,34,2761.0
7680.0,40,2779.0
7690.0,42,3113.0
7700.0,44,3467.0
7710.0,43,3798.0
7720.0,39,4129.0
7730.0,43,4511.0
7740.0,49,4949.0
7750.0,41,5278.0
7760.0,36,3998.0
7770.0,28,3877.0
7780.0,25,2849.0
7790.0,23,1665.0
7800.0,27,1593.0
7810.0,22,1245.0
7820.0,21,980.0
7830.0,23,1195.0
7840.0,24,1390.0
7850.0,30,1659.0
7860.0,32,1916.0
7870.0,19,1490.0
7880.0,18,1434.0
7890.0,29,1653.0
7900.0,26,1655.0
7910.0,30,1906.0
7920.0,34,2218.0
7930.0,36,2553.0
7940.0,42,2937.0
7950.0,36,3257.0
7960.0,26,2521.0
7970.0,17,2693.0
7980.0,36,2963.0
7990.0,33,2375.0
8000.0,27,2550.0
8010.0,27,2007.0
8020.0,24,1463.0
8030.0,32,1613.0
8040.0,27,1464.0
8050.0,25,1090.0
8060.0,38,1380.0
8070.0,43,1796.0
8080.0,46,2242.0
8090.0,50,2626.0
8100.0,54,3139.0
8110.0,44,2918.0
8120.0,41,3315.0
8130.0,40,2698.0
8140.0,33,2016.0
8150.0,40,2239.0
8160.0,39,1989.0
8170.0,32,2198.0
8180.0,45,2566.0
8190.0,42,2411.0
8200.0,47,2664.0
8210.0,53,2992.0
8220.0,63,3583.0
8230.0,53,3635.0
8240.0,37,3023.0
8250.0,36,3188.0
8260.0,51,3602.0
8270.0,47,3621.0
8280.0,41,3856.0
8290.0,58,4349.0
8300.0,63,4921.0
8310.0,51,4469.0
8320.0,38,3338.0
8330.0,34,2501.0
8340.0,41,2736.0
8350.0,36,2749.0
8360.0,36,3053.0
8370.0,37,3418.0
8380.0,37,3777.0
8390.0,39,4153.0
8400.0,25,3306.0
8410.0,12,2060.0
8420.0,11,873.0
8430.0,12,289.0
8440.0,16,419.0
8450.0,20,556.0
8460.0,24,773.0
8470.0,23,850.0
8480.0,15,581.0
8490.0,22,681.0
8500.0,31,908.0
8510.0,24,917.0
8520.0,35,1201.0
8530.0,38,1555.0
8540.0,29,1358.0
8550.0,12,1273.0
8560.0,17,954.0
8570.0,13,898.0
8580.0,26,1003.0
8590.0,20,833.0
8600.0,15,881.0
8610.0,26,1049.0
8620.0,33,1320.0
8630.0,41,1694.0
8640.0,44,2131.0
8650.0,47,2578.0
8660.0,44,2945.0
8670.0,50,3411.0
8680.0,46,3528.0
8690.0,42,3747.0
8700.0,45,4164.0
8710.0,48,4625.0
8720.0,49,5039.0
8730.0,43,5282.0
8740.0,46,5701.0
8750.0,49,6184.0
8760.0,52,6685.0
8770.0,39,5789.0
8780.0,28,5966.0
8790.0,28,5888.0
8800.0,39,6041.0
8810.0,29,4947.0
8820.0,20,4714.0
8830.0,26,4779.0
8840.0,22,3667.0
8850.0,16,3656.0
8860.0,18,2532.0
8870.0,14,685.0
8880.0,24,668.0
8890.0,35,964.0
8900.0,25,957.0
8910.0,17,716.0
8920.0,23,699.0
8930.0,26,858.0
8940.0,30,1107.0
8950.0,29,1078.0
8960.0,34,1321.0
8970.0,39,1693.0
8980.0,37,1943.0
8990.0,40,2318.0
9000.0,42,2720.0
9010.0,27,2232.0
9020.0,16,2300.0
9030.0,22,2443.0
9040.0,37,2740.0
9050.0,40,3116.0
9060.0,33,2673.0
9070.0,23,2663.0
9080.0,31,2822.0
9090.0,47,3220.0
9100.0,39,3416.0
