step_time,total_stopped,total_wait_time
125.0,22,1345.0
135.0,28,1147.0
145.0,30,1336.0
155.0,23,1458.0
165.0,36,1764.0
175.0,34,1771.0
185.0,28,1142.0
195.0,26,1109.0
205.0,27,765.0
215.0,26,824.0
225.0,27,909.0
235.0,37,1229.0
245.0,31,1336.0
255.0,23,1341.0
265.0,27,1468.0
275.0,31,1679.0
285.0,35,2001.0
295.0,31,2233.0
305.0,37,2531.0
315.0,43,2947.0
325.0,29,2808.0
335.0,21,2592.0
345.0,36,2761.0
355.0,33,1958.0
365.0,21,1502.0
375.0,39,1806.0
385.0,45,2080.0
395.0,33,2007.0
405.0,30,2086.0
415.0,43,2309.0
425.0,36,2373.0
435.0,41,2742.0
445.0,55,3166.0
455.0,51,3322.0
465.0,35,3504.0
475.0,51,3916.0
485.0,67,4527.0
495.0,63,4972.0
505.0,53,5054.0
515.0,45,5367.0
525.0,52,5598.0
535.0,57,6086.0
545.0,71,6735.0
555.0,62,6894.0
565.0,65,7325.0
575.0,56,7333.0
585.0,57,7880.0
595.0,69,8410.0
605.0,78,9162.0
615.0,83,9964.0
625.0,65,9850.0
635.0,43,7531.0
645.0,46,7925.0
655.0,66,8407.0
665.0,61,7487.0
675.0,55,6692.0
685.0,70,7304.0
695.0,76,8055.0
705.0,73,8358.0
715.0,71,9067.0
725.0,82,9840.0
735.0,70,9726.0
745.0,52,8480.0
755.0,55,8648.0
765.0,69,9298.0
775.0,68,9370.0
785.0,54,9432.0
795.0,64,9648.0
805.0,58,8866.0
815.0,49,9173.0
825.0,50,8901.0
835.0,54,9300.0
845.0,57,9433.0
855.0,59,9982.0
865.0,59,10572.0
875.0,57,10960.0
885.0,37,9458.0
895.0,31,7863.0
905.0,29,7484.0
915.0,28,6780.0
925.0,26,6749.0
935.0,29,6184.0
945.0,31,6305.0
955.0,34,6473.0
965.0,48,6796.0
975.0,45,7163.0
985.0,55,7686.0
995.0,55,8169.0
1005.0,59,8757.0
1015.0,52,8463.0
1025.0,43,5146.0
1035.0,18,4519.0
1045.0,26,2438.0
1055.0,33,2514.0
1065.0,47,2880.0
1075.0,45,3057.0
1085.0,33,2489.0
1095.0,37,2526.0
1105.0,32,1652.0
