step_time,total_stopped,total_wait_time
125.0,22,1350.0
135.0,28,1212.0
145.0,28,1293.0
155.0,31,1578.0
165.0,34,1916.0
175.0,25,1548.0
185.0,28,1164.0
195.0,28,1358.0
205.0,42,1712.0
215.0,48,2157.0
225.0,52,2658.0
235.0,49,3082.0
245.0,56,3595.0
255.0,55,3925.0
265.0,47,4009.0
275.0,54,4389.0
285.0,58,4958.0
295.0,54,4348.0
305.0,50,3189.0
315.0,35,3197.0
325.0,45,3590.0
335.0,60,4115.0
345.0,56,3913.0
355.0,48,3844.0
365.0,62,4399.0
375.0,65,4856.0
385.0,49,5013.0
395.0,59,5387.0
405.0,64,6011.0
415.0,58,6217.0
425.0,46,5173.0
435.0,35,5314.0
445.0,47,5406.0
455.0,47,5794.0
465.0,54,5938.0
475.0,42,5365.0
485.0,32,5031.0
495.0,47,5256.0
505.0,55,5397.0
515.0,50,5902.0
525.0,47,5964.0
535.0,53,6445.0
545.0,50,6649.0
555.0,56,7112.0
565.0,62,7673.0
575.0,74,8371.0
585.0,72,8741.0
595.0,61,9300.0
605.0,62,9876.0
615.0,58,8519.0
625.0,47,7729.0
635.0,58,8240.0
645.0,71,8892.0
655.0,61,8933.0
665.0,57,9374.0
675.0,64,9397.0
685.0,51,8176.0
695.0,34,6977.0
705.0,31,4904.0
715.0,30,3708.0
725.0,39,4018.0
735.0,51,4465.0
745.0,49,4509.0
755.0,48,3590.0
765.0,48,3821.0
775.0,58,4380.0
785.0,57,4810.0
795.0,46,3520.0
805.0,28,2877.0
815.0,36,3147.0
825.0,56,3628.0
835.0,50,3728.0
845.0,43,3014.0
855.0,34,3022.0
865.0,41,2508.0
875.0,40,2233.0
885.0,37,1899.0
895.0,30,2049.0
905.0,43,2195.0
915.0,44,2543.0
925.0,51,2990.0
935.0,48,3171.0
945.0,38,2741.0
955.0,36,2683.0
965.0,37,1788.0
975.0,37,1896.0
985.0,43,1814.0
995.0,45,1967.0
1005.0,30,2014.0
1015.0,28,1802.0
1025.0,32,1880.0
1035.0,50,2213.0
1045.0,41,2243.0
1055.0,48,2673.0
1065.0,55,3141.0
1075.0,41,2733.0
1085.0,40,2440.0
1095.0,65,2994.0
1105.0,72,3520.0
1115.0,71,4201.0
1125.0,79,4714.0
1135.0,64,4381.0
1145.0,65,4864.0
1155.0,64,5082.0
1165.0,67,5493.0
1175.0,55,4938.0
1185.0,29,4810.0
1195.0,31,4135.0
1205.0,39,4044.0
1215.0,48,3064.0
1225.0,44,3181.0
1235.0,43,2561.0
1245.0,37,2575.0
1255.0,40,1962.0
1265.0,45,1900.0
1275.0,46,2166.0
1285.0,53,2573.0
1295.0,54,2449.0
1305.0,45,2362.0
1315.0,50,2495.0
1325.0,54,2826.0
1335.0,47,2955.0
1345.0,47,3265.0
1355.0,47,3735.0
1365.0,51,4241.0
1375.0,35,4277.0
1385.0,33,3347.0
1395.0,19,3320.0
1405.0,25,3089.0
1415.0,32,3315.0
1425.0,41,3678.0
1435.0,38,3754.0
1445.0,29,3908.0
1455.0,33,4205.0
1465.0,30,4091.0
1475.0,25,4205.0
1485.0,26,4078.0
1495.0,32,4375.0
1505.0,43,4733.0
1515.0,37,3890.0
1525.0,23,2129.0
1535.0,21,1485.0
1545.0,24,1267.0
1555.0,26,1327.0
1565.0,36,1618.0
1575.0,39,1728.0
1585.0,40,1875.0
1595.0,39,2232.0
1605.0,47,2605.0
1615.0,55,3069.0
1625.0,60,3666.0
1635.0,66,4304.0
1645.0,60,4583.0
1655.0,59,5183.0
1665.0,73,5847.0
1675.0,60,5927.0
1685.0,41,4832.0
1695.0,38,4891.0
1705.0,42,4081.0
1715.0,39,4316.0
1725.0,59,4827.0
1735.0,60,5070.0
1745.0,65,5639.0
1755.0,54,5408.0
1765.0,45,4601.0
1775.0,43,4852.0
1785.0,53,5126.0
1795.0,50,5624.0
1805.0,65,6205.0
1815.0,66,6343.0
1825.0,54,4845.0
1835.0,43,4928.0
1845.0,46,3848.0
1855.0,44,3569.0
1865.0,44,2991.0
1875.0,24,2710.0
1885.0,29,2754.0
1895.0,31,2838.0
1905.0,51,3276.0
1915.0,56,3645.0
1925.0,56,4187.0
1935.0,46,3928.0
1945.0,42,3885.0
1955.0,42,4222.0
1965.0,44,4658.0
1975.0,46,5106.0
1985.0,43,5157.0
1995.0,34,5516.0
2005.0,37,5867.0
2015.0,50,6276.0
2025.0,36,5416.0
2035.0,27,3599.0
2045.0,24,2114.0
2055.0,26,1839.0
2065.0,28,1655.0
2075.0,30,1951.0
2085.0,28,1989.0
2095.0,26,2202.0
2105.0,38,2504.0
2115.0,46,2930.0
2125.0,46,3006.0
2135.0,30,3163.0
2145.0,33,3286.0
2155.0,58,3768.0
