step_time,total_stopped,total_wait_time
125.0,23,1339.0
130.0,24,1207.0
135.0,25,1307.0
140.0,35,1461.0
145.0,35,1440.0
150.0,28,1278.0
155.0,28,1224.0
160.0,30,1155.0
165.0,30,1099.0
170.0,32,1081.0
175.0,35,1205.0
180.0,43,1407.0
185.0,42,1460.0
190.0,36,1356.0
195.0,25,1436.0
200.0,25,1472.0
205.0,26,1433.0
210.0,24,1284.0
215.0,21,1198.0
220.0,14,1039.0
225.0,20,1026.0
230.0,36,1171.0
235.0,40,1231.0
240.0,35,1113.0
245.0,33,1281.0
250.0,30,1440.0
255.0,40,1617.0
260.0,47,1840.0
265.0,49,1951.0
270.0,46,1948.0
275.0,40,1927.0
280.0,30,1782.0
285.0,30,1827.0
290.0,41,2012.0
295.0,54,2254.0
300.0,60,2400.0
305.0,55,2438.0
310.0,44,2517.0
315.0,33,2436.0
320.0,32,2370.0
325.0,33,2151.0
330.0,45,2203.0
335.0,59,2468.0
340.0,56,2596.0
345.0,52,2625.0
350.0,53,2705.0
355.0,49,2639.0
360.0,43,2726.0
365.0,45,2860.0
370.0,52,3095.0
375.0,58,3376.0
380.0,53,3420.0
385.0,43,3206.0
390.0,35,3262.0
395.0,25,3108.0
400.0,18,2919.0
405.0,22,2463.0
410.0,30,2599.0
415.0,31,2751.0
420.0,35,2821.0
425.0,33,2815.0
430.0,37,2710.0
435.0,36,2328.0
440.0,29,2422.0
445.0,26,2466.0
450.0,29,2367.0
455.0,30,2074.0
460.0,25,1920.0
465.0,19,1695.0
470.0,23,1683.0
475.0,32,1740.0
480.0,41,1865.0
485.0,47,2089.0
490.0,52,2343.0
495.0,50,2553.0
500.0,51,2769.0
505.0,53,3028.0
510.0,55,3301.0
515.0,49,3259.0
520.0,46,2932.0
525.0,40,3008.0
530.0,37,3200.0
535.0,34,3103.0
540.0,31,2778.0
545.0,29,2871.0
550.0,30,2941.0
555.0,38,3098.0
560.0,41,3143.0
565.0,38,3029.0
570.0,38,3054.0
575.0,38,3249.0
580.0,43,3452.0
585.0,44,3329.0
590.0,44,2936.0
595.0,40,3103.0
600.0,43,3250.0
605.0,50,3458.0
610.0,59,3737.0
615.0,66,4049.0
620.0,63,4063.0
625.0,54,3792.0
630.0,49,4045.0
635.0,51,4297.0
640.0,55,4505.0
645.0,58,4712.0
650.0,62,5012.0
655.0,58,5023.0
660.0,50,4779.0
665.0,44,4799.0
670.0,49,5032.0
675.0,52,5267.0
680.0,56,5521.0
685.0,54,5581.0
690.0,48,5480.0
695.0,43,5566.0
700.0,48,5799.0
705.0,48,5917.0
710.0,45,5945.0
715.0,43,6086.0
720.0,47,6242.0
725.0,49,6476.0
730.0,49,6721.0
735.0,53,6978.0
740.0,55,7251.0
745.0,50,7033.0
750.0,41,6101.0
755.0,28,5906.0
760.0,22,5796.0
765.0,15,5381.0
770.0,18,4405.0
775.0,17,4187.0
780.0,16,4144.0
785.0,21,3806.0
790.0,20,3179.0
795.0,22,2228.0
800.0,20,2276.0
805.0,30,2402.0
810.0,39,2583.0
815.0,39,2422.0
820.0,35,1905.0
825.0,30,1896.0
830.0,38,2069.0
835.0,40,1928.0
840.0,39,1909.0
845.0,35,1876.0
850.0,34,1650.0
855.0,32,1759.0
860.0,35,1819.0
865.0,36,1919.0
870.0,32,1884.0
875.0,32,1705.0
880.0,38,1730.0
885.0,47,1946.0
890.0,55,2210.0
895.0,52,2328.0
900.0,52,2349.0
905.0,48,2246.0
910.0,47,2027.0
915.0,37,1982.0
920.0,41,2096.0
925.0,46,2111.0
930.0,43,2022.0
935.0,44,1936.0
940.0,46,2108.0
945.0,50,2347.0
950.0,52,2503.0
955.0,47,2641.0
960.0,47,2843.0
965.0,43,2870.0
970.0,35,2669.0
975.0,31,2779.0
980.0,32,2936.0
985.0,32,3090.0
990.0,33,3210.0
995.0,42,3350.0
1000.0,48,3579.0
1005.0,55,3839.0
1010.0,49,3839.0
1015.0,41,3443.0
1020.0,36,3629.0
1025.0,37,3813.0
1030.0,33,3929.0
1035.0,40,4032.0
1040.0,41,3997.0
1045.0,37,3781.0
1050.0,38,3884.0
1055.0,44,4092.0
1060.0,52,4332.0
1065.0,50,4411.0
1070.0,41,4282.0
1075.0,42,4488.0
1080.0,49,4717.0
1085.0,45,4853.0
1090.0,40,4926.0
1095.0,44,5076.0
1100.0,42,5217.0
1105.0,43,5421.0
1110.0,45,5641.0
1115.0,42,5841.0
1120.0,46,6057.0
1125.0,46,6287.0
1130.0,46,6517.0
1135.0,46,6747.0
1140.0,43,6886.0
1145.0,40,6959.0
1150.0,40,7137.0
1155.0,44,7353.0
1160.0,38,7041.0
1165.0,29,6182.0
1170.0,26,5825.0
1175.0,23,5947.0
1180.0,22,5544.0
1185.0,17,4660.0
1190.0,24,4754.0
1195.0,29,4882.0
1200.0,36,5051.0
1205.0,36,4739.0
1210.0,35,3956.0
1215.0,35,3896.0
1220.0,36,4075.0
1225.0,35,4144.0
1230.0,39,4171.0
1235.0,49,4345.0
1240.0,49,4377.0
1245.0,43,4175.0
1250.0,38,4372.0
1255.0,47,4593.0
1260.0,51,4803.0
1265.0,57,5076.0
1270.0,57,5361.0
1275.0,58,5647.0
1280.0,53,5723.0
1285.0,49,5632.0
1290.0,42,5783.0
1295.0,47,6007.0
1300.0,47,5627.0
1305.0,40,4485.0
1310.0,37,4609.0
1315.0,34,4786.0
1320.0,35,4938.0
1325.0,40,5127.0
1330.0,42,4812.0
1335.0,40,3815.0
1340.0,37,4002.0
1345.0,35,4179.0
1350.0,39,4365.0
1355.0,46,4570.0
1360.0,53,4827.0
1365.0,61,5117.0
