step_time,total_stopped,total_wait_time
125.0,24,1652.0
130.0,26,1509.0
135.0,26,1418.0
140.0,26,1471.0
145.0,33,1627.0
150.0,37,1804.0
155.0,33,1753.0
160.0,35,1524.0
165.0,29,1238.0
170.0,26,1256.0
175.0,24,1187.0
180.0,26,1249.0
185.0,34,1407.0
190.0,35,1377.0
195.0,35,1083.0
200.0,34,1184.0
205.0,35,1224.0
210.0,26,1202.0
215.0,21,1019.0
220.0,23,852.0
225.0,26,893.0
230.0,28,871.0
235.0,27,903.0
240.0,22,899.0
245.0,25,989.0
250.0,36,1156.0
255.0,39,1173.0
260.0,38,1081.0
265.0,48,1292.0
270.0,54,1551.0
275.0,50,1746.0
280.0,47,1875.0
285.0,44,1945.0
290.0,38,1868.0
295.0,25,1854.0
300.0,24,1938.0
305.0,23,1870.0
310.0,22,1710.0
315.0,29,1674.0
320.0,34,1820.0
325.0,37,1984.0
330.0,37,2141.0
335.0,39,2333.0
340.0,41,2531.0
345.0,41,2736.0
350.0,41,2941.0
355.0,41,3146.0
360.0,35,3091.0
365.0,27,2770.0
370.0,19,2869.0
375.0,20,2962.0
380.0,17,2983.0
385.0,23,3072.0
390.0,31,3212.0
395.0,36,3383.0
400.0,39,3576.0
405.0,41,3774.0
410.0,40,3837.0
415.0,44,4018.0
420.0,42,4217.0
425.0,42,4427.0
430.0,36,4283.0
435.0,28,3775.0
440.0,22,3886.0
445.0,20,3989.0
450.0,20,3750.0
455.0,16,3177.0
460.0,11,2988.0
465.0,13,2924.0
470.0,14,2646.0
475.0,12,2067.0
480.0,10,1249.0
485.0,9,1255.0
490.0,15,1287.0
495.0,18,1125.0
500.0,14,738.0
505.0,9,727.0
510.0,14,722.0
515.0,21,815.0
520.0,31,956.0
525.0,33,1070.0
530.0,35,1190.0
535.0,38,1378.0
540.0,36,1380.0
545.0,38,1522.0
550.0,34,1443.0
555.0,28,1184.0
560.0,18,1219.0
565.0,18,1295.0
570.0,17,1377.0
575.0,25,1483.0
