step_time,total_stopped,total_wait_time
125.0,25,722.0
130.0,30,855.0
135.0,27,879.0
140.0,22,740.0
145.0,21,684.0
150.0,24,763.0
155.0,30,884.0
160.0,31,957.0
165.0,27,926.0
170.0,20,964.0
175.0,19,943.0
180.0,19,956.0
185.0,22,919.0
190.0,20,970.0
195.0,21,991.0
200.0,22,1009.0
205.0,24,974.0
210.0,20,1041.0
215.0,18,1072.0
220.0,25,1127.0
225.0,24,1189.0
230.0,22,1213.0
235.0,16,1211.0
240.0,19,1245.0
245.0,16,1275.0
250.0,17,1282.0
255.0,20,1339.0
260.0,20,1390.0
265.0,19,1449.0
270.0,21,1492.0
275.0,21,1202.0
280.0,23,631.0
285.0,20,411.0
290.0,22,376.0
295.0,20,419.0
300.0,13,386.0
305.0,10,355.0
310.0,14,314.0
315.0,20,388.0
320.0,27,502.0
325.0,24,545.0
330.0,18,490.0
335.0,18,423.0
340.0,15,433.0
345.0,14,408.0
350.0,22,426.0
355.0,26,522.0
360.0,29,651.0
365.0,29,727.0
370.0,27,726.0
375.0,26,715.0
380.0,21,774.0
385.0,21,789.0
390.0,24,857.0
395.0,36,1015.0
400.0,36,967.0
405.0,38,901.0
410.0,39,992.0
415.0,31,1038.0
420.0,28,1053.0
425.0,23,958.0
430.0,20,802.0
435.0,15,807.0
440.0,17,766.0
445.0,18,764.0
450.0,16,675.0
455.0,15,585.0
460.0,15,593.0
465.0,20,591.0
470.0,25,603.0
475.0,21,660.0
480.0,17,671.0
485.0,18,694.0
490.0,17,713.0
495.0,23,737.0
500.0,15,775.0
505.0,15,807.0
510.0,20,856.0
515.0,24,952.0
520.0,26,863.0
525.0,30,958.0
530.0,29,913.0
535.0,33,747.0
540.0,33,822.0
545.0,30,798.0
550.0,25,721.0
555.0,18,752.0
560.0,13,717.0
565.0,17,723.0
570.0,21,698.0
575.0,19,658.0
580.0,21,626.0
585.0,28,688.0
590.0,30,743.0
595.0,27,665.0
600.0,23,608.0
605.0,22,642.0
610.0,18,588.0
615.0,17,530.0
620.0,24,547.0
625.0,33,688.0
630.0,33,776.0
635.0,31,791.0
640.0,27,847.0
645.0,22,798.0
650.0,23,739.0
655.0,18,713.0
660.0,18,650.0
665.0,16,565.0
670.0,23,552.0
675.0,22,560.0
680.0,20,494.0
685.0,24,451.0
690.0,21,483.0
695.0,16,483.0
700.0,19,496.0
705.0,25,543.0
710.0,35,678.0
715.0,37,771.0
720.0,33,790.0
725.0,24,850.0
730.0,22,865.0
735.0,19,872.0
740.0,20,801.0
745.0,25,789.0
750.0,27,857.0
755.0,26,877.0
760.0,28,876.0
765.0,27,944.0
770.0,26,1006.0
775.0,27,1007.0
