step_time,reward,total_stopped,total_wait_time
125.0,0.0,23,642.0
130.0,-642.0,26,765.0
135.0,-123.0,23,726.0
140.0,39.0,24,623.0
145.0,103.0,32,737.0
150.0,-114.0,25,800.0
155.0,-63.0,19,893.0
160.0,-93.0,24,999.0
165.0,-106.0,33,1150.0
170.0,-151.0,37,1310.0
175.0,-160.0,40,1498.0
180.0,-188.0,40,1694.0
185.0,-196.0,37,1690.0
190.0,4.0,29,1495.0
195.0,195.0,31,1644.0
200.0,-149.0,34,1659.0
205.0,-15.0,40,1834.0
210.0,-175.0,30,1853.0
215.0,-19.0,25,1988.0
220.0,-135.0,31,2130.0
225.0,-142.0,35,2251.0
230.0,-121.0,43,2449.0
235.0,-198.0,49,2501.0
240.0,-52.0,50,2731.0
245.0,-230.0,44,2723.0
250.0,8.0,31,2481.0
255.0,242.0,29,2406.0
260.0,75.0,40,2575.0
265.0,-169.0,50,2584.0
270.0,-9.0,49,2816.0
275.0,-232.0,40,2837.0
280.0,-21.0,30,2954.0
285.0,-117.0,32,3090.0
290.0,-136.0,41,3276.0
295.0,-186.0,47,3501.0
300.0,-225.0,52,3513.0
305.0,-12.0,48,3760.0
310.0,-247.0,45,3773.0
315.0,-13.0,44,3991.0
320.0,-218.0,44,3943.0
325.0,48.0,50,4122.0
330.0,-179.0,49,4354.0
335.0,-232.0,46,4348.0
340.0,6.0,39,4552.0
345.0,-204.0,38,4456.0
350.0,96.0,38,4104.0
355.0,352.0,36,4044.0
360.0,60.0,30,4135.0
365.0,-91.0,26,4026.0
370.0,109.0,26,4119.0
375.0,-93.0,34,4050.0
380.0,69.0,40,4220.0
385.0,-170.0,51,4440.0
390.0,-220.0,50,4480.0
395.0,-40.0,47,4365.0
400.0,115.0,48,4219.0
405.0,146.0,42,4262.0
410.0,-43.0,37,4073.0
415.0,189.0,41,4263.0
420.0,-190.0,38,4387.0
425.0,-124.0,42,4590.0
430.0,-203.0,37,4701.0
435.0,-111.0,38,4506.0
440.0,195.0,34,4608.0
445.0,-102.0,31,4633.0
450.0,-25.0,31,4760.0
455.0,-127.0,32,4809.0
460.0,-49.0,38,4575.0
465.0,234.0,36,4687.0
470.0,-112.0,34,4463.0
475.0,224.0,25,4523.0
480.0,-60.0,19,4612.0
485.0,-89.0,28,4325.0
490.0,287.0,31,4473.0
495.0,-148.0,33,4536.0
500.0,-63.0,26,4502.0
505.0,34.0,40,4622.0
510.0,-120.0,40,4747.0
515.0,-125.0,44,4817.0
520.0,-70.0,53,5057.0
525.0,-240.0,59,5343.0
530.0,-286.0,53,5495.0
535.0,-152.0,48,5262.0
540.0,233.0,43,5370.0
545.0,-108.0,36,5093.0
550.0,277.0,28,4372.0
555.0,721.0,22,4177.0
560.0,195.0,26,3872.0
565.0,305.0,34,3997.0
570.0,-125.0,35,4164.0
575.0,-167.0,39,4186.0
580.0,-22.0,32,4257.0
585.0,-71.0,39,4293.0
590.0,-36.0,42,4009.0
595.0,284.0,45,4047.0
600.0,-38.0,31,3782.0
605.0,265.0,21,3883.0
610.0,-101.0,25,3592.0
615.0,291.0,29,3011.0
620.0,581.0,32,3164.0
625.0,-153.0,42,3348.0
630.0,-184.0,49,3573.0
635.0,-225.0,49,3590.0
640.0,-17.0,45,3717.0
645.0,-127.0,46,3789.0
650.0,-72.0,48,3785.0
655.0,4.0,45,3659.0
660.0,126.0,37,3830.0
665.0,-171.0,40,4015.0
670.0,-185.0,41,3971.0
675.0,44.0,37,3791.0
680.0,180.0,32,3922.0
685.0,-131.0,49,4096.0
690.0,-174.0,39,4037.0
695.0,59.0,33,3822.0
700.0,215.0,37,4002.0
705.0,-180.0,34,3924.0
710.0,78.0,30,4087.0
715.0,-163.0,37,4234.0
720.0,-147.0,48,4452.0
725.0,-218.0,54,4457.0
730.0,-5.0,53,4295.0
735.0,162.0,49,4342.0
740.0,-47.0,44,4162.0
745.0,180.0,39,4188.0
750.0,-26.0,32,4334.0
755.0,-146.0,35,4477.0
760.0,-143.0,35,4275.0
765.0,202.0,34,4261.0
770.0,14.0,37,4418.0
775.0,-157.0,37,4414.0
780.0,4.0,30,4552.0
785.0,-138.0,34,4564.0
790.0,-12.0,40,4724.0
795.0,-160.0,47,4945.0
800.0,-221.0,47,4765.0
805.0,180.0,48,4214.0
810.0,551.0,48,4447.0
815.0,-233.0,45,4669.0
820.0,-222.0,40,4520.0
825.0,149.0,40,4103.0
830.0,417.0,37,3463.0
835.0,640.0,36,3423.0
840.0,40.0,32,3579.0
845.0,-156.0,34,3719.0
850.0,-140.0,39,3701.0
855.0,18.0,37,3868.0
860.0,-167.0,43,4054.0
865.0,-186.0,59,4286.0
870.0,-232.0,53,4227.0
875.0,59.0,56,4494.0
880.0,-267.0,58,4750.0
885.0,-256.0,60,5054.0
890.0,-304.0,61,5341.0
895.0,-287.0,67,5660.0
900.0,-319.0,74,6015.0
905.0,-355.0,78,6401.0
910.0,-386.0,78,6791.0
915.0,-390.0,72,6781.0
920.0,10.0,67,6366.0
925.0,415.0,56,6438.0
930.0,-72.0,53,6699.0
935.0,-261.0,52,6924.0
940.0,-225.0,59,7202.0
945.0,-278.0,65,7513.0
950.0,-311.0,65,7465.0
955.0,48.0,66,7125.0
960.0,340.0,57,7411.0
965.0,-286.0,55,7690.0
970.0,-279.0,53,7928.0
975.0,-238.0,61,8218.0
980.0,-290.0,66,8530.0
985.0,-312.0,67,8535.0
990.0,-5.0,62,8379.0
995.0,156.0,48,7767.0
1000.0,612.0,36,7754.0
1005.0,13.0,33,7899.0
1010.0,-145.0,44,8093.0
1015.0,-194.0,53,7910.0
1020.0,183.0,52,7348.0
1025.0,562.0,43,7039.0
1030.0,309.0,36,7233.0
1035.0,-194.0,35,7101.0
1040.0,132.0,29,7198.0
1045.0,-97.0,39,7328.0
1050.0,-130.0,37,7223.0
1055.0,105.0,36,6828.0
1060.0,395.0,36,6214.0
1065.0,614.0,38,6399.0
1070.0,-185.0,39,6584.0
1075.0,-185.0,43,6304.0
1080.0,280.0,37,6226.0
1085.0,78.0,34,6403.0
1090.0,-177.0,36,6579.0
1095.0,-176.0,32,6470.0
1100.0,109.0,42,6661.0
1105.0,-191.0,51,6634.0
1110.0,27.0,42,6489.0
1115.0,145.0,43,6621.0
1120.0,-132.0,45,6685.0
1125.0,-64.0,42,6340.0
1130.0,345.0,41,6544.0
1135.0,-204.0,45,6194.0
1140.0,350.0,36,5291.0
1145.0,903.0,33,5005.0
1150.0,286.0,34,5037.0
1155.0,-32.0,32,5027.0
1160.0,10.0,31,4889.0
1165.0,138.0,40,5060.0
1170.0,-171.0,46,5144.0
1175.0,-84.0,47,5261.0
1180.0,-117.0,48,5308.0
1185.0,-47.0,46,4929.0
1190.0,379.0,39,4029.0
1195.0,900.0,31,4074.0
1200.0,-45.0,31,3702.0
1205.0,372.0,36,3779.0
1210.0,-77.0,33,3854.0
1215.0,-75.0,39,3948.0
1220.0,-94.0,45,3622.0
1225.0,326.0,45,3740.0
1230.0,-118.0,45,3420.0
1235.0,320.0,39,3499.0
1240.0,-79.0,39,3447.0
1245.0,52.0,37,3498.0
1250.0,-51.0,38,3254.0
1255.0,244.0,34,3304.0
1260.0,-50.0,37,3247.0
1265.0,57.0,34,3100.0
1270.0,147.0,33,3076.0
1275.0,24.0,35,3144.0
1280.0,-68.0,48,3295.0
1285.0,-151.0,52,3410.0
1290.0,-115.0,47,3479.0
1295.0,-69.0,52,3671.0
1300.0,-192.0,48,3543.0
1305.0,128.0,44,3069.0
1310.0,474.0,38,3139.0
1315.0,-70.0,40,3191.0
1320.0,-52.0,43,3063.0
1325.0,128.0,39,3192.0
1330.0,-129.0,47,3409.0
1335.0,-217.0,54,3676.0
1340.0,-267.0,55,3801.0
1345.0,-125.0,62,3744.0
1350.0,57.0,61,3887.0
1355.0,-143.0,55,4167.0
1360.0,-280.0,49,4267.0
1365.0,-100.0,39,4320.0
1370.0,-53.0,47,4536.0
1375.0,-216.0,55,4439.0
1380.0,97.0,50,4694.0
1385.0,-255.0,51,4597.0
1390.0,97.0,49,4660.0
1395.0,-63.0,46,4877.0
1400.0,-217.0,46,4930.0
1405.0,-53.0,51,4818.0
1410.0,112.0,45,4205.0
1415.0,613.0,48,4240.0
1420.0,-35.0,47,4098.0
1425.0,142.0,40,3983.0
1430.0,115.0,31,3982.0
1435.0,1.0,27,3891.0
1440.0,91.0,30,3995.0
1445.0,-104.0,35,3946.0
1450.0,49.0,40,3707.0
1455.0,239.0,52,3868.0
1460.0,-161.0,66,3956.0
1465.0,-88.0,63,4016.0
1470.0,-60.0,48,3790.0
1475.0,226.0,37,3667.0
1480.0,123.0,26,3378.0
1485.0,289.0,32,3321.0
1490.0,57.0,34,3245.0
1495.0,76.0,38,3241.0
1500.0,4.0,40,3418.0
1505.0,-177.0,53,3652.0
1510.0,-234.0,64,3783.0
1515.0,-131.0,62,3855.0
1520.0,-72.0,58,4003.0
1525.0,-148.0,54,3991.0
1530.0,12.0,46,3988.0
1535.0,3.0,37,3939.0
1540.0,49.0,26,3941.0
1545.0,-2.0,31,4052.0
1550.0,-111.0,42,3984.0
1555.0,68.0,50,4215.0
1560.0,-231.0,56,4240.0
1565.0,-25.0,57,4520.0
1570.0,-280.0,50,4638.0
1575.0,-118.0,45,4615.0
1580.0,23.0,54,4868.0
1585.0,-253.0,63,4920.0
1590.0,-52.0,53,4886.0
1595.0,34.0,43,4410.0
1600.0,476.0,44,4033.0
1605.0,377.0,43,3712.0
1610.0,321.0,45,3913.0
1615.0,-201.0,55,3986.0
1620.0,-73.0,52,3957.0
1625.0,29.0,50,3868.0
1630.0,89.0,49,4113.0
1635.0,-245.0,49,4229.0
1640.0,-116.0,42,4211.0
1645.0,18.0,34,4243.0
1650.0,-32.0,39,4194.0
1655.0,49.0,44,4260.0
1660.0,-66.0,49,4287.0
1665.0,-27.0,56,4416.0
1670.0,-129.0,58,4682.0
1675.0,-266.0,58,4623.0
1680.0,59.0,51,4265.0
1685.0,358.0,43,4340.0
1690.0,-75.0,37,4431.0
1695.0,-91.0,41,4345.0
1700.0,86.0,39,4512.0
1705.0,-167.0,39,4427.0
1710.0,85.0,44,4176.0
1715.0,251.0,48,3895.0
1720.0,281.0,49,3500.0
1725.0,395.0,45,3410.0
1730.0,90.0,37,3507.0
1735.0,-97.0,46,3627.0
1740.0,-120.0,45,3727.0
1745.0,-100.0,42,3617.0
1750.0,110.0,44,3765.0
1755.0,-148.0,52,4004.0
1760.0,-239.0,57,4277.0
1765.0,-273.0,71,4453.0
1770.0,-176.0,68,4785.0
1775.0,-332.0,74,5014.0
1780.0,-229.0,69,5203.0
1785.0,-189.0,65,5162.0
1790.0,41.0,57,4771.0
1795.0,391.0,51,5014.0
1800.0,-243.0,44,5061.0
1805.0,-47.0,43,4925.0
1810.0,136.0,50,4689.0
1815.0,236.0,46,4572.0
1820.0,117.0,44,4791.0
1825.0,-219.0,47,4855.0
1830.0,-64.0,37,4759.0
1835.0,96.0,37,4581.0
1840.0,178.0,35,4547.0
1845.0,34.0,32,4575.0
1850.0,-28.0,38,4752.0
1855.0,-177.0,55,4984.0
1860.0,-232.0,61,5268.0
1865.0,-284.0,70,5443.0
1870.0,-175.0,67,5369.0
1875.0,74.0,60,4917.0
1880.0,452.0,46,4640.0
1885.0,277.0,38,4463.0
1890.0,177.0,39,4345.0
1895.0,118.0,40,4275.0
1900.0,70.0,35,4351.0
1905.0,-76.0,41,4264.0
1910.0,87.0,42,4403.0
1915.0,-139.0,42,4187.0
1920.0,216.0,45,4349.0
1925.0,-162.0,44,4510.0
1930.0,-161.0,41,4352.0
1935.0,158.0,39,3975.0
1940.0,377.0,40,3870.0
1945.0,105.0,47,3511.0
1950.0,359.0,40,3362.0
1955.0,149.0,47,3383.0
1960.0,-21.0,51,3363.0
1965.0,20.0,58,3482.0
1970.0,-119.0,57,3680.0
1975.0,-198.0,64,3854.0
1980.0,-174.0,58,3832.0
1985.0,22.0,48,4062.0
1990.0,-230.0,43,3969.0
1995.0,93.0,30,3982.0
2000.0,-13.0,31,3808.0
2005.0,174.0,36,3900.0
2010.0,-92.0,34,3949.0
2015.0,-49.0,37,3909.0
2020.0,40.0,41,3717.0
2025.0,192.0,39,3868.0
2030.0,-151.0,37,3958.0
2035.0,-90.0,39,4136.0
2040.0,-178.0,34,4209.0
2045.0,-73.0,36,4189.0
2050.0,20.0,42,4224.0
2055.0,-35.0,40,4333.0
2060.0,-109.0,42,4139.0
2065.0,194.0,44,4349.0
2070.0,-210.0,43,4436.0
2075.0,-87.0,45,4643.0
2080.0,-207.0,54,4772.0
2085.0,-129.0,53,4744.0
2090.0,28.0,54,4838.0
2095.0,-94.0,47,4648.0
2100.0,190.0,40,4062.0
2105.0,586.0,39,3256.0
2110.0,806.0,39,2621.0
2115.0,635.0,35,2628.0
2120.0,-7.0,37,2703.0
2125.0,-75.0,47,2739.0
2130.0,-36.0,41,2729.0
2135.0,10.0,32,2657.0
2140.0,72.0,26,2727.0
2145.0,-70.0,22,2653.0
2150.0,74.0,25,2516.0
2155.0,137.0,32,2587.0
2160.0,-71.0,31,2559.0
2165.0,28.0,33,2455.0
2170.0,104.0,43,2495.0
2175.0,-40.0,52,2712.0
2180.0,-217.0,60,2995.0
2185.0,-283.0,61,3172.0
2190.0,-177.0,47,3268.0
2195.0,-96.0,47,3375.0
2200.0,-107.0,40,3362.0
2205.0,13.0,33,3360.0
2210.0,2.0,40,3506.0
2215.0,-146.0,52,3726.0
2220.0,-220.0,57,3997.0
2225.0,-271.0,58,4156.0
2230.0,-159.0,50,4029.0
2235.0,127.0,40,4125.0
2240.0,-96.0,27,3888.0
2245.0,237.0,21,3273.0
2250.0,615.0,23,3267.0
2255.0,6.0,33,3257.0
2260.0,10.0,38,3190.0
2265.0,67.0,43,3309.0
2270.0,-119.0,43,3425.0
2275.0,-116.0,44,3639.0
2280.0,-214.0,46,3763.0
2285.0,-124.0,43,3596.0
2290.0,167.0,40,3108.0
2295.0,488.0,33,2889.0
2300.0,219.0,27,2888.0
2305.0,1.0,30,2770.0
2310.0,118.0,28,2780.0
2315.0,-10.0,26,2686.0
2320.0,94.0,27,2667.0
2325.0,19.0,27,2524.0
2330.0,143.0,26,2423.0
2335.0,101.0,32,2477.0
2340.0,-54.0,43,2642.0
2345.0,-165.0,43,2748.0
2350.0,-106.0,46,2764.0
2355.0,-16.0,45,2879.0
2360.0,-115.0,48,2890.0
2365.0,-11.0,49,3074.0
2370.0,-184.0,46,3016.0
2375.0,58.0,43,3162.0
2380.0,-146.0,36,3076.0
2385.0,86.0,31,2758.0
2390.0,318.0,30,2713.0
2395.0,45.0,36,2673.0
2400.0,40.0,31,2739.0
2405.0,-66.0,28,2708.0
2410.0,31.0,28,2770.0
2415.0,-62.0,26,2603.0
2420.0,167.0,29,2674.0
2425.0,-71.0,34,2640.0
2430.0,34.0,41,2535.0
2435.0,105.0,38,2648.0
2440.0,-113.0,36,2570.0
2445.0,78.0,37,2568.0
2450.0,2.0,47,2676.0
2455.0,-108.0,52,2823.0
2460.0,-147.0,46,2823.0
2465.0,0.0,48,2683.0
2470.0,140.0,51,2636.0
2475.0,47.0,50,2801.0
2480.0,-165.0,58,2951.0
2485.0,-150.0,60,3188.0
2490.0,-237.0,52,3334.0
2495.0,-146.0,46,3389.0
2500.0,-55.0,43,3486.0
2505.0,-97.0,49,3712.0
2510.0,-226.0,53,3860.0
2515.0,-148.0,50,3944.0
2520.0,-84.0,43,4055.0
2525.0,-111.0,43,4142.0
2530.0,-87.0,43,4050.0
2535.0,92.0,47,3727.0
2540.0,323.0,51,3257.0
2545.0,470.0,49,2926.0
2550.0,331.0,50,2845.0
2555.0,81.0,48,2792.0
2560.0,53.0,45,2871.0
2565.0,-79.0,46,2959.0
2570.0,-88.0,46,2989.0
2575.0,-30.0,52,2884.0
2580.0,105.0,39,2887.0
2585.0,-3.0,32,2966.0
2590.0,-79.0,39,3122.0
2595.0,-156.0,44,3150.0
2600.0,-28.0,40,3004.0
2605.0,146.0,48,3016.0
2610.0,-12.0,45,2861.0
2615.0,155.0,44,2570.0
2620.0,291.0,33,2580.0
2625.0,-10.0,24,2518.0
2630.0,62.0,27,2466.0
2635.0,52.0,31,2412.0
2640.0,54.0,26,2370.0
2645.0,42.0,27,2168.0
2650.0,202.0,34,2013.0
2655.0,155.0,38,1902.0
2660.0,111.0,40,1950.0
2665.0,-48.0,48,2040.0
2670.0,-90.0,42,2013.0
2675.0,27.0,39,2168.0
2680.0,-155.0,40,2318.0
2685.0,-150.0,38,2247.0
2690.0,71.0,33,2243.0
2695.0,4.0,35,2384.0
2700.0,-141.0,44,2585.0
2705.0,-201.0,52,2771.0
2710.0,-186.0,45,2824.0
2715.0,-53.0,39,2740.0
2720.0,84.0,40,2618.0
2725.0,122.0,46,2743.0
2730.0,-125.0,44,2868.0
2735.0,-125.0,42,2966.0
2740.0,-98.0,41,2838.0
2745.0,128.0,37,2983.0
2750.0,-145.0,40,2857.0
2755.0,126.0,52,2381.0
2760.0,476.0,46,2476.0
2765.0,-95.0,45,2550.0
2770.0,-74.0,45,2544.0
2775.0,6.0,39,2388.0
2780.0,156.0,34,2463.0
2785.0,-75.0,35,2444.0
2790.0,19.0,40,2493.0
2795.0,-49.0,37,2511.0
2800.0,-18.0,31,2601.0
2805.0,-90.0,24,2560.0
2810.0,41.0,34,2531.0
2815.0,29.0,41,2378.0
2820.0,153.0,32,2407.0
2825.0,-29.0,32,2409.0
2830.0,-2.0,31,2263.0
2835.0,146.0,32,2147.0
2840.0,116.0,35,2181.0
2845.0,-34.0,39,2200.0
2850.0,-19.0,33,2101.0
2855.0,99.0,46,2110.0
2860.0,-9.0,58,2310.0
2865.0,-200.0,53,2423.0
2870.0,-113.0,46,2352.0
2875.0,71.0,39,2132.0
2880.0,220.0,32,2140.0
2885.0,-8.0,32,2168.0
2890.0,-28.0,31,2214.0
2895.0,-46.0,34,2253.0
2900.0,-39.0,31,2180.0
2905.0,73.0,32,1901.0
2910.0,279.0,22,1885.0
2915.0,16.0,21,1892.0
2920.0,-7.0,32,1946.0
2925.0,-54.0,38,2017.0
2930.0,-71.0,39,2149.0
2935.0,-132.0,47,2367.0
2940.0,-218.0,47,2490.0
2945.0,-123.0,39,2467.0
2950.0,23.0,40,2660.0
2955.0,-193.0,41,2767.0
2960.0,-107.0,40,2679.0
2965.0,88.0,44,2773.0
2970.0,-94.0,34,2749.0
2975.0,24.0,31,2863.0
2980.0,-114.0,28,2961.0
2985.0,-98.0,34,3010.0
2990.0,-49.0,39,2882.0
2995.0,128.0,40,2484.0
3000.0,398.0,40,2410.0
3005.0,74.0,42,2530.0
3010.0,-120.0,36,2637.0
3015.0,-107.0,40,2738.0
3020.0,-101.0,35,2859.0
3025.0,-121.0,51,3026.0
3030.0,-167.0,48,3165.0
3035.0,-139.0,43,3088.0
3040.0,77.0,37,3240.0
3045.0,-152.0,42,3408.0
3050.0,-168.0,38,3480.0
3055.0,-72.0,36,3339.0
3060.0,141.0,40,2952.0
3065.0,387.0,38,3102.0
3070.0,-150.0,33,3145.0
3075.0,-43.0,29,3017.0
3080.0,128.0,31,2484.0
3085.0,533.0,30,2276.0
3090.0,208.0,27,2023.0
3095.0,253.0,32,2000.0
3100.0,23.0,31,2050.0
3105.0,-50.0,30,2125.0
3110.0,-75.0,31,2233.0
3115.0,-108.0,39,2215.0
3120.0,18.0,36,2041.0
3125.0,174.0,36,1831.0
3130.0,210.0,28,1649.0
3135.0,182.0,23,1561.0
3140.0,88.0,20,1416.0
3145.0,145.0,24,1374.0
3150.0,42.0,29,1371.0
3155.0,3.0,35,1386.0
3160.0,-15.0,32,1214.0
3165.0,172.0,23,1069.0
3170.0,145.0,23,1103.0
3175.0,-34.0,25,1130.0
3180.0,-27.0,22,1118.0
3185.0,12.0,25,1100.0
3190.0,18.0,26,1164.0
3195.0,-64.0,27,1147.0
3200.0,17.0,31,1267.0
3205.0,-120.0,45,1414.0
3210.0,-147.0,39,1473.0
3215.0,-59.0,36,1448.0
3220.0,25.0,33,1409.0
3225.0,39.0,30,1460.0
3230.0,-51.0,24,1382.0
3235.0,78.0,22,1438.0
3240.0,-56.0,15,1329.0
3245.0,109.0,17,1356.0
3250.0,-27.0,24,1397.0
3255.0,-41.0,25,1427.0
3260.0,-30.0,30,1499.0
3265.0,-72.0,38,1543.0
3270.0,-44.0,33,1620.0
3275.0,-77.0,32,1542.0
3280.0,78.0,26,1600.0
3285.0,-58.0,27,1511.0
3290.0,89.0,24,1564.0
3295.0,-53.0,34,1655.0
3300.0,-91.0,27,1593.0
3305.0,62.0,23,1626.0
3310.0,-33.0,34,1719.0
3315.0,-93.0,41,1850.0
3320.0,-131.0,54,2093.0
3325.0,-243.0,62,2328.0
3330.0,-235.0,63,2638.0
3335.0,-310.0,61,2700.0
3340.0,-62.0,52,2856.0
3345.0,-156.0,42,2857.0
3350.0,-1.0,32,2737.0
3355.0,120.0,33,2656.0
3360.0,81.0,29,2482.0
3365.0,174.0,29,2531.0
3370.0,-49.0,28,2520.0
3375.0,11.0,25,2352.0
3380.0,168.0,21,2366.0
3385.0,-14.0,36,2420.0
3390.0,-54.0,26,2476.0
3395.0,-56.0,29,2530.0
