step_time,total_stopped,total_wait_time
125.0,23,1339.0
130.0,24,1200.0
135.0,27,1137.0
140.0,25,1081.0
145.0,21,894.0
150.0,24,751.0
155.0,21,795.0
160.0,26,802.0
165.0,23,876.0
170.0,30,975.0
175.0,26,1082.0
180.0,23,1143.0
185.0,19,1054.0
190.0,18,808.0
195.0,17,785.0
200.0,17,817.0
205.0,20,764.0
210.0,19,641.0
215.0,19,709.0
220.0,21,765.0
225.0,23,855.0
230.0,31,984.0
235.0,31,1139.0
240.0,25,1154.0
245.0,22,1055.0
250.0,22,1038.0
255.0,22,1126.0
260.0,26,1223.0
265.0,29,1360.0
270.0,25,1439.0
275.0,24,1496.0
280.0,26,1609.0
285.0,30,1754.0
290.0,31,1906.0
295.0,28,1723.0
300.0,27,1380.0
305.0,32,1466.0
310.0,35,1637.0
315.0,41,1836.0
320.0,35,1952.0
325.0,30,1975.0
330.0,28,2055.0
335.0,33,2212.0
340.0,43,2406.0
345.0,47,2635.0
350.0,51,2884.0
355.0,47,2937.0
360.0,50,2983.0
365.0,50,3214.0
370.0,56,3482.0
375.0,53,3625.0
380.0,50,3646.0
385.0,43,3606.0
390.0,37,3583.0
395.0,38,3647.0
400.0,37,3766.0
405.0,41,3909.0
410.0,45,4071.0
415.0,41,4177.0
420.0,40,4348.0
425.0,45,4549.0
430.0,42,4288.0
435.0,37,3590.0
440.0,31,2800.0
445.0,24,2725.0
450.0,23,2797.0
455.0,26,2574.0
460.0,26,2095.0
465.0,21,2061.0
470.0,27,2146.0
475.0,34,2293.0
480.0,41,2481.0
485.0,40,2537.0
490.0,32,2466.0
495.0,32,2392.0
500.0,39,2305.0
505.0,39,2157.0
510.0,31,1762.0
515.0,22,1718.0
520.0,27,1769.0
525.0,33,1884.0
530.0,35,1905.0
535.0,31,1817.0
540.0,28,1842.0
545.0,34,1981.0
550.0,39,2168.0
555.0,40,2265.0
560.0,42,2435.0
565.0,38,2312.0
570.0,36,1942.0
575.0,23,1933.0
580.0,25,1993.0
585.0,30,2115.0
590.0,37,2136.0
595.0,34,2036.0
600.0,31,2177.0
605.0,37,2334.0
610.0,40,2495.0
615.0,48,2721.0
620.0,44,2790.0
625.0,37,2729.0
630.0,40,2682.0
635.0,35,2535.0
640.0,35,2126.0
645.0,29,2230.0
650.0,22,2239.0
655.0,25,2270.0
660.0,32,2291.0
665.0,41,2391.0
670.0,40,2496.0
675.0,35,2357.0
680.0,31,1938.0
685.0,32,1984.0
690.0,36,2116.0
695.0,37,2026.0
700.0,38,1730.0
705.0,37,1447.0
710.0,35,1455.0
715.0,32,1438.0
720.0,33,1441.0
725.0,30,1433.0
730.0,27,1325.0
735.0,36,1414.0
740.0,45,1622.0
745.0,54,1879.0
750.0,51,2047.0
755.0,47,2096.0
760.0,40,2137.0
765.0,30,2087.0
770.0,35,2061.0
775.0,41,2015.0
780.0,46,1811.0
785.0,37,1896.0
790.0,37,1863.0
795.0,33,1778.0
800.0,25,1570.0
805.0,23,1521.0
810.0,28,1478.0
815.0,33,1522.0
820.0,30,1489.0
825.0,34,1526.0
830.0,36,1508.0
835.0,33,1616.0
840.0,33,1707.0
845.0,36,1742.0
850.0,47,1868.0
855.0,49,2011.0
860.0,45,2006.0
865.0,34,1923.0
870.0,22,1630.0
875.0,23,1276.0
880.0,25,1299.0
885.0,25,1224.0
890.0,27,1218.0
895.0,22,1094.0
900.0,23,1123.0
905.0,27,1129.0
910.0,31,1128.0
915.0,27,1140.0
920.0,25,1077.0
925.0,29,1063.0
930.0,40,1223.0
935.0,47,1402.0
940.0,43,1541.0
945.0,45,1553.0
950.0,38,1414.0
955.0,42,1365.0
960.0,36,1334.0
965.0,30,1399.0
970.0,25,1454.0
975.0,28,1542.0
980.0,31,1537.0
985.0,30,1448.0
990.0,36,1454.0
995.0,41,1636.0
1000.0,44,1848.0
1005.0,41,2029.0
1010.0,41,2210.0
1015.0,37,2228.0
1020.0,27,2032.0
1025.0,26,2154.0
1030.0,22,2271.0
1035.0,19,2193.0
1040.0,18,1858.0
1045.0,15,1839.0
1050.0,21,1932.0
1055.0,20,1983.0
1060.0,28,2021.0
1065.0,35,2181.0
1070.0,42,2377.0
1075.0,42,2376.0
1080.0,34,2136.0
1085.0,30,2185.0
1090.0,26,2321.0
1095.0,30,2249.0
1100.0,27,1928.0
1105.0,20,1963.0
1110.0,22,1954.0
1115.0,27,2031.0
1120.0,38,2179.0
1125.0,38,2175.0
1130.0,34,2001.0
1135.0,24,2007.0
1140.0,22,2065.0
1145.0,23,2039.0
1150.0,21,1907.0
1155.0,15,1562.0
1160.0,15,1029.0
1165.0,15,808.0
1170.0,22,740.0
1175.0,20,655.0
1180.0,15,677.0
1185.0,21,717.0
1190.0,22,727.0
1195.0,29,735.0
1200.0,35,876.0
1205.0,32,959.0
1210.0,28,958.0
1215.0,24,909.0
1220.0,20,890.0
1225.0,20,914.0
1230.0,16,897.0
1235.0,19,859.0
1240.0,24,934.0
1245.0,21,985.0
1250.0,22,1045.0
1255.0,23,1156.0
1260.0,17,1163.0
1265.0,22,1146.0
1270.0,21,1236.0
1275.0,24,1346.0
1280.0,24,1466.0
1285.0,29,1598.0
1290.0,30,1747.0
1295.0,26,1765.0
1300.0,23,1686.0
1305.0,22,1791.0
1310.0,32,1925.0
1315.0,28,1986.0
1320.0,25,1974.0
1325.0,29,2077.0
1330.0,23,2094.0
1335.0,21,2032.0
1340.0,24,2024.0
1345.0,24,2106.0
1350.0,21,2155.0
1355.0,21,2222.0
1360.0,30,2349.0
1365.0,32,2508.0
1370.0,29,2613.0
1375.0,29,2701.0
1380.0,27,2771.0
1385.0,25,2805.0
1390.0,22,2888.0
1395.0,29,3009.0
1400.0,29,3115.0
1405.0,24,3160.0
1410.0,25,3228.0
1415.0,34,3352.0
1420.0,33,3476.0
1425.0,25,3546.0
1430.0,26,3627.0
1435.0,29,3723.0
1440.0,36,3887.0
1445.0,41,4084.0
1450.0,38,3590.0
1455.0,35,2586.0
1460.0,27,2428.0
1465.0,35,2536.0
1470.0,36,2243.0
1475.0,33,1663.0
1480.0,33,1558.0
1485.0,35,1508.0
1490.0,28,1375.0
1495.0,23,1301.0
1500.0,16,1085.0
1505.0,22,847.0
1510.0,26,888.0
1515.0,32,1016.0
1520.0,29,1050.0
1525.0,27,978.0
1530.0,31,1041.0
1535.0,40,1221.0
1540.0,36,1273.0
1545.0,31,1115.0
1550.0,22,1120.0
1555.0,25,1131.0
1560.0,24,1162.0
1565.0,28,1115.0
1570.0,32,1096.0
1575.0,30,992.0
1580.0,28,823.0
1585.0,20,774.0
1590.0,12,717.0
1595.0,16,693.0
1600.0,24,686.0
1605.0,27,662.0
1610.0,31,724.0
1615.0,24,698.0
1620.0,16,669.0
1625.0,18,671.0
1630.0,24,778.0
1635.0,26,835.0
1640.0,25,817.0
1645.0,16,814.0
1650.0,18,749.0
1655.0,20,749.0
1660.0,21,729.0
1665.0,19,695.0
1670.0,16,717.0
1675.0,23,774.0
1680.0,30,907.0
1685.0,32,1007.0
1690.0,26,1061.0
1695.0,24,1084.0
1700.0,24,1138.0
1705.0,23,1206.0
1710.0,28,1323.0
1715.0,28,1441.0
1720.0,26,1533.0
1725.0,26,1627.0
1730.0,24,1424.0
1735.0,25,1088.0
1740.0,33,1206.0
1745.0,38,1391.0
1750.0,33,1429.0
1755.0,36,1515.0
1760.0,33,1627.0
1765.0,30,1675.0
1770.0,28,1674.0
1775.0,30,1817.0
1780.0,36,1984.0
1785.0,38,2129.0
1790.0,34,2249.0
1795.0,34,2378.0
1800.0,33,2248.0
1805.0,29,1711.0
1810.0,24,1275.0
1815.0,23,1300.0
1820.0,29,1433.0
1825.0,33,1400.0
1830.0,31,1246.0
1835.0,30,1076.0
1840.0,30,1146.0
1845.0,26,1099.0
1850.0,26,1081.0
1855.0,24,1120.0
1860.0,25,1123.0
1865.0,31,1239.0
1870.0,42,1432.0
1875.0,40,1569.0
1880.0,30,1609.0
1885.0,24,1660.0
1890.0,31,1696.0
1895.0,38,1849.0
1900.0,44,2033.0
1905.0,45,2254.0
1910.0,44,2393.0
1915.0,38,2411.0
1920.0,34,2429.0
1925.0,29,2542.0
1930.0,35,2670.0
1935.0,37,2788.0
1940.0,37,2869.0
1945.0,35,2921.0
1950.0,32,3060.0
1955.0,40,3223.0
1960.0,42,3388.0
1965.0,39,3538.0
1970.0,38,3689.0
1975.0,38,3860.0
1980.0,37,3934.0
1985.0,45,4101.0
1990.0,41,3864.0
1995.0,39,3209.0
2000.0,25,2947.0
2005.0,20,2988.0
2010.0,24,3051.0
2015.0,28,2805.0
2020.0,28,2258.0
2025.0,27,1574.0
2030.0,22,1554.0
2035.0,23,1480.0
2040.0,30,1502.0
2045.0,39,1676.0
2050.0,42,1882.0
2055.0,47,2111.0
2060.0,43,2210.0
2065.0,47,2385.0
2070.0,49,2626.0
2075.0,52,2881.0
2080.0,48,3008.0
2085.0,43,2991.0
2090.0,32,2789.0
2095.0,22,2321.0
2100.0,21,2256.0
2105.0,30,2383.0
2110.0,37,2415.0
2115.0,38,2349.0
2120.0,40,2542.0
2125.0,40,2739.0
2130.0,44,2948.0
2135.0,52,3190.0
2140.0,60,3475.0
2145.0,66,3796.0
2150.0,63,3958.0
2155.0,60,3962.0
2160.0,50,4047.0
2165.0,50,4248.0
2170.0,46,4334.0
