step_time,total_stopped,total_wait_time
130.0,24,1250.0
140.0,29,1211.0
150.0,28,1430.0
160.0,35,1741.0
170.0,32,1932.0
180.0,32,2209.0
190.0,48,2656.0
200.0,38,2858.0
210.0,44,3069.0
220.0,36,2953.0
230.0,35,1919.0
240.0,32,1708.0
250.0,34,1674.0
260.0,43,1872.0
270.0,52,2104.0
280.0,54,2621.0
290.0,70,3251.0
300.0,61,3473.0
310.0,54,3025.0
320.0,47,3283.0
330.0,55,3493.0
340.0,52,3518.0
350.0,44,3677.0
360.0,57,4053.0
370.0,53,4566.0
380.0,48,4194.0
390.0,33,3265.0
400.0,33,2600.0
410.0,33,2189.0
420.0,36,1961.0
430.0,31,1670.0
440.0,27,1421.0
450.0,32,1339.0
460.0,38,1471.0
470.0,36,1344.0
480.0,34,1328.0
490.0,42,1593.0
500.0,44,1724.0
510.0,37,2065.0
520.0,35,2239.0
530.0,25,2215.0
540.0,26,2043.0
550.0,36,2359.0
560.0,34,2476.0
570.0,34,1857.0
580.0,25,1978.0
590.0,30,1590.0
600.0,24,1580.0
610.0,33,1566.0
620.0,31,1426.0
630.0,33,1523.0
640.0,38,1806.0
650.0,42,2180.0
660.0,42,2570.0
670.0,51,2983.0
680.0,43,3109.0
690.0,43,3298.0
700.0,58,3809.0
710.0,68,4461.0
720.0,68,4972.0
730.0,74,5533.0
740.0,63,6059.0
750.0,61,6664.0
760.0,63,7065.0
770.0,53,6898.0
780.0,35,5873.0
790.0,27,4842.0
800.0,42,5084.0
810.0,61,5609.0
820.0,58,5788.0
830.0,55,6310.0
840.0,59,6423.0
850.0,61,7008.0
860.0,60,7324.0
870.0,61,7941.0
880.0,60,8076.0
890.0,63,8681.0
900.0,71,9368.0
910.0,80,9787.0
920.0,68,8763.0
930.0,54,9004.0
940.0,56,8139.0
950.0,60,8476.0
960.0,59,8175.0
970.0,54,8380.0
980.0,57,8764.0
990.0,65,8704.0
1000.0,60,9325.0
1010.0,58,9251.0
1020.0,49,8791.0
1030.0,37,8186.0
1040.0,44,8336.0
1050.0,44,8355.0
1060.0,39,7819.0
1070.0,45,8011.0
1080.0,41,8082.0
1090.0,43,7661.0
1100.0,37,4623.0
1110.0,27,4744.0
1120.0,51,5154.0
1130.0,62,5740.0
1140.0,53,6050.0
1150.0,45,6061.0
1160.0,48,5693.0
1170.0,35,3563.0
1180.0,35,2518.0
1190.0,56,2947.0
1200.0,58,3167.0
1210.0,58,3708.0
1220.0,62,4220.0
1230.0,52,4059.0
1240.0,52,4190.0
1250.0,64,4776.0
1260.0,53,5047.0
1270.0,53,5595.0
1280.0,47,5558.0
1290.0,51,4498.0
1300.0,29,4404.0
1310.0,41,3596.0
1320.0,36,3455.0
1330.0,40,2911.0
1340.0,40,2969.0
1350.0,46,3158.0
1360.0,46,2841.0
1370.0,37,2592.0
1380.0,33,2143.0
1390.0,31,1454.0
1400.0,32,1402.0
1410.0,46,1726.0
1420.0,46,1909.0
1430.0,59,2456.0
1440.0,49,2842.0
1450.0,45,3312.0
1460.0,46,3315.0
1470.0,59,3356.0
1480.0,53,3712.0
1490.0,50,4215.0
1500.0,63,4763.0
1510.0,60,5035.0
1520.0,51,4560.0
1530.0,43,4036.0
1540.0,33,3666.0
1550.0,38,3709.0
1560.0,45,3934.0
1570.0,48,4398.0
1580.0,56,4707.0
1590.0,53,5236.0
1600.0,62,5460.0
1610.0,56,6046.0
1620.0,59,6605.0
1630.0,56,6515.0
1640.0,41,5121.0
1650.0,40,5068.0
1660.0,56,5245.0
1670.0,55,4768.0
1680.0,44,4096.0
1690.0,48,4076.0
1700.0,48,4410.0
1710.0,50,4683.0
1720.0,52,5174.0
1730.0,56,5704.0
1740.0,60,6274.0
1750.0,52,6324.0
1760.0,50,6823.0
1770.0,48,6841.0
1780.0,46,7030.0
1790.0,42,5661.0
1800.0,42,3990.0
1810.0,29,3881.0
1820.0,40,4063.0
1830.0,46,4318.0
1840.0,38,4038.0
1850.0,31,4270.0
