step_time,total_stopped,total_wait_time
125.0,22,1298.0
130.0,24,1203.0
135.0,23,1107.0
140.0,20,925.0
145.0,25,812.0
150.0,25,853.0
155.0,20,812.0
160.0,22,754.0
165.0,19,614.0
170.0,22,593.0
175.0,21,621.0
180.0,16,606.0
185.0,21,575.0
190.0,23,576.0
195.0,29,568.0
200.0,25,631.0
205.0,25,637.0
210.0,21,666.0
215.0,23,704.0
220.0,19,727.0
225.0,20,700.0
230.0,20,743.0
235.0,23,816.0
240.0,20,696.0
245.0,26,549.0
250.0,20,626.0
255.0,21,681.0
260.0,20,635.0
265.0,18,497.0
270.0,22,442.0
275.0,20,533.0
280.0,31,676.0
285.0,25,755.0
290.0,22,777.0
295.0,15,799.0
300.0,25,868.0
305.0,29,838.0
310.0,23,676.0
315.0,17,647.0
320.0,15,571.0
325.0,12,521.0
330.0,12,406.0
335.0,17,440.0
340.0,21,457.0
345.0,16,427.0
350.0,26,523.0
355.0,26,615.0
360.0,23,686.0
365.0,19,678.0
370.0,20,635.0
375.0,32,643.0
380.0,25,576.0
385.0,23,553.0
390.0,21,569.0
395.0,15,588.0
400.0,23,612.0
405.0,26,684.0
410.0,24,685.0
415.0,15,638.0
420.0,16,484.0
425.0,18,527.0
430.0,21,548.0
435.0,20,537.0
440.0,25,605.0
445.0,31,702.0
450.0,28,786.0
455.0,21,786.0
460.0,20,627.0
465.0,22,696.0
470.0,25,752.0
475.0,25,821.0
480.0,21,870.0
485.0,24,883.0
490.0,28,846.0
495.0,27,690.0
500.0,25,667.0
505.0,24,698.0
510.0,21,715.0
515.0,18,680.0
520.0,30,747.0
525.0,29,865.0
530.0,27,939.0
535.0,20,882.0
540.0,21,766.0
545.0,27,741.0
550.0,26,724.0
555.0,22,564.0
560.0,19,547.0
565.0,18,510.0
570.0,18,506.0
575.0,17,483.0
580.0,16,382.0
585.0,17,425.0
590.0,17,442.0
595.0,17,414.0
600.0,18,367.0
605.0,19,432.0
610.0,19,483.0
615.0,18,512.0
620.0,22,578.0
625.0,22,660.0
630.0,18,726.0
635.0,20,803.0
640.0,20,742.0
645.0,23,726.0
650.0,23,824.0
655.0,20,909.0
660.0,19,950.0
665.0,27,1044.0
670.0,22,970.0
675.0,17,725.0
680.0,9,614.0
685.0,10,587.0
690.0,17,607.0
695.0,26,722.0
700.0,25,818.0
705.0,22,884.0
710.0,21,931.0
715.0,27,1007.0
720.0,25,928.0
725.0,18,702.0
730.0,14,445.0
735.0,16,471.0
740.0,14,453.0
745.0,14,406.0
750.0,16,352.0
755.0,17,380.0
760.0,17,360.0
765.0,19,415.0
770.0,18,441.0
775.0,20,437.0
780.0,19,516.0
785.0,19,575.0
790.0,18,530.0
795.0,18,422.0
800.0,16,452.0
805.0,19,494.0
810.0,23,585.0
815.0,23,700.0
820.0,20,644.0
825.0,21,623.0
830.0,22,715.0
835.0,25,838.0
840.0,19,828.0
845.0,16,697.0
850.0,19,639.0
855.0,17,538.0
860.0,16,387.0
865.0,15,386.0
870.0,16,396.0
875.0,12,365.0
880.0,21,348.0
885.0,18,404.0
890.0,17,445.0
895.0,19,527.0
900.0,15,512.0
905.0,14,416.0
910.0,15,478.0
915.0,21,563.0
920.0,17,575.0
925.0,15,562.0
930.0,16,474.0
