step_time,total_stopped,total_wait_time
125.0,25,1635.0
130.0,25,1497.0
135.0,22,1381.0
140.0,18,1165.0
145.0,20,944.0
150.0,18,930.0
155.0,16,806.0
160.0,21,781.0
165.0,21,782.0
170.0,24,736.0
175.0,25,603.0
180.0,24,610.0
185.0,24,559.0
190.0,11,571.0
195.0,16,571.0
200.0,22,547.0
205.0,27,534.0
210.0,28,594.0
215.0,23,561.0
220.0,17,521.0
225.0,12,467.0
230.0,10,452.0
235.0,17,439.0
240.0,19,472.0
245.0,26,528.0
250.0,25,601.0
255.0,19,592.0
260.0,13,540.0
265.0,9,528.0
270.0,17,522.0
275.0,19,570.0
280.0,16,573.0
285.0,12,607.0
290.0,16,674.0
295.0,16,711.0
300.0,14,710.0
305.0,13,670.0
310.0,16,620.0
315.0,19,674.0
320.0,18,708.0
325.0,11,717.0
330.0,13,746.0
335.0,8,742.0
340.0,18,749.0
345.0,21,483.0
350.0,25,277.0
355.0,21,354.0
360.0,15,358.0
365.0,6,353.0
370.0,13,370.0
375.0,19,405.0
380.0,18,392.0
385.0,9,339.0
390.0,15,239.0
395.0,16,261.0
400.0,14,261.0
405.0,9,251.0
410.0,13,273.0
415.0,9,250.0
420.0,14,216.0
425.0,15,262.0
430.0,10,286.0
435.0,12,319.0
440.0,9,340.0
445.0,16,381.0
450.0,17,371.0
455.0,16,327.0
460.0,15,359.0
465.0,9,329.0
470.0,7,346.0
475.0,12,395.0
480.0,18,451.0
485.0,24,559.0
490.0,19,607.0
495.0,14,577.0
500.0,6,577.0
505.0,13,621.0
510.0,18,702.0
515.0,24,812.0
520.0,28,867.0
525.0,23,852.0
530.0,15,804.0
535.0,13,816.0
540.0,18,895.0
545.0,21,936.0
550.0,16,926.0
555.0,13,886.0
560.0,17,888.0
565.0,17,922.0
570.0,15,919.0
575.0,13,939.0
580.0,18,1011.0
585.0,18,1064.0
590.0,16,1086.0
595.0,14,1071.0
600.0,17,1061.0
605.0,20,1128.0
610.0,16,1169.0
615.0,14,1195.0
620.0,18,1250.0
625.0,19,1314.0
630.0,21,1361.0
635.0,17,1404.0
640.0,17,1440.0
645.0,17,1495.0
650.0,15,1028.0
655.0,18,439.0
660.0,16,377.0
665.0,24,396.0
670.0,23,471.0
675.0,17,494.0
680.0,12,444.0
685.0,13,358.0
690.0,17,392.0
695.0,13,400.0
700.0,13,414.0
705.0,18,437.0
710.0,19,479.0
715.0,16,499.0
720.0,12,511.0
725.0,10,460.0
730.0,14,416.0
735.0,19,475.0
740.0,17,527.0
745.0,13,521.0
750.0,16,487.0
755.0,15,541.0
760.0,13,574.0
765.0,12,603.0
770.0,12,594.0
775.0,18,606.0
780.0,18,675.0
785.0,14,718.0
790.0,13,753.0
795.0,11,741.0
800.0,12,699.0
805.0,10,733.0
810.0,16,777.0
815.0,14,814.0
820.0,22,887.0
825.0,20,971.0
830.0,15,1014.0
835.0,11,1012.0
840.0,17,1004.0
845.0,18,1037.0
850.0,14,1060.0
855.0,14,1109.0
860.0,19,1185.0
865.0,20,1248.0
870.0,26,1334.0
875.0,24,1400.0
880.0,20,1391.0
885.0,17,1455.0
890.0,21,1538.0
895.0,22,1598.0
900.0,16,1598.0
905.0,16,1578.0
910.0,14,1590.0
915.0,21,1626.0
920.0,20,1698.0
925.0,16,1725.0
930.0,15,1755.0
935.0,16,1832.0
940.0,24,1941.0
945.0,24,1443.0
950.0,28,587.0
955.0,29,689.0
960.0,27,748.0
965.0,17,719.0
970.0,15,612.0
975.0,18,648.0
980.0,20,656.0
985.0,17,670.0
990.0,21,670.0
995.0,29,784.0
1000.0,28,861.0
1005.0,21,874.0
1010.0,18,930.0
1015.0,22,1023.0
1020.0,18,993.0
1025.0,26,911.0
1030.0,28,946.0
1035.0,29,962.0
1040.0,23,928.0
1045.0,14,973.0
1050.0,18,1031.0
1055.0,19,1046.0
1060.0,27,1093.0
1065.0,28,1153.0
1070.0,25,1140.0
1075.0,18,1102.0
1080.0,13,1035.0
1085.0,8,1018.0
1090.0,12,1037.0
1095.0,20,1071.0
1100.0,17,1078.0
1105.0,13,1093.0
1110.0,19,1153.0
1115.0,20,803.0
1120.0,27,420.0
1125.0,24,467.0
1130.0,19,447.0
1135.0,16,419.0
1140.0,11,392.0
1145.0,13,334.0
1150.0,16,353.0
1155.0,14,344.0
1160.0,7,344.0
1165.0,14,378.0
1170.0,26,484.0
1175.0,25,551.0
1180.0,22,560.0
1185.0,18,627.0
1190.0,21,726.0
1195.0,20,780.0
1200.0,19,784.0
1205.0,17,718.0
1210.0,13,563.0
1215.0,17,510.0
1220.0,15,502.0
1225.0,14,466.0
1230.0,13,474.0
1235.0,13,517.0
1240.0,16,527.0
1245.0,20,554.0
1250.0,23,649.0
1255.0,17,713.0
1260.0,14,684.0
