step_time,total_stopped,total_wait_time
125.0,150,3727.0
130.0,181,3732.0
135.0,130,3890.0
140.0,51,2961.0
145.0,56,1870.0
150.0,73,1692.0
155.0,114,1797.0
160.0,113,1774.0
165.0,114,1849.0
170.0,124,2071.0
175.0,121,2024.0
180.0,86,1899.0
185.0,78,1768.0
190.0,72,1803.0
195.0,75,1787.0
200.0,70,1648.0
205.0,74,1801.0
210.0,96,1976.0
215.0,105,1978.0
220.0,85,1797.0
225.0,65,1450.0
230.0,74,1226.0
235.0,66,1238.0
240.0,76,1138.0
245.0,82,1185.0
250.0,79,1277.0
255.0,76,1372.0
260.0,90,1440.0
265.0,114,1656.0
270.0,89,1787.0
275.0,96,1826.0
280.0,109,2004.0
285.0,91,2011.0
290.0,111,2189.0
295.0,107,2453.0
300.0,119,2613.0
305.0,115,2714.0
310.0,112,2668.0
315.0,109,2666.0
320.0,92,2645.0
325.0,75,2470.0
330.0,86,2506.0
335.0,98,2613.0
340.0,102,2614.0
345.0,119,2780.0
350.0,108,2924.0
355.0,80,2549.0
360.0,93,2344.0
365.0,88,2445.0
370.0,101,2405.0
375.0,103,2425.0
380.0,109,2680.0
385.0,122,2835.0
390.0,108,2926.0
395.0,138,2927.0
400.0,147,3138.0
405.0,137,3284.0
410.0,119,3255.0
415.0,123,3611.0
420.0,128,3967.0
425.0,108,3859.0
430.0,90,3378.0
435.0,91,3245.0
440.0,95,3234.0
445.0,101,3381.0
450.0,100,3418.0
455.0,103,3109.0
460.0,88,2962.0
465.0,83,2694.0
470.0,94,2619.0
475.0,92,2567.0
480.0,98,2594.0
485.0,107,2844.0
490.0,112,2790.0
495.0,110,2385.0
500.0,68,2176.0
505.0,73,1984.0
510.0,98,2141.0
515.0,94,2141.0
520.0,90,1823.0
525.0,94,1694.0
530.0,104,1843.0
535.0,110,2033.0
540.0,95,2050.0
545.0,73,1818.0
550.0,78,1784.0
555.0,88,1952.0
560.0,99,2009.0
565.0,114,2018.0
570.0,120,2223.0
575.0,108,2338.0
580.0,111,2384.0
585.0,127,2796.0
590.0,142,3045.0
595.0,113,2960.0
600.0,109,2896.0
605.0,93,2838.0
610.0,93,2483.0
615.0,81,2397.0
620.0,87,2223.0
625.0,77,2259.0
630.0,99,2382.0
635.0,119,2559.0
640.0,101,2505.0
645.0,98,2274.0
650.0,108,2414.0
655.0,112,2643.0
660.0,110,2615.0
665.0,128,2752.0
670.0,131,3029.0
675.0,127,3248.0
680.0,119,3372.0
685.0,149,3641.0
690.0,173,4049.0
695.0,186,4562.0
700.0,182,4844.0
705.0,159,4609.0
710.0,125,4302.0
715.0,93,4439.0
720.0,115,4544.0
725.0,112,4596.0
730.0,121,4280.0
735.0,125,4121.0
740.0,111,4158.0
745.0,131,4160.0
750.0,156,4263.0
755.0,148,4231.0
760.0,132,3857.0
765.0,121,3889.0
770.0,127,4068.0
775.0,144,4356.0
780.0,151,4372.0
785.0,148,4332.0
790.0,141,4243.0
795.0,129,4029.0
800.0,122,3763.0
805.0,111,3712.0
810.0,104,3613.0
815.0,110,3394.0
820.0,95,3054.0
825.0,96,2857.0
830.0,106,2824.0
835.0,107,2898.0
840.0,108,2800.0
845.0,118,2777.0
850.0,132,2935.0
855.0,138,3212.0
860.0,132,3267.0
865.0,115,3233.0
870.0,108,3059.0
875.0,116,2883.0
880.0,123,2826.0
885.0,111,2786.0
890.0,116,2828.0
895.0,128,3176.0
900.0,143,3453.0
905.0,162,3750.0
910.0,168,3857.0
915.0,141,4071.0
920.0,144,4480.0
925.0,163,4786.0
930.0,148,4545.0
935.0,122,4088.0
940.0,116,4202.0
945.0,133,4553.0
950.0,152,4868.0
955.0,152,4832.0
960.0,144,4466.0
965.0,130,4281.0
970.0,114,3910.0
975.0,109,3240.0
980.0,105,3266.0
985.0,103,3298.0
990.0,101,3230.0
995.0,101,3134.0
1000.0,105,2596.0
1005.0,119,2411.0
1010.0,111,2481.0
1015.0,119,2443.0
1020.0,120,2614.0
1025.0,114,2732.0
1030.0,124,2809.0
1035.0,120,2886.0
1040.0,112,3080.0
1045.0,117,2977.0
1050.0,114,2645.0
1055.0,98,2338.0
1060.0,100,2310.0
1065.0,97,2399.0
1070.0,99,2380.0
1075.0,121,2378.0
1080.0,128,2426.0
1085.0,115,2370.0
1090.0,103,2275.0
1095.0,118,2391.0
1100.0,127,2691.0
1105.0,130,2972.0
1110.0,118,2994.0
1115.0,104,2777.0
1120.0,96,2781.0
1125.0,86,2880.0
1130.0,95,2687.0
1135.0,88,2592.0
1140.0,108,2502.0
1145.0,125,2487.0
1150.0,134,2647.0
1155.0,128,2768.0
1160.0,130,2831.0
1165.0,117,2751.0
1170.0,124,2715.0
1175.0,107,2715.0
1180.0,112,2640.0
1185.0,139,2824.0
1190.0,149,3188.0
1195.0,159,3253.0
1200.0,143,3174.0
1205.0,125,2965.0
1210.0,115,3032.0
1215.0,136,3122.0
1220.0,123,3248.0
1225.0,105,3138.0
1230.0,114,3082.0
1235.0,110,3201.0
1240.0,108,3157.0
1245.0,106,3076.0
1250.0,107,2915.0
1255.0,110,2900.0
1260.0,127,2939.0
1265.0,135,3214.0
1270.0,151,3496.0
1275.0,137,3617.0
1280.0,147,3890.0
1285.0,150,4116.0
1290.0,141,4086.0
1295.0,138,3979.0
1300.0,125,4241.0
1305.0,131,4227.0
1310.0,128,3969.0
1315.0,125,3866.0
1320.0,133,3763.0
1325.0,129,3824.0
1330.0,136,4220.0
1335.0,152,4544.0
1340.0,136,4578.0
1345.0,125,4301.0
1350.0,106,4217.0
1355.0,105,3975.0
1360.0,93,3798.0
1365.0,109,3705.0
1370.0,117,3656.0
1375.0,130,3836.0
1380.0,137,3975.0
1385.0,128,3833.0
1390.0,127,3594.0
1395.0,124,3649.0
1400.0,119,3725.0
1405.0,122,3883.0
1410.0,116,4079.0
1415.0,110,4096.0
1420.0,113,3940.0
1425.0,105,3420.0
1430.0,93,3138.0
1435.0,111,3010.0
1440.0,125,3257.0
1445.0,115,3364.0
1450.0,101,3383.0
1455.0,105,3360.0
1460.0,115,3555.0
1465.0,109,3515.0
1470.0,120,3164.0
1475.0,118,3049.0
1480.0,115,3053.0
1485.0,105,2887.0
1490.0,96,2593.0
1495.0,97,2480.0
1500.0,103,2470.0
1505.0,115,2327.0
1510.0,99,2157.0
1515.0,111,2237.0
1520.0,123,2336.0
1525.0,110,2343.0
1530.0,102,2275.0
1535.0,103,2180.0
1540.0,106,2279.0
1545.0,118,2298.0
1550.0,121,2246.0
1555.0,118,2416.0
1560.0,133,2405.0
1565.0,117,2516.0
1570.0,112,2604.0
1575.0,116,2681.0
1580.0,110,2604.0
1585.0,98,2419.0
1590.0,91,2211.0
1595.0,107,2454.0
1600.0,133,2778.0
1605.0,119,2905.0
1610.0,120,2759.0
1615.0,139,2812.0
1620.0,142,3089.0
1625.0,150,3332.0
