step_time,total_stopped,total_wait_time
305.0,55,4638.0
310.0,102,4011.0
315.0,83,3021.0
320.0,95,2734.0
325.0,98,2298.0
330.0,91,1889.0
335.0,76,1613.0
340.0,77,1631.0
345.0,78,1653.0
350.0,76,1554.0
355.0,93,1582.0
360.0,89,1389.0
365.0,78,1277.0
370.0,73,1251.0
375.0,67,1265.0
380.0,77,1236.0
385.0,71,1307.0
390.0,82,1390.0
395.0,88,1496.0
400.0,98,1526.0
405.0,103,1812.0
410.0,94,2060.0
415.0,100,2084.0
420.0,101,2031.0
425.0,103,1967.0
430.0,117,2211.0
435.0,114,2391.0
440.0,86,2270.0
445.0,88,2358.0
450.0,103,2575.0
455.0,111,2793.0
460.0,97,2694.0
465.0,100,2625.0
470.0,110,2882.0
475.0,97,2927.0
480.0,86,2634.0
485.0,89,2410.0
490.0,114,2267.0
495.0,117,2475.0
500.0,101,2438.0
505.0,88,2215.0
510.0,81,1874.0
515.0,75,1814.0
520.0,102,1825.0
525.0,105,1802.0
530.0,103,1679.0
535.0,94,1783.0
540.0,107,1770.0
545.0,132,1991.0
550.0,145,2374.0
555.0,155,2843.0
560.0,153,3059.0
565.0,117,2904.0
570.0,105,2808.0
575.0,95,2573.0
580.0,93,2272.0
585.0,91,2204.0
590.0,124,2474.0
595.0,130,2772.0
600.0,135,2961.0
605.0,131,3148.0
610.0,118,3226.0
615.0,126,3306.0
620.0,135,3203.0
625.0,145,3431.0
630.0,122,3613.0
635.0,145,3660.0
640.0,133,3613.0
645.0,125,3522.0
650.0,141,3646.0
655.0,150,3978.0
660.0,147,3952.0
665.0,136,3840.0
670.0,132,3619.0
675.0,117,3359.0
680.0,120,3337.0
685.0,138,3224.0
690.0,136,3218.0
695.0,131,3187.0
700.0,135,3340.0
705.0,140,3246.0
710.0,133,3131.0
715.0,121,2952.0
720.0,143,3394.0
725.0,163,3865.0
730.0,171,4198.0
735.0,165,4086.0
740.0,156,3817.0
745.0,157,4258.0
750.0,193,4803.0
755.0,190,4996.0
760.0,177,4775.0
765.0,152,4643.0
770.0,125,4201.0
775.0,110,3464.0
780.0,114,3086.0
785.0,123,3068.0
790.0,155,3252.0
795.0,154,3271.0
800.0,152,2853.0
805.0,134,2822.0
810.0,141,3078.0
815.0,171,3355.0
820.0,187,3616.0
825.0,184,3765.0
830.0,171,3879.0
835.0,145,3751.0
840.0,125,3365.0
845.0,113,3158.0
850.0,124,3193.0
855.0,150,3228.0
860.0,164,3173.0
865.0,154,3171.0
870.0,113,3156.0
875.0,127,2996.0
880.0,159,3095.0
885.0,173,3358.0
890.0,189,3787.0
895.0,198,4255.0
900.0,189,4428.0
905.0,169,4055.0
910.0,118,3998.0
915.0,91,3609.0
920.0,96,3486.0
925.0,142,3602.0
930.0,154,3791.0
935.0,129,3702.0
940.0,133,3536.0
945.0,158,3374.0
950.0,143,3284.0
955.0,130,3029.0
960.0,141,3002.0
965.0,127,3047.0
970.0,110,2779.0
975.0,122,2698.0
980.0,132,2855.0
985.0,131,2880.0
990.0,156,2983.0
995.0,137,3055.0
1000.0,133,3126.0
1005.0,134,3073.0
1010.0,102,2710.0
1015.0,109,2240.0
1020.0,95,2298.0
1025.0,107,2383.0
1030.0,122,2302.0
1035.0,126,2310.0
1040.0,126,2398.0
1045.0,116,2568.0
1050.0,123,2586.0
1055.0,113,2452.0
1060.0,125,2590.0
1065.0,134,2849.0
1070.0,141,3049.0
1075.0,155,3037.0
1080.0,166,3092.0
1085.0,177,3375.0
1090.0,149,3537.0
1095.0,153,3695.0
1100.0,163,4147.0
1105.0,156,4557.0
1110.0,155,4767.0
1115.0,141,4648.0
1120.0,117,4408.0
1125.0,118,4342.0
1130.0,135,4609.0
1135.0,162,4769.0
1140.0,159,4690.0
1145.0,152,4683.0
1150.0,133,4723.0
1155.0,124,4401.0
1160.0,133,4074.0
1165.0,149,4094.0
1170.0,149,4144.0
1175.0,159,4123.0
1180.0,158,4177.0
1185.0,168,4343.0
1190.0,196,4535.0
1195.0,191,4486.0
1200.0,172,4304.0
1205.0,154,4055.0
1210.0,149,4153.0
