step_time,total_stopped,total_wait_time
305.0,62,4599.0
310.0,104,4030.0
315.0,119,2673.0
320.0,124,2799.0
325.0,122,3144.0
330.0,123,3344.0
335.0,127,3640.0
340.0,146,4282.0
345.0,166,5068.0
350.0,188,5965.0
355.0,140,5408.0
360.0,113,3602.0
365.0,111,2421.0
370.0,114,2416.0
375.0,106,2525.0
380.0,91,2557.0
385.0,90,2498.0
390.0,97,2543.0
395.0,122,2729.0
400.0,146,3170.0
405.0,120,2846.0
410.0,130,2226.0
415.0,135,2341.0
420.0,119,2645.0
425.0,114,2788.0
430.0,130,2930.0
435.0,142,3199.0
440.0,136,3306.0
445.0,151,3526.0
450.0,157,3898.0
455.0,163,4057.0
460.0,172,4315.0
465.0,167,4617.0
470.0,154,4746.0
475.0,132,4409.0
480.0,124,3963.0
485.0,108,3426.0
490.0,103,3024.0
495.0,96,2790.0
500.0,96,2572.0
505.0,99,2362.0
510.0,106,2045.0
515.0,108,1984.0
520.0,110,2204.0
525.0,134,2318.0
530.0,155,2560.0
535.0,162,2818.0
540.0,159,3105.0
545.0,148,3470.0
550.0,169,3810.0
555.0,163,3917.0
560.0,146,3857.0
565.0,144,3900.0
570.0,149,3911.0
575.0,148,3951.0
580.0,148,3896.0
585.0,140,3847.0
590.0,156,3701.0
595.0,158,3708.0
600.0,134,3689.0
605.0,137,3343.0
610.0,146,3110.0
615.0,139,3268.0
620.0,144,3472.0
625.0,137,3433.0
630.0,129,3161.0
635.0,146,3116.0
640.0,163,3469.0
645.0,190,4057.0
650.0,226,4925.0
655.0,239,5667.0
660.0,242,5952.0
665.0,226,6245.0
670.0,214,6527.0
675.0,198,6433.0
680.0,170,5702.0
685.0,148,4910.0
690.0,110,4340.0
695.0,106,3990.0
700.0,137,3830.0
705.0,139,3949.0
710.0,152,3902.0
715.0,151,3688.0
720.0,152,3383.0
725.0,142,2788.0
730.0,122,2744.0
735.0,132,2522.0
740.0,146,2765.0
745.0,163,3090.0
750.0,187,3570.0
755.0,203,4077.0
760.0,208,4656.0
765.0,189,4788.0
770.0,193,4848.0
775.0,188,4594.0
780.0,171,4579.0
785.0,138,4426.0
790.0,126,4003.0
795.0,138,3836.0
800.0,146,3920.0
805.0,154,3873.0
810.0,146,3670.0
815.0,179,3985.0
820.0,164,4179.0
825.0,171,4401.0
830.0,157,4528.0
835.0,169,4505.0
840.0,163,4304.0
845.0,160,4153.0
850.0,160,3960.0
855.0,165,4013.0
860.0,162,4132.0
865.0,189,4434.0
870.0,199,4845.0
875.0,208,5127.0
880.0,206,5350.0
885.0,223,5479.0
890.0,234,5740.0
895.0,203,5638.0
900.0,169,5277.0
905.0,158,4922.0
910.0,174,5229.0
915.0,167,5430.0
920.0,141,5045.0
925.0,131,4250.0
930.0,133,3629.0
935.0,142,3466.0
940.0,123,3277.0
945.0,136,3103.0
950.0,124,3031.0
955.0,126,2900.0
960.0,111,2501.0
965.0,112,2077.0
970.0,85,1854.0
975.0,97,1791.0
980.0,115,1731.0
985.0,125,1716.0
990.0,95,1634.0
995.0,88,1499.0
1000.0,96,1523.0
1005.0,115,1571.0
1010.0,110,1568.0
1015.0,117,1598.0
1020.0,106,1787.0
1025.0,123,1893.0
1030.0,109,2024.0
1035.0,117,2096.0
1040.0,114,2162.0
1045.0,111,1963.0
1050.0,96,1707.0
1055.0,85,1768.0
1060.0,84,1793.0
1065.0,98,1700.0
1070.0,94,1498.0
1075.0,90,1419.0
1080.0,109,1592.0
1085.0,99,1710.0
1090.0,111,1713.0
1095.0,109,1769.0
1100.0,112,1929.0
1105.0,133,2248.0
