buffer_size,step_time,total_stopped,total_wait_time
0,305.0,56,4597.0
0,310.0,102,4016.0
0,315.0,120,2665.0
0,320.0,128,2830.0
0,325.0,134,3483.0
0,330.0,142,4178.0
0,335.0,149,4906.0
0,340.0,59,2761.0
0,345.0,87,1327.0
0,350.0,120,986.0
0,355.0,127,1569.0
0,360.0,134,2221.0
0,365.0,141,2909.0
0,370.0,149,3639.0
0,375.0,86,3210.0
0,380.0,73,1713.0
0,385.0,112,873.0
0,390.0,121,1356.0
0,395.0,129,1982.0
0,400.0,136,2645.0
0,405.0,144,3348.0
0,410.0,117,2952.0
0,415.0,55,2278.0
0,420.0,96,1058.0
0,425.0,119,1081.0
0,430.0,125,1675.0
0,435.0,134,2327.0
0,440.0,140,3017.0
0,445.0,148,3745.0
0,450.0,65,2343.0
0,455.0,80,1206.0
0,460.0,116,900.0
0,465.0,124,1404.0
0,470.0,132,2047.0
0,475.0,138,2725.0
0,480.0,146,3443.0
0,485.0,93,3038.0
0,490.0,57,1728.0
0,495.0,108,1045.0
0,500.0,118,1166.0
0,505.0,127,1783.0
0,510.0,134,2442.0
0,515.0,141,3133.0
0,520.0,149,3863.0
0,525.0,56,2319.0
0,530.0,86,1262.0
0,535.0,117,976.0
0,540.0,124,1539.0
0,545.0,132,2183.0
0,550.0,138,2861.0
0,555.0,145,3577.0
0,560.0,79,3130.0
0,565.0,66,1764.0
0,570.0,114,854.0
0,575.0,124,1334.0
0,580.0,132,1973.0
0,585.0,139,2653.0
0,590.0,145,3364.0
0,595.0,123,3002.0
0,600.0,55,2267.0
0,605.0,100,1011.0
0,610.0,119,1111.0
0,615.0,126,1711.0
0,620.0,134,2366.0
0,625.0,141,3055.0
0,630.0,149,3782.0
0,635.0,66,2346.0
0,640.0,80,1226.0
0,645.0,116,941.0
0,650.0,121,1424.0
0,655.0,132,2065.0
0,660.0,138,2741.0
0,665.0,145,3451.0
0,670.0,88,3041.0
0,675.0,53,1741.0
0,680.0,104,952.0
0,685.0,120,1171.0
0,690.0,128,1800.0
0,695.0,136,2464.0
0,700.0,144,3163.0
0,705.0,149,3898.0
0,710.0,55,2283.0
0,715.0,83,1128.0
0,720.0,116,966.0
0,725.0,124,1530.0
0,730.0,132,2172.0
0,735.0,139,2849.0
0,740.0,145,3560.0
0,745.0,78,3098.0
0,750.0,69,1801.0
0,755.0,111,836.0
0,760.0,120,1272.0
0,765.0,128,1899.0
0,770.0,136,2564.0
0,775.0,144,3265.0
0,780.0,119,2910.0
0,785.0,49,2235.0
0,790.0,96,928.0
0,795.0,119,1063.0
0,800.0,128,1679.0
0,805.0,136,2340.0
0,810.0,142,3033.0
0,815.0,149,3764.0
0,820.0,68,2311.0
0,825.0,79,1263.0
0,830.0,116,970.0
0,835.0,122,1441.0
0,840.0,129,2075.0
0,845.0,136,2745.0
0,850.0,144,3454.0
0,855.0,91,3016.0
0,860.0,60,1712.0
0,865.0,105,995.0
0,870.0,120,1167.0
0,875.0,128,1789.0
0,880.0,136,2450.0
0,885.0,144,3150.0
0,890.0,151,3886.0
0,895.0,53,2264.0
0,900.0,92,1199.0
0,905.0,117,993.0
0,910.0,125,1557.0
0,915.0,133,2206.0
0,920.0,140,2891.0
0,925.0,148,3619.0
0,930.0,74,3167.0
0,935.0,67,1640.0
0,940.0,115,802.0
0,945.0,120,1283.0
0,950.0,129,1912.0
0,955.0,135,2574.0
0,960.0,143,3273.0
0,965.0,120,2916.0
0,970.0,50,2266.0
0,975.0,96,975.0
0,980.0,117,1034.0
0,985.0,127,1631.0
0,990.0,133,2282.0
0,995.0,140,2967.0
0,1000.0,148,3691.0
0,1005.0,69,2405.0
