step_time,total_stopped,total_wait_time
305.0,77,7196.0
310.0,75,5678.0
315.0,36,4927.0
320.0,108,4962.0
325.0,190,5572.0
330.0,214,6302.0
335.0,237,7368.0
340.0,257,8497.0
345.0,256,9622.0
350.0,257,10469.0
355.0,251,11467.0
360.0,246,12508.0
365.0,199,11969.0
370.0,148,9464.0
375.0,151,9087.0
380.0,177,9659.0
385.0,211,10022.0
390.0,217,10643.0
395.0,231,11443.0
400.0,244,11724.0
405.0,225,11748.0
410.0,211,12118.0
415.0,211,12170.0
420.0,194,11822.0
425.0,164,12027.0
430.0,153,11867.0
435.0,172,11583.0
440.0,188,12186.0
445.0,209,12581.0
450.0,202,12084.0
455.0,183,11350.0
460.0,178,10865.0
465.0,166,11187.0
470.0,175,11499.0
475.0,192,11397.0
480.0,191,10950.0
485.0,162,10370.0
490.0,149,10164.0
495.0,175,10496.0
500.0,204,11396.0
505.0,230,12102.0
510.0,244,12144.0
515.0,240,12538.0
520.0,230,12514.0
525.0,219,12264.0
530.0,207,12378.0
535.0,204,12465.0
540.0,189,11778.0
545.0,188,11131.0
550.0,185,11308.0
555.0,184,11039.0
560.0,178,11461.0
565.0,198,11926.0
570.0,232,12527.0
575.0,248,12836.0
580.0,251,13473.0
585.0,231,13572.0
590.0,230,14202.0
595.0,249,15403.0
600.0,252,15867.0
605.0,238,15253.0
610.0,205,14517.0
615.0,190,13684.0
620.0,194,13752.0
625.0,189,14097.0
630.0,181,13853.0
635.0,179,13414.0
640.0,186,13884.0
645.0,193,13834.0
650.0,197,13281.0
655.0,190,13551.0
660.0,188,13344.0
665.0,176,12802.0
670.0,167,12568.0
675.0,188,12958.0
680.0,212,13007.0
685.0,224,12905.0
690.0,224,13830.0
695.0,222,13956.0
700.0,197,13087.0
705.0,179,13301.0
710.0,200,13990.0
715.0,232,14717.0
720.0,220,14909.0
725.0,214,14818.0
730.0,200,13949.0
735.0,182,13520.0
740.0,166,13649.0
745.0,161,14027.0
750.0,173,13816.0
755.0,181,13106.0
760.0,182,12816.0
765.0,169,12188.0
770.0,164,11461.0
775.0,172,11544.0
780.0,173,11149.0
785.0,162,11390.0
790.0,173,11539.0
795.0,171,11047.0
800.0,176,10735.0
805.0,202,10966.0
810.0,196,10829.0
815.0,174,10574.0
820.0,171,10527.0
825.0,180,10295.0
830.0,190,10646.0
835.0,212,11217.0
840.0,219,11631.0
845.0,216,11697.0
850.0,227,11590.0
855.0,216,11809.0
860.0,211,11981.0
865.0,202,11964.0
870.0,204,12023.0
875.0,229,12558.0
880.0,248,13042.0
885.0,254,13948.0
890.0,257,14889.0
895.0,251,15472.0
900.0,252,15538.0
