step_time,total_stopped,total_wait_time
305.0,54,3867.0
310.0,58,2930.0
315.0,47,1834.0
320.0,59,1394.0
325.0,82,1059.0
330.0,71,840.0
335.0,64,852.0
340.0,59,834.0
345.0,74,922.0
350.0,77,1061.0
355.0,70,1104.0
360.0,58,977.0
365.0,84,1080.0
370.0,96,1243.0
375.0,101,1370.0
380.0,90,1378.0
385.0,64,1311.0
390.0,58,1190.0
395.0,63,1077.0
400.0,57,1002.0
405.0,71,951.0
410.0,62,967.0
415.0,71,1064.0
420.0,82,1166.0
425.0,87,1197.0
430.0,83,1270.0
435.0,84,1254.0
440.0,80,1411.0
445.0,83,1483.0
450.0,72,1389.0
455.0,93,1416.0
460.0,129,1872.0
465.0,137,2294.0
470.0,110,2376.0
475.0,65,2180.0
480.0,61,1964.0
485.0,103,2071.0
490.0,133,2485.0
495.0,146,2750.0
500.0,137,2746.0
505.0,154,2878.0
510.0,144,3342.0
515.0,126,3303.0
520.0,93,2915.0
525.0,72,2618.0
530.0,101,2749.0
535.0,125,2931.0
540.0,124,3029.0
545.0,124,2848.0
550.0,113,2835.0
555.0,103,2831.0
560.0,114,2955.0
565.0,133,3117.0
570.0,148,3352.0
575.0,128,3454.0
580.0,120,3495.0
585.0,118,3447.0
590.0,137,3568.0
595.0,130,3511.0
600.0,142,3540.0
605.0,148,3594.0
610.0,149,3624.0
615.0,124,3463.0
620.0,96,3238.0
625.0,107,3531.0
630.0,126,3795.0
635.0,149,3885.0
640.0,137,3704.0
645.0,118,3569.0
650.0,112,3358.0
655.0,85,3278.0
660.0,83,2870.0
665.0,83,2493.0
670.0,67,2270.0
675.0,87,2229.0
680.0,110,2503.0
685.0,122,2651.0
690.0,121,2795.0
695.0,119,2672.0
700.0,109,2563.0
705.0,101,2429.0
710.0,93,2357.0
715.0,93,2436.0
720.0,110,2798.0
725.0,114,3009.0
730.0,121,2970.0
735.0,132,2958.0
740.0,147,3206.0
745.0,164,3708.0
750.0,144,3850.0
755.0,125,3737.0
760.0,122,3945.0
765.0,162,4497.0
770.0,175,4898.0
775.0,148,4739.0
780.0,122,4465.0
785.0,120,4622.0
790.0,117,4784.0
795.0,131,4772.0
800.0,151,4524.0
805.0,164,4753.0
810.0,150,4824.0
815.0,134,4771.0
820.0,133,4665.0
825.0,137,4883.0
830.0,168,5023.0
835.0,190,5156.0
840.0,159,5110.0
845.0,138,4950.0
850.0,133,5077.0
855.0,145,5037.0
860.0,180,5517.0
865.0,190,5902.0
870.0,188,5888.0
875.0,156,5542.0
880.0,143,5742.0
885.0,174,6185.0
890.0,180,6084.0
895.0,151,5632.0
900.0,131,5367.0
905.0,127,5006.0
910.0,103,4393.0
915.0,94,4148.0
920.0,98,4291.0
925.0,104,4290.0
930.0,111,4042.0
935.0,134,3944.0
940.0,151,4034.0
945.0,150,4150.0
950.0,127,4435.0
955.0,136,4626.0
960.0,157,4601.0
965.0,144,4569.0
970.0,141,4845.0
975.0,141,5032.0
980.0,123,5207.0
985.0,130,5090.0
990.0,136,5130.0
995.0,141,5093.0
1000.0,146,5098.0
1005.0,146,5214.0
1010.0,143,5450.0
1015.0,130,5242.0
1020.0,130,4817.0
1025.0,107,4734.0
1030.0,103,4771.0
1035.0,115,4722.0
1040.0,103,4596.0
1045.0,112,4121.0
1050.0,100,3665.0
1055.0,103,3613.0
1060.0,96,3650.0
1065.0,114,3494.0
1070.0,113,3150.0
1075.0,116,3157.0
1080.0,109,3055.0
1085.0,111,3045.0
1090.0,132,3223.0
1095.0,140,3371.0
1100.0,128,3281.0
1105.0,120,3419.0
1110.0,152,3866.0
1115.0,163,4293.0
1120.0,140,4147.0
1125.0,133,3923.0
1130.0,127,4014.0
1135.0,124,4218.0
1140.0,112,4042.0
1145.0,90,3843.0
1150.0,101,3824.0
