step_time,total_stopped,total_wait_time
305.0,57,4641.0
310.0,104,3994.0
315.0,96,2973.0
320.0,82,2553.0
325.0,98,2173.0
330.0,86,1911.0
335.0,75,1696.0
340.0,79,1398.0
345.0,77,1132.0
350.0,83,1212.0
355.0,87,1383.0
360.0,99,1654.0
365.0,114,1881.0
370.0,101,2020.0
375.0,109,1997.0
380.0,107,1905.0
385.0,107,1942.0
390.0,91,1929.0
395.0,86,1914.0
400.0,101,1963.0
405.0,113,2177.0
410.0,112,2317.0
415.0,100,2185.0
420.0,101,2062.0
425.0,104,2079.0
430.0,91,1818.0
435.0,77,1660.0
440.0,94,1620.0
445.0,89,1693.0
450.0,94,1653.0
455.0,107,1576.0
460.0,99,1649.0
465.0,110,1867.0
470.0,96,1904.0
475.0,103,1972.0
480.0,105,2068.0
485.0,107,2244.0
490.0,109,2307.0
495.0,120,2387.0
500.0,106,2331.0
505.0,90,1964.0
510.0,78,1496.0
515.0,59,1272.0
520.0,78,1266.0
525.0,82,1442.0
530.0,119,1577.0
535.0,114,1715.0
540.0,100,1777.0
545.0,98,1803.0
550.0,82,1613.0
555.0,93,1417.0
560.0,106,1400.0
565.0,94,1435.0
570.0,108,1467.0
575.0,101,1606.0
580.0,124,1786.0
585.0,155,2361.0
590.0,146,2766.0
595.0,133,2884.0
600.0,124,2914.0
605.0,114,2841.0
610.0,117,2561.0
615.0,119,2452.0
620.0,106,2607.0
625.0,115,2885.0
630.0,154,3133.0
635.0,155,3189.0
640.0,134,3225.0
645.0,147,3211.0
650.0,136,3094.0
655.0,107,2926.0
660.0,109,2689.0
665.0,105,2520.0
670.0,125,2364.0
675.0,141,2537.0
680.0,124,2489.0
685.0,100,2275.0
690.0,95,2214.0
695.0,107,2337.0
700.0,127,2524.0
705.0,150,2751.0
710.0,139,2857.0
715.0,113,2602.0
720.0,106,2578.0
725.0,111,2480.0
730.0,124,2302.0
735.0,132,2325.0
740.0,141,2637.0
745.0,156,2853.0
750.0,164,3199.0
755.0,146,3299.0
760.0,133,3142.0
765.0,129,3152.0
770.0,136,3474.0
775.0,143,3809.0
780.0,137,4016.0
785.0,127,3879.0
790.0,123,3834.0
795.0,128,3551.0
800.0,150,3646.0
805.0,154,3735.0
810.0,148,4006.0
815.0,133,4251.0
820.0,157,4452.0
825.0,188,5078.0
830.0,185,5549.0
835.0,195,5778.0
840.0,170,5644.0
845.0,141,5304.0
850.0,131,4760.0
855.0,147,4373.0
860.0,140,3792.0
865.0,127,3411.0
870.0,131,3222.0
875.0,137,3117.0
880.0,140,3113.0
885.0,129,3094.0
890.0,115,2849.0
895.0,123,2518.0
900.0,115,2216.0
905.0,91,2247.0
910.0,108,2295.0
915.0,138,2494.0
920.0,164,2783.0
925.0,170,3261.0
930.0,156,3536.0
935.0,125,3459.0
940.0,125,3340.0
945.0,139,3685.0
950.0,135,3763.0
955.0,111,3468.0
960.0,88,3095.0
965.0,87,2871.0
970.0,119,2736.0
975.0,120,2864.0
980.0,135,3045.0
985.0,137,3254.0
990.0,145,3352.0
995.0,144,3457.0
1000.0,137,3527.0
1005.0,123,3619.0
1010.0,147,3591.0
1015.0,162,4022.0
1020.0,154,4342.0
1025.0,130,4283.0
1030.0,130,4101.0
1035.0,149,3924.0
1040.0,179,4123.0
1045.0,181,4293.0
1050.0,170,4235.0
1055.0,177,4122.0
1060.0,170,4333.0
1065.0,176,4596.0
1070.0,197,4824.0
1075.0,195,4975.0
1080.0,193,5311.0
1085.0,193,5548.0
1090.0,179,5875.0
1095.0,174,6147.0
1100.0,178,6170.0
1105.0,195,5829.0
1110.0,173,5446.0
1115.0,155,5831.0
1120.0,176,6075.0
1125.0,186,5810.0
1130.0,145,5337.0
1135.0,103,5022.0
1140.0,103,4626.0
1145.0,114,4189.0
1150.0,125,4006.0
1155.0,156,3858.0
1160.0,148,3808.0
1165.0,143,3354.0
1170.0,144,3137.0
1175.0,134,2943.0
1180.0,148,2953.0
1185.0,176,3281.0
1190.0,185,3779.0
1195.0,179,4032.0
1200.0,173,3940.0
1205.0,156,3896.0
1210.0,133,3852.0
1215.0,120,3663.0
1220.0,131,3707.0
1225.0,174,4146.0
1230.0,188,4426.0
1235.0,163,4127.0
1240.0,148,3732.0
1245.0,159,3833.0
1250.0,163,4040.0
1255.0,144,3877.0
1260.0,135,3613.0
1265.0,130,3502.0
1270.0,135,3587.0
1275.0,161,3837.0
1280.0,185,4317.0
1285.0,200,4649.0
1290.0,178,4657.0
1295.0,140,4421.0
1300.0,144,4346.0
1305.0,154,4711.0
1310.0,153,4784.0
1315.0,142,4529.0
1320.0,149,4479.0
1325.0,139,4603.0
1330.0,137,4363.0
1335.0,139,3888.0
1340.0,118,3528.0
1345.0,114,3414.0
1350.0,127,3414.0
1355.0,162,3573.0
1360.0,166,3631.0
1365.0,163,3565.0
1370.0,157,3540.0
1375.0,158,3401.0
1380.0,156,3361.0
1385.0,154,3324.0
1390.0,141,3409.0
1395.0,127,3485.0
1400.0,136,3394.0
1405.0,138,3156.0
1410.0,139,2881.0
1415.0,123,2899.0
1420.0,110,2595.0
1425.0,124,2607.0
1430.0,142,2687.0
1435.0,151,2677.0
1440.0,128,2609.0
1445.0,126,2630.0
1450.0,148,2878.0
1455.0,148,3025.0
1460.0,153,2954.0
1465.0,141,3064.0
1470.0,141,3316.0
1475.0,146,3368.0
1480.0,135,3326.0
1485.0,140,3099.0
1490.0,128,2959.0
1495.0,105,2581.0
1500.0,85,2339.0
1505.0,90,2115.0
1510.0,102,2133.0
1515.0,136,2326.0
1520.0,144,2614.0
1525.0,138,2687.0
1530.0,146,2697.0
1535.0,148,2911.0
1540.0,147,2992.0
1545.0,144,2917.0
1550.0,155,3048.0
1555.0,169,3281.0
1560.0,171,3426.0
1565.0,138,3413.0
1570.0,131,3440.0
1575.0,163,3696.0
1580.0,177,4078.0
1585.0,169,4323.0
1590.0,169,4515.0
1595.0,149,4627.0
1600.0,142,4395.0
1605.0,138,4365.0
1610.0,142,4562.0
1615.0,162,5039.0
1620.0,192,5639.0
1625.0,199,5793.0
1630.0,193,5498.0
1635.0,172,5427.0
1640.0,156,5442.0
1645.0,161,5345.0
1650.0,180,5424.0
1655.0,165,5085.0
1660.0,157,4773.0
1665.0,141,4885.0
1670.0,136,4827.0
1675.0,139,4407.0
1680.0,132,3900.0
1685.0,154,3790.0
1690.0,151,3985.0
1695.0,150,3981.0
1700.0,147,4120.0
1705.0,152,3985.0
1710.0,133,3353.0
1715.0,109,2733.0
1720.0,104,2492.0
1725.0,117,2516.0
1730.0,120,2489.0
1735.0,123,2362.0
1740.0,116,2273.0
1745.0,127,2079.0
1750.0,113,2136.0
1755.0,142,2208.0
1760.0,152,2454.0
1765.0,157,2752.0
1770.0,157,2948.0
1775.0,178,3112.0
1780.0,180,3379.0
1785.0,178,3750.0
1790.0,173,4000.0
1795.0,193,4375.0
1800.0,194,4832.0
1805.0,193,4960.0
1810.0,163,5203.0
1815.0,169,5332.0
1820.0,201,5871.0
1825.0,203,6146.0
1830.0,180,5941.0
1835.0,147,5483.0
1840.0,131,5372.0
1845.0,154,5352.0
1850.0,160,5275.0
1855.0,158,5281.0
1860.0,161,5344.0
1865.0,172,5587.0
1870.0,161,5584.0
1875.0,165,5557.0
1880.0,173,5730.0
1885.0,170,5975.0
1890.0,155,5603.0
1895.0,139,4977.0
1900.0,124,5131.0
1905.0,166,5566.0
1910.0,195,6197.0
1915.0,197,6313.0
1920.0,179,5762.0
1925.0,157,5032.0
1930.0,142,4606.0
1935.0,144,4500.0
1940.0,149,4633.0
1945.0,158,4743.0
1950.0,169,5000.0
1955.0,161,5047.0
1960.0,138,4534.0
1965.0,119,3454.0
1970.0,111,3259.0
1975.0,112,3304.0
1980.0,121,3189.0
1985.0,138,3109.0
1990.0,127,3038.0
1995.0,110,2631.0
2000.0,109,2130.0
2005.0,109,2082.0
2010.0,127,2174.0
2015.0,132,2380.0
2020.0,136,2565.0
2025.0,134,2486.0
2030.0,143,2385.0
2035.0,150,2640.0
2040.0,173,3126.0
2045.0,191,3602.0
2050.0,170,3747.0
2055.0,150,3755.0
2060.0,172,4063.0
2065.0,182,4674.0
2070.0,174,4869.0
2075.0,166,4916.0
2080.0,143,4713.0
2085.0,156,4819.0
2090.0,152,4664.0
2095.0,131,4272.0
2100.0,125,3766.0
2105.0,123,3719.0
2110.0,151,3912.0
2115.0,147,4025.0
2120.0,154,3834.0
2125.0,168,3978.0
2130.0,191,4333.0
2135.0,202,4776.0
2140.0,211,5113.0
2145.0,208,5259.0
2150.0,194,5408.0
2155.0,180,5156.0
2160.0,183,5032.0
2165.0,173,5265.0
2170.0,174,5431.0
2175.0,169,5394.0
2180.0,146,5050.0
2185.0,161,5000.0
2190.0,172,5137.0
2195.0,170,5102.0
2200.0,169,5066.0
2205.0,200,5499.0
2210.0,215,5859.0
2215.0,206,5550.0
2220.0,174,4839.0
2225.0,145,4515.0
2230.0,150,4377.0
2235.0,178,4512.0
2240.0,183,4504.0
2245.0,159,4404.0
2250.0,164,4348.0
2255.0,170,4396.0
2260.0,161,4525.0
2265.0,180,4726.0
2270.0,178,4852.0
2275.0,176,4724.0
2280.0,182,4469.0
2285.0,149,3846.0
2290.0,113,2995.0
2295.0,86,2553.0
2300.0,96,2501.0
2305.0,107,2438.0
2310.0,133,2697.0
2315.0,165,3224.0
2320.0,183,3735.0
2325.0,179,4279.0
2330.0,178,4526.0
2335.0,167,4442.0
2340.0,147,4087.0
2345.0,126,3969.0
2350.0,137,3830.0
2355.0,149,3959.0
2360.0,134,4133.0
2365.0,170,4472.0
2370.0,173,4689.0
2375.0,191,4786.0
2380.0,183,5135.0
2385.0,180,5354.0
2390.0,169,5549.0
2395.0,172,5264.0
2400.0,149,5061.0
2405.0,134,4790.0
2410.0,143,4381.0
2415.0,155,4368.0
2420.0,158,4270.0
2425.0,136,4366.0
2430.0,127,4237.0
2435.0,130,3857.0
2440.0,121,3535.0
2445.0,102,3304.0
2450.0,114,3189.0
2455.0,136,2975.0
2460.0,137,2795.0
2465.0,143,2880.0
2470.0,147,3098.0
2475.0,153,3317.0
2480.0,170,3674.0
2485.0,199,4320.0
2490.0,196,4697.0
2495.0,177,4675.0
2500.0,163,4725.0
2505.0,139,4707.0
2510.0,142,4582.0
2515.0,157,4783.0
2520.0,156,4986.0
2525.0,159,4813.0
2530.0,156,4697.0
2535.0,162,4677.0
2540.0,167,4852.0
2545.0,175,4742.0
2550.0,176,4334.0
2555.0,181,3957.0
2560.0,160,3917.0
2565.0,174,3945.0
2570.0,196,4323.0
2575.0,198,4615.0
2580.0,180,4428.0
2585.0,133,3989.0
2590.0,122,3586.0
2595.0,127,3386.0
2600.0,127,3095.0
2605.0,136,2861.0
2610.0,141,2771.0
2615.0,139,2841.0
2620.0,136,2823.0
2625.0,121,2636.0
2630.0,121,2401.0
2635.0,135,2509.0
2640.0,152,2700.0
2645.0,174,3041.0
2650.0,181,3288.0
2655.0,169,3288.0
2660.0,148,3351.0
2665.0,124,3428.0
2670.0,132,3355.0
2675.0,142,3228.0
2680.0,139,3491.0
2685.0,148,3598.0
2690.0,153,3591.0
2695.0,152,3679.0
2700.0,152,3710.0
2705.0,141,3444.0
2710.0,118,3091.0
2715.0,128,2983.0
2720.0,168,3398.0
2725.0,185,3796.0
2730.0,170,3820.0
2735.0,139,3435.0
2740.0,122,3212.0
2745.0,126,2946.0
2750.0,133,2772.0
2755.0,133,2718.0
2760.0,107,2673.0
2765.0,99,2426.0
2770.0,108,2189.0
2775.0,127,2039.0
2780.0,139,2149.0
2785.0,145,2444.0
2790.0,146,2657.0
2795.0,161,2886.0
2800.0,147,2851.0
2805.0,141,2759.0
2810.0,140,2973.0
2815.0,142,3285.0
2820.0,149,3530.0
2825.0,167,4108.0
2830.0,186,4724.0
2835.0,164,4823.0
2840.0,131,4228.0
2845.0,113,3709.0
2850.0,102,3227.0
2855.0,110,2802.0
2860.0,103,2700.0
2865.0,125,2898.0
2870.0,131,3122.0
2875.0,138,3207.0
2880.0,149,3364.0
2885.0,154,3578.0
2890.0,164,3949.0
2895.0,159,4146.0
2900.0,149,4144.0
2905.0,136,3761.0
2910.0,124,3546.0
2915.0,137,3585.0
2920.0,145,3486.0
2925.0,132,3482.0
2930.0,139,3714.0
2935.0,138,3860.0
2940.0,116,3684.0
2945.0,120,3379.0
2950.0,138,3702.0
2955.0,152,4087.0
2960.0,143,4078.0
2965.0,116,3563.0
2970.0,104,3009.0
2975.0,110,2693.0
2980.0,125,2649.0
2985.0,130,2542.0
2990.0,144,2540.0
2995.0,141,2693.0
3000.0,156,2851.0
3005.0,166,3072.0
3010.0,138,3311.0
3015.0,161,3735.0
3020.0,163,3931.0
3025.0,136,3628.0
3030.0,113,3409.0
3035.0,125,3481.0
3040.0,109,3349.0
3045.0,103,3053.0
3050.0,110,2850.0
3055.0,106,2749.0
3060.0,113,2626.0
3065.0,120,2341.0
3070.0,110,2334.0
3075.0,112,2242.0
3080.0,116,2274.0
3085.0,115,2096.0
3090.0,112,1958.0
3095.0,96,1764.0
3100.0,100,1656.0
3105.0,117,1778.0
3110.0,121,2068.0
3115.0,120,2287.0
3120.0,112,2326.0
3125.0,110,2538.0
3130.0,135,2748.0
3135.0,154,2987.0
3140.0,149,3074.0
3145.0,143,3184.0
3150.0,157,3472.0
3155.0,173,3872.0
3160.0,158,4099.0
3165.0,150,3990.0
3170.0,121,3794.0
3175.0,99,3598.0
3180.0,97,3418.0
3185.0,111,3377.0
3190.0,115,3367.0
3195.0,128,3376.0
3200.0,139,3340.0
3205.0,129,3035.0
3210.0,104,2573.0
3215.0,105,2074.0
3220.0,112,1873.0
3225.0,122,1955.0
3230.0,144,2179.0
3235.0,159,2644.0
3240.0,167,3020.0
3245.0,151,3263.0
3250.0,141,3226.0
3255.0,142,3115.0
3260.0,164,3150.0
3265.0,152,3522.0
3270.0,148,3629.0
3275.0,140,3551.0
3280.0,105,3222.0
3285.0,107,2983.0
3290.0,130,3205.0
3295.0,144,3428.0
3300.0,137,3549.0
3305.0,133,3411.0
3310.0,134,3524.0
3315.0,150,3720.0
3320.0,163,3912.0
3325.0,148,3837.0
3330.0,133,3381.0
3335.0,115,2834.0
3340.0,115,2592.0
3345.0,113,2560.0
3350.0,105,2455.0
3355.0,96,2341.0
3360.0,99,2318.0
3365.0,108,2242.0
3370.0,86,1924.0
3375.0,85,1433.0
3380.0,83,1197.0
3385.0,83,1169.0
3390.0,101,1182.0
3395.0,98,1356.0
3400.0,115,1569.0
3405.0,121,1951.0
3410.0,115,2018.0
3415.0,120,2012.0
3420.0,97,2117.0
3425.0,110,2136.0
3430.0,125,2335.0
3435.0,146,2646.0
3440.0,144,2905.0
3445.0,151,3121.0
3450.0,145,3228.0
3455.0,121,3117.0
3460.0,106,2618.0
3465.0,83,2253.0
3470.0,87,1850.0
3475.0,84,1690.0
3480.0,104,1755.0
3485.0,108,1877.0
3490.0,85,1799.0
3495.0,82,1691.0
3500.0,107,1769.0
3505.0,114,1721.0
3510.0,113,1772.0
3515.0,109,1748.0
3520.0,98,1801.0
3525.0,98,1792.0
3530.0,112,2083.0
3535.0,121,2317.0
3540.0,118,2354.0
3545.0,97,2094.0
3550.0,106,2152.0
3555.0,119,2167.0
3560.0,115,2146.0
