step_time,total_stopped,total_wait_time
305.0,56,4616.0
310.0,102,3889.0
315.0,119,2646.0
320.0,128,2795.0
325.0,128,3391.0
330.0,136,3970.0
335.0,145,4618.0
340.0,154,5305.0
345.0,169,6064.0
350.0,179,6937.0
355.0,124,6080.0
360.0,77,3745.0
365.0,66,1769.0
370.0,78,1713.0
375.0,82,1893.0
380.0,86,2161.0
385.0,95,2452.0
390.0,100,2724.0
395.0,113,2854.0
400.0,127,3063.0
405.0,104,2521.0
410.0,109,1839.0
415.0,119,1888.0
420.0,119,2205.0
425.0,121,2541.0
430.0,118,2744.0
435.0,134,2973.0
440.0,136,3293.0
445.0,125,3265.0
450.0,125,3120.0
455.0,122,2992.0
460.0,125,2882.0
465.0,128,2995.0
470.0,133,3082.0
475.0,130,2908.0
480.0,122,2725.0
485.0,116,2602.0
490.0,128,2588.0
495.0,148,2907.0
500.0,161,3364.0
505.0,150,3588.0
510.0,142,3769.0
515.0,143,3986.0
520.0,123,3869.0
525.0,114,3217.0
530.0,113,2809.0
535.0,125,2855.0
540.0,133,3079.0
545.0,138,3359.0
550.0,149,3552.0
555.0,143,3699.0
560.0,130,3782.0
565.0,134,3735.0
570.0,131,3666.0
575.0,129,3740.0
580.0,139,3821.0
585.0,151,3817.0
590.0,165,3800.0
595.0,171,3657.0
600.0,152,3757.0
605.0,141,3616.0
610.0,148,3483.0
615.0,159,3472.0
620.0,163,3617.0
625.0,164,3771.0
630.0,172,4019.0
635.0,182,4352.0
640.0,180,4472.0
645.0,179,4438.0
650.0,168,4379.0
655.0,156,4465.0
660.0,178,4477.0
665.0,210,4808.0
670.0,213,5244.0
675.0,202,5492.0
680.0,190,5509.0
685.0,171,5443.0
690.0,147,4878.0
695.0,122,4012.0
700.0,135,3229.0
705.0,160,3208.0
710.0,184,3733.0
715.0,221,4392.0
720.0,232,5051.0
725.0,210,5409.0
730.0,185,5473.0
735.0,181,5849.0
740.0,184,6093.0
745.0,190,6070.0
750.0,194,5823.0
755.0,176,5399.0
760.0,176,5039.0
765.0,177,4984.0
770.0,178,4734.0
775.0,182,4813.0
780.0,199,5344.0
785.0,219,5909.0
790.0,224,6103.0
795.0,204,5836.0
800.0,187,5637.0
805.0,192,5413.0
810.0,190,5252.0
815.0,192,5116.0
820.0,201,5163.0
825.0,204,5532.0
830.0,211,5940.0
835.0,233,6256.0
840.0,262,6461.0
845.0,276,6937.0
850.0,280,7365.0
855.0,273,7581.0
860.0,255,7263.0
865.0,235,6883.0
870.0,210,6553.0
875.0,193,6168.0
880.0,192,5901.0
885.0,189,5674.0
890.0,183,5221.0
895.0,180,4970.0
900.0,179,4893.0
905.0,181,4778.0
910.0,184,4722.0
915.0,192,4730.0
920.0,200,4620.0
925.0,205,4525.0
930.0,199,4626.0
935.0,190,4708.0
940.0,174,4631.0
945.0,161,4389.0
950.0,197,4561.0
955.0,218,4950.0
960.0,210,5161.0
965.0,210,5280.0
970.0,195,5530.0
975.0,181,5698.0
980.0,184,5802.0
985.0,179,5670.0
990.0,166,5235.0
995.0,171,4877.0
1000.0,170,4707.0
1005.0,165,4748.0
1010.0,171,4419.0
1015.0,176,4182.0
1020.0,175,3902.0
1025.0,190,3831.0
1030.0,207,4039.0
1035.0,182,4356.0
1040.0,150,3962.0
1045.0,114,3409.0
1050.0,110,2887.0
1055.0,130,2804.0
1060.0,141,2773.0
1065.0,143,2878.0
1070.0,157,2967.0
1075.0,158,2971.0
1080.0,166,3040.0
1085.0,171,3173.0
1090.0,165,3357.0
1095.0,164,3934.0
1100.0,159,4327.0
1105.0,156,4392.0
1110.0,152,4299.0
1115.0,178,4481.0
1120.0,196,4605.0
1125.0,194,4614.0
1130.0,210,4643.0
1135.0,221,4829.0
1140.0,223,5213.0
1145.0,219,5427.0
1150.0,181,5146.0
1155.0,146,4472.0
1160.0,133,3717.0
1165.0,124,3379.0
1170.0,129,3420.0
1175.0,172,3813.0
1180.0,207,4478.0
1185.0,218,5022.0
1190.0,227,5578.0
1195.0,227,6117.0
1200.0,212,6536.0
1205.0,210,6616.0
1210.0,213,6964.0
1215.0,204,6915.0
1220.0,179,6412.0
1225.0,152,5398.0
1230.0,135,4393.0
1235.0,131,3879.0
1240.0,132,3357.0
1245.0,164,3314.0
1250.0,185,3815.0
1255.0,202,4468.0
1260.0,227,5094.0
1265.0,216,5393.0
1270.0,184,5069.0
1275.0,173,4910.0
1280.0,187,5018.0
1285.0,180,5384.0
1290.0,171,5348.0
1295.0,185,5174.0
1300.0,174,5283.0
1305.0,175,5360.0
1310.0,201,5417.0
1315.0,207,5746.0
1320.0,185,5891.0
1325.0,177,6093.0
1330.0,173,6005.0
1335.0,165,5747.0
1340.0,142,5187.0
1345.0,167,5100.0
1350.0,197,4832.0
1355.0,204,4598.0
1360.0,198,4848.0
1365.0,210,5268.0
1370.0,214,5713.0
1375.0,226,6147.0
1380.0,200,6150.0
1385.0,183,5551.0
1390.0,164,4794.0
1395.0,158,4184.0
1400.0,163,4181.0
1405.0,184,4382.0
1410.0,200,4886.0
1415.0,225,5460.0
1420.0,216,5774.0
1425.0,203,5791.0
1430.0,183,5440.0
1435.0,176,5070.0
1440.0,187,4649.0
1445.0,194,4719.0
1450.0,188,4911.0
1455.0,187,4996.0
1460.0,198,4940.0
1465.0,189,5211.0
1470.0,181,5296.0
1475.0,182,5502.0
1480.0,156,5396.0
1485.0,144,4773.0
1490.0,148,4177.0
1495.0,149,4241.0
1500.0,161,4232.0
1505.0,165,4083.0
1510.0,179,4322.0
1515.0,188,4813.0
1520.0,197,5182.0
1525.0,196,5525.0
1530.0,187,5408.0
1535.0,153,5105.0
1540.0,141,4544.0
1545.0,144,4312.0
1550.0,153,4232.0
1555.0,168,4386.0
1560.0,190,4667.0
1565.0,196,4871.0
1570.0,193,5197.0
1575.0,173,5565.0
1580.0,148,5496.0
1585.0,130,5251.0
1590.0,145,5041.0
1595.0,160,5234.0
1600.0,177,5540.0
1605.0,170,5766.0
1610.0,168,5890.0
1615.0,169,6070.0
1620.0,161,6123.0
1625.0,131,5492.0
1630.0,113,4623.0
1635.0,113,3753.0
1640.0,136,3092.0
1645.0,146,3087.0
1650.0,158,3014.0
1655.0,170,3405.0
1660.0,163,3739.0
1665.0,164,4049.0
1670.0,167,4308.0
1675.0,191,4549.0
1680.0,186,4649.0
1685.0,176,4764.0
1690.0,175,4860.0
1695.0,180,4867.0
1700.0,175,4902.0
1705.0,167,4874.0
1710.0,162,4916.0
1715.0,167,4804.0
1720.0,174,4282.0
1725.0,173,4115.0
1730.0,161,3790.0
1735.0,145,3323.0
1740.0,147,3249.0
1745.0,160,3379.0
1750.0,163,3572.0
1755.0,181,3910.0
1760.0,195,4303.0
1765.0,193,4697.0
1770.0,208,5257.0
1775.0,225,5682.0
1780.0,226,6102.0
1785.0,201,6168.0
1790.0,182,6082.0
1795.0,181,5760.0
1800.0,176,5277.0
1805.0,179,4851.0
1810.0,176,4668.0
1815.0,173,4455.0
1820.0,174,4604.0
1825.0,185,4685.0
1830.0,193,4731.0
1835.0,211,4890.0
1840.0,187,5014.0
1845.0,148,4548.0
1850.0,126,4018.0
1855.0,139,3758.0
1860.0,162,3921.0
1865.0,171,4284.0
1870.0,180,4335.0
1875.0,191,4487.0
1880.0,205,4778.0
1885.0,189,4940.0
1890.0,167,4585.0
1895.0,136,4218.0
1900.0,131,3700.0
1905.0,133,3351.0
1910.0,169,3398.0
1915.0,199,3698.0
1920.0,209,3972.0
1925.0,221,4410.0
1930.0,226,4750.0
1935.0,199,4807.0
1940.0,174,4511.0
1945.0,172,4325.0
1950.0,174,4540.0
1955.0,187,4804.0
1960.0,187,5236.0
1965.0,200,5482.0
1970.0,206,5562.0
1975.0,210,5614.0
1980.0,206,5735.0
1985.0,210,5584.0
1990.0,210,5301.0
1995.0,180,4884.0
2000.0,158,4200.0
2005.0,166,3827.0
2010.0,191,4100.0
2015.0,204,4651.0
2020.0,209,5310.0
2025.0,201,5677.0
2030.0,195,5654.0
2035.0,184,5478.0
2040.0,167,5373.0
2045.0,155,4926.0
2050.0,145,4667.0
2055.0,141,4447.0
2060.0,163,4380.0
2065.0,185,4788.0
2070.0,208,5378.0
2075.0,228,6064.0
2080.0,250,6703.0
2085.0,240,7388.0
2090.0,207,7431.0
2095.0,172,6910.0
2100.0,146,5998.0
2105.0,143,5230.0
2110.0,157,4883.0
2115.0,168,4771.0
2120.0,187,4613.0
2125.0,191,4470.0
2130.0,181,4572.0
2135.0,175,4702.0
2140.0,163,4612.0
2145.0,171,4486.0
2150.0,178,4564.0
2155.0,176,4814.0
2160.0,187,4957.0
2165.0,201,5318.0
2170.0,213,5628.0
2175.0,214,5930.0
2180.0,209,6054.0
2185.0,170,5664.0
2190.0,158,4815.0
2195.0,157,4474.0
2200.0,168,4343.0
2205.0,189,4452.0
2210.0,204,4683.0
2215.0,190,4696.0
2220.0,191,4943.0
2225.0,192,5333.0
2230.0,176,5482.0
2235.0,156,5054.0
2240.0,140,4375.0
2245.0,139,4300.0
2250.0,164,4403.0
2255.0,190,4756.0
2260.0,216,5307.0
2265.0,215,5757.0
2270.0,224,6067.0
2275.0,233,6403.0
2280.0,247,6791.0
2285.0,215,6721.0
2290.0,183,6572.0
2295.0,174,6442.0
2300.0,193,6155.0
2305.0,176,6022.0
2310.0,178,5838.0
2315.0,182,5820.0
2320.0,171,5750.0
2325.0,167,5434.0
2330.0,166,5298.0
2335.0,161,5093.0
2340.0,157,4866.0
2345.0,172,5000.0
2350.0,195,5473.0
2355.0,203,5896.0
2360.0,227,6364.0
2365.0,226,6502.0
2370.0,217,6418.0
2375.0,196,6384.0
2380.0,176,6034.0
2385.0,126,5113.0
2390.0,99,4039.0
2395.0,107,3309.0
2400.0,121,2774.0
2405.0,154,2868.0
2410.0,183,3094.0
2415.0,197,3438.0
2420.0,201,3768.0
2425.0,191,3951.0
2430.0,165,3760.0
2435.0,146,3593.0
2440.0,134,3580.0
2445.0,142,3456.0
2450.0,157,3454.0
2455.0,165,3489.0
2460.0,168,3683.0
2465.0,158,3850.0
2470.0,151,3813.0
2475.0,154,3658.0
2480.0,152,3439.0
2485.0,136,3140.0
2490.0,139,3049.0
2495.0,158,3275.0
2500.0,181,3786.0
2505.0,200,4370.0
2510.0,225,5061.0
2515.0,225,5567.0
2520.0,223,5646.0
2525.0,193,5662.0
2530.0,160,5386.0
2535.0,158,5095.0
2540.0,146,4721.0
2545.0,133,4032.0
2550.0,124,3586.0
2555.0,131,3612.0
2560.0,167,3946.0
2565.0,165,4419.0
2570.0,170,4855.0
2575.0,161,5021.0
2580.0,117,4387.0
2585.0,100,3193.0
2590.0,103,2664.0
2595.0,113,2562.0
2600.0,126,2762.0
2605.0,133,3087.0
2610.0,134,3306.0
2615.0,121,3389.0
2620.0,137,3596.0
2625.0,145,3711.0
2630.0,148,3636.0
2635.0,141,3382.0
2640.0,119,3082.0
2645.0,112,2824.0
2650.0,123,2602.0
2655.0,122,2601.0
2660.0,125,2448.0
2665.0,123,2251.0
2670.0,143,2487.0
2675.0,148,2981.0
2680.0,169,3569.0
2685.0,179,4253.0
2690.0,186,4736.0
2695.0,161,4662.0
2700.0,153,4417.0
2705.0,129,4100.0
2710.0,104,3330.0
2715.0,83,2582.0
2720.0,72,2116.0
2725.0,83,2047.0
2730.0,103,2055.0
2735.0,110,2173.0
2740.0,115,2310.0
2745.0,114,2325.0
2750.0,124,2478.0
2755.0,120,2650.0
2760.0,123,2780.0
2765.0,123,2874.0
2770.0,132,3013.0
2775.0,139,3022.0
2780.0,128,2964.0
2785.0,130,2981.0
2790.0,110,2844.0
2795.0,109,2520.0
2800.0,110,2374.0
2805.0,98,2427.0
2810.0,118,2459.0
2815.0,126,2406.0
2820.0,130,2655.0
2825.0,139,2705.0
2830.0,136,2774.0
2835.0,137,2898.0
2840.0,96,2580.0
2845.0,74,2015.0
2850.0,87,1770.0
2855.0,107,2044.0
2860.0,123,2268.0
2865.0,130,2454.0
2870.0,143,2871.0
2875.0,135,3175.0
2880.0,148,3433.0
2885.0,150,3662.0
2890.0,127,3506.0
2895.0,102,3185.0
2900.0,91,2898.0
2905.0,89,2562.0
2910.0,100,2436.0
2915.0,103,2322.0
2920.0,95,2159.0
2925.0,112,2175.0
2930.0,113,2370.0
2935.0,128,2735.0
2940.0,141,3137.0
2945.0,126,3296.0
2950.0,117,3117.0
2955.0,136,3022.0
2960.0,141,3340.0
2965.0,145,3561.0
2970.0,131,3608.0
2975.0,116,3485.0
2980.0,125,3269.0
2985.0,136,3385.0
2990.0,147,3663.0
2995.0,162,3944.0
3000.0,174,4139.0
3005.0,169,4170.0
3010.0,149,3940.0
3015.0,139,3388.0
3020.0,146,3199.0
3025.0,133,3107.0
3030.0,125,2942.0
3035.0,121,2908.0
3040.0,111,2751.0
3045.0,126,2699.0
3050.0,122,2718.0
3055.0,121,2697.0
3060.0,144,2619.0
3065.0,126,2456.0
3070.0,122,2279.0
3075.0,126,2229.0
3080.0,134,2418.0
3085.0,112,2542.0
3090.0,123,2645.0
3095.0,130,2771.0
3100.0,110,2662.0
3105.0,98,2478.0
3110.0,94,2274.0
3115.0,85,2022.0
3120.0,99,1964.0
3125.0,111,2106.0
3130.0,125,2425.0
3135.0,120,2569.0
3140.0,121,2711.0
3145.0,107,2639.0
3150.0,92,2327.0
3155.0,88,2012.0
3160.0,109,1868.0
3165.0,123,1992.0
3170.0,141,2330.0
3175.0,144,2760.0
3180.0,135,3045.0
3185.0,110,2923.0
3190.0,81,2473.0
3195.0,81,2114.0
3200.0,87,2070.0
3205.0,93,2168.0
3210.0,107,2340.0
3215.0,116,2509.0
3220.0,126,2790.0
3225.0,127,3084.0
3230.0,130,3424.0
3235.0,117,3433.0
3240.0,96,3154.0
3245.0,75,2457.0
3250.0,74,2071.0
3255.0,83,1840.0
3260.0,78,1741.0
3265.0,98,1607.0
3270.0,105,1711.0
3275.0,112,1852.0
3280.0,122,2173.0
3285.0,105,2184.0
3290.0,77,1853.0
3295.0,52,1374.0
3300.0,66,1277.0
3305.0,93,1323.0
3310.0,123,1597.0
3315.0,123,1901.0
3320.0,133,2180.0
3325.0,145,2571.0
3330.0,130,2878.0
3335.0,120,2939.0
3340.0,108,2908.0
3345.0,103,2824.0
