step_time,total_stopped,total_wait_time
305.0,62,4629.0
310.0,105,3999.0
315.0,120,2715.0
320.0,128,2867.0
325.0,134,3525.0
330.0,143,4218.0
335.0,149,4951.0
340.0,147,5497.0
345.0,149,5865.0
350.0,148,6011.0
355.0,105,4877.0
360.0,86,2768.0
365.0,86,1552.0
370.0,101,1763.0
375.0,114,2237.0
380.0,129,2857.0
385.0,141,3544.0
390.0,139,4072.0
395.0,131,4332.0
400.0,124,4204.0
405.0,102,3277.0
410.0,100,2527.0
415.0,99,2367.0
420.0,90,2404.0
425.0,100,2434.0
430.0,109,2622.0
435.0,111,2852.0
440.0,109,2985.0
445.0,104,2914.0
450.0,110,2679.0
455.0,112,2625.0
460.0,129,2712.0
465.0,137,3031.0
470.0,138,3223.0
475.0,141,3235.0
480.0,161,3252.0
485.0,172,3624.0
490.0,166,4160.0
495.0,166,4544.0
500.0,165,4642.0
505.0,153,4539.0
510.0,122,4127.0
515.0,97,3725.0
520.0,104,3401.0
525.0,121,3361.0
530.0,142,3425.0
535.0,160,3329.0
540.0,153,3412.0
545.0,136,3366.0
550.0,129,3290.0
555.0,141,3488.0
560.0,166,3886.0
565.0,185,4192.0
570.0,168,4205.0
575.0,164,4186.0
580.0,163,4444.0
585.0,161,4457.0
590.0,162,4478.0
595.0,169,4597.0
600.0,173,4647.0
605.0,167,4452.0
610.0,161,4294.0
615.0,149,4348.0
620.0,130,4266.0
625.0,135,4085.0
630.0,135,4103.0
635.0,131,4184.0
640.0,149,4246.0
645.0,157,4138.0
650.0,152,3895.0
655.0,156,3707.0
660.0,154,3696.0
665.0,165,3801.0
670.0,164,4051.0
675.0,169,4446.0
680.0,188,4825.0
685.0,175,4921.0
690.0,157,4672.0
695.0,155,4550.0
700.0,171,4623.0
705.0,196,4845.0
710.0,182,4818.0
715.0,166,4746.0
720.0,151,4692.0
725.0,145,4455.0
730.0,151,4075.0
735.0,155,3922.0
740.0,181,4235.0
745.0,216,4734.0
750.0,239,5334.0
755.0,238,5789.0
760.0,242,6319.0
765.0,240,7019.0
770.0,238,7670.0
775.0,239,7811.0
780.0,203,7470.0
785.0,188,6791.0
790.0,154,6112.0
795.0,138,5710.0
800.0,154,5437.0
805.0,160,5250.0
810.0,148,4964.0
815.0,169,4689.0
820.0,183,4524.0
825.0,194,4579.0
830.0,180,4745.0
835.0,184,4834.0
840.0,174,4673.0
845.0,159,4376.0
850.0,157,4225.0
855.0,161,4140.0
860.0,143,3774.0
865.0,128,3293.0
870.0,123,3018.0
875.0,132,2953.0
880.0,122,2745.0
885.0,118,2536.0
890.0,118,2251.0
895.0,132,2224.0
900.0,146,2461.0
905.0,149,2629.0
910.0,169,2851.0
915.0,191,3296.0
920.0,201,3857.0
925.0,187,4121.0
930.0,175,4290.0
935.0,172,4347.0
940.0,164,4436.0
945.0,156,4430.0
950.0,158,4428.0
955.0,158,4439.0
960.0,148,4388.0
965.0,145,4291.0
970.0,140,4228.0
975.0,133,3880.0
980.0,137,3760.0
985.0,161,3672.0
990.0,180,3589.0
995.0,170,3421.0
1000.0,167,3621.0
1005.0,150,3627.0
1010.0,137,3457.0
1015.0,142,3174.0
1020.0,142,3361.0
1025.0,141,3455.0
1030.0,136,3293.0
1035.0,130,3154.0
1040.0,132,3030.0
1045.0,146,3071.0
1050.0,154,3141.0
1055.0,174,3324.0
1060.0,176,3487.0
1065.0,174,3607.0
1070.0,170,3704.0
1075.0,140,3813.0
1080.0,160,3767.0
1085.0,164,3930.0
1090.0,143,3624.0
1095.0,119,3209.0
1100.0,124,2662.0
1105.0,119,2581.0
1110.0,113,2330.0
1115.0,111,2087.0
1120.0,103,1986.0
1125.0,112,1902.0
1130.0,132,1935.0
1135.0,136,2118.0
1140.0,120,2101.0
1145.0,105,1908.0
1150.0,100,1808.0
1155.0,117,1791.0
1160.0,110,1850.0
1165.0,110,1836.0
