,step,total_stopped
0,305.0,143
1,310.0,151
2,315.0,106
3,320.0,97
4,325.0,79
5,330.0,70
6,335.0,98
7,340.0,107
8,345.0,94
9,350.0,82
10,355.0,74
11,360.0,99
12,365.0,120
13,370.0,106
14,375.0,84
15,380.0,73
16,385.0,66
17,390.0,94
18,395.0,106
19,400.0,97
20,405.0,77
21,410.0,88
22,415.0,105
23,420.0,113
24,425.0,102
25,430.0,98
26,435.0,99
27,440.0,86
28,445.0,85
29,450.0,101
30,455.0,94
31,460.0,60
32,465.0,82
33,470.0,105
34,475.0,118
35,480.0,105
36,485.0,83
37,490.0,88
38,495.0,118
39,500.0,107
40,505.0,96
41,510.0,94
42,515.0,113
43,520.0,124
44,525.0,120
45,530.0,90
46,535.0,93
47,540.0,127
48,545.0,148
49,550.0,128
50,555.0,120
51,560.0,94
52,565.0,110
53,570.0,101
54,575.0,102
55,580.0,95
56,585.0,112
57,590.0,141
58,595.0,129
59,600.0,123
60,605.0,110
61,610.0,125
62,615.0,157
63,620.0,177
64,625.0,171
65,630.0,140
66,635.0,121
67,640.0,143
68,645.0,167
69,650.0,158
70,655.0,136
71,660.0,122
72,665.0,124
73,670.0,117
74,675.0,137
75,680.0,150
76,685.0,124
77,690.0,125
78,695.0,113
79,700.0,107
80,705.0,111
81,710.0,124
82,715.0,106
83,720.0,106
84,725.0,120
85,730.0,121
86,735.0,120
87,740.0,116
88,745.0,135
89,750.0,139
90,755.0,113
91,760.0,117
92,765.0,116
93,770.0,140
94,775.0,127
95,780.0,117
96,785.0,108
97,790.0,119
98,795.0,115
99,800.0,148
100,805.0,152
101,810.0,156
102,815.0,137
103,820.0,131
104,825.0,151
105,830.0,164
106,835.0,139
107,840.0,137
108,845.0,148
109,850.0,155
110,855.0,154
111,860.0,160
112,865.0,177
113,870.0,158
114,875.0,158
115,880.0,133
116,885.0,144
117,890.0,150
118,895.0,134
119,900.0,130
120,905.0,109
121,910.0,113
122,915.0,138
123,920.0,134
124,925.0,124
125,930.0,124
126,935.0,108
127,940.0,103
128,945.0,122
129,950.0,129
130,955.0,127
131,960.0,157
132,965.0,158
133,970.0,138
134,975.0,129
135,980.0,121
136,985.0,117
137,990.0,133
138,995.0,151
139,1000.0,152
140,1005.0,153
141,1010.0,140
142,1015.0,119
143,1020.0,127
144,1025.0,108
145,1030.0,139
146,1035.0,166
147,1040.0,138
148,1045.0,120
149,1050.0,118
150,1055.0,107
151,1060.0,110
152,1065.0,119
153,1070.0,125
154,1075.0,133
155,1080.0,158
156,1085.0,164
157,1090.0,145
158,1095.0,131
159,1100.0,135
160,1105.0,140
161,1110.0,138
162,1115.0,155
163,1120.0,160
164,1125.0,165
165,1130.0,178
166,1135.0,198
167,1140.0,202
168,1145.0,170
169,1150.0,142
170,1155.0,145
171,1160.0,156
172,1165.0,166
173,1170.0,155
174,1175.0,157
175,1180.0,174
176,1185.0,177
177,1190.0,164
178,1195.0,166
179,1200.0,174
180,1205.0,149
181,1210.0,138
182,1215.0,150
183,1220.0,157
184,1225.0,168
185,1230.0,183
186,1235.0,189
187,1240.0,190
188,1245.0,189
189,1250.0,178
190,1255.0,164
191,1260.0,158
192,1265.0,138
193,1270.0,149
194,1275.0,160
195,1280.0,151
196,1285.0,118
197,1290.0,139
198,1295.0,169
199,1300.0,178
200,1305.0,170
201,1310.0,144
202,1315.0,119
203,1320.0,132
204,1325.0,144
205,1330.0,146
206,1335.0,146
207,1340.0,131
208,1345.0,126
209,1350.0,128
210,1355.0,114
211,1360.0,139
212,1365.0,165
213,1370.0,147
214,1375.0,120
215,1380.0,100
216,1385.0,120
217,1390.0,150
218,1395.0,164
219,1400.0,154
220,1405.0,146
221,1410.0,158
222,1415.0,182
223,1420.0,178
224,1425.0,165
225,1430.0,159
226,1435.0,153
227,1440.0,144
228,1445.0,138
229,1450.0,119
230,1455.0,102
231,1460.0,127
232,1465.0,150
233,1470.0,164
234,1475.0,170
235,1480.0,162
236,1485.0,126
237,1490.0,114
238,1495.0,112
239,1500.0,155
240,1505.0,165
241,1510.0,172
242,1515.0,145
243,1520.0,121
244,1525.0,122
245,1530.0,129
246,1535.0,153
247,1540.0,181
248,1545.0,201
249,1550.0,202
250,1555.0,174
251,1560.0,155
252,1565.0,152
253,1570.0,159
254,1575.0,168
255,1580.0,170
256,1585.0,157
257,1590.0,138
258,1595.0,157
259,1600.0,155
260,1605.0,146
261,1610.0,134
262,1615.0,122
263,1620.0,123
264,1625.0,118
265,1630.0,105
266,1635.0,102
267,1640.0,121
268,1645.0,135
269,1650.0,151
270,1655.0,180
271,1660.0,166
272,1665.0,140
273,1670.0,160
274,1675.0,164
275,1680.0,170
276,1685.0,184
277,1690.0,167
278,1695.0,170
279,1700.0,176
280,1705.0,172
281,1710.0,162
282,1715.0,178
283,1720.0,171
284,1725.0,187
285,1730.0,194
286,1735.0,180
287,1740.0,155
288,1745.0,159
289,1750.0,184
290,1755.0,185
291,1760.0,174
292,1765.0,159
293,1770.0,160
294,1775.0,182
295,1780.0,170
296,1785.0,153
297,1790.0,132
298,1795.0,145
299,1800.0,169
300,1805.0,173
301,1810.0,152
302,1815.0,169
303,1820.0,170
304,1825.0,154
305,1830.0,146
306,1835.0,121
307,1840.0,107
308,1845.0,127
309,1850.0,128
310,1855.0,135
311,1860.0,134
312,1865.0,133
313,1870.0,142
314,1875.0,119
315,1880.0,128
316,1885.0,139
317,1890.0,126
318,1895.0,121
319,1900.0,130
320,1905.0,126
321,1910.0,141
322,1915.0,126
323,1920.0,123
324,1925.0,106
325,1930.0,119
326,1935.0,117
327,1940.0,126
328,1945.0,122
329,1950.0,149
330,1955.0,157
331,1960.0,138
332,1965.0,117
333,1970.0,113
334,1975.0,125
335,1980.0,142
336,1985.0,135
337,1990.0,152
338,1995.0,173
339,2000.0,160
340,2005.0,145
341,2010.0,130
342,2015.0,125
343,2020.0,131
344,2025.0,140
345,2030.0,148
346,2035.0,167
347,2040.0,150
348,2045.0,141
349,2050.0,143
350,2055.0,140
351,2060.0,154
352,2065.0,141
353,2070.0,127
354,2075.0,117
355,2080.0,121
356,2085.0,115
357,2090.0,109
358,2095.0,125
359,2100.0,110
360,2105.0,122
361,2110.0,147
362,2115.0,182
363,2120.0,210
364,2125.0,191
365,2130.0,173
366,2135.0,166
367,2140.0,168
368,2145.0,174
369,2150.0,145
370,2155.0,137
371,2160.0,123
372,2165.0,128
373,2170.0,146
374,2175.0,152
375,2180.0,144
376,2185.0,135
377,2190.0,131
378,2195.0,112
379,2200.0,105
380,2205.0,115
381,2210.0,127
382,2215.0,117
383,2220.0,101
384,2225.0,94
385,2230.0,113
386,2235.0,124
387,2240.0,119
388,2245.0,118
389,2250.0,113
390,2255.0,122
391,2260.0,123
392,2265.0,96
393,2270.0,109
394,2275.0,122
395,2280.0,145
396,2285.0,143
397,2290.0,142
398,2295.0,146
399,2300.0,172
400,2305.0,166
401,2310.0,163
402,2315.0,172
403,2320.0,187
404,2325.0,187
405,2330.0,171
406,2335.0,154
407,2340.0,140
408,2345.0,165
409,2350.0,170
410,2355.0,183
411,2360.0,173
412,2365.0,173
413,2370.0,168
414,2375.0,157
415,2380.0,172
416,2385.0,157
417,2390.0,152
418,2395.0,147
419,2400.0,165
420,2405.0,176
421,2410.0,159
422,2415.0,159
423,2420.0,141
424,2425.0,152
425,2430.0,149
426,2435.0,137
427,2440.0,148
428,2445.0,163
429,2450.0,154
430,2455.0,150
431,2460.0,174
432,2465.0,173
433,2470.0,177
434,2475.0,177
435,2480.0,187
436,2485.0,175
437,2490.0,157
438,2495.0,134
439,2500.0,132
440,2505.0,127
441,2510.0,152
442,2515.0,167
443,2520.0,183
444,2525.0,186
445,2530.0,170
446,2535.0,166
447,2540.0,161
448,2545.0,189
449,2550.0,195
450,2555.0,176
451,2560.0,160
452,2565.0,139
453,2570.0,164
454,2575.0,164
455,2580.0,152
456,2585.0,165
457,2590.0,164
458,2595.0,155
459,2600.0,151
460,2605.0,156
461,2610.0,156
462,2615.0,159
463,2620.0,143
464,2625.0,130
465,2630.0,144
466,2635.0,146
467,2640.0,159
468,2645.0,168
469,2650.0,148
470,2655.0,141
471,2660.0,137
472,2665.0,145
473,2670.0,162
474,2675.0,143
475,2680.0,121
476,2685.0,121
477,2690.0,115
478,2695.0,136
479,2700.0,129
480,2705.0,125
481,2710.0,107
482,2715.0,114
483,2720.0,126
484,2725.0,130
485,2730.0,136
486,2735.0,143
487,2740.0,133
488,2745.0,139
489,2750.0,139
490,2755.0,132
491,2760.0,154
492,2765.0,180
493,2770.0,186
494,2775.0,160
495,2780.0,147
496,2785.0,153
497,2790.0,156
498,2795.0,166
499,2800.0,185
500,2805.0,177
501,2810.0,178
502,2815.0,163
503,2820.0,152
504,2825.0,162
505,2830.0,131
506,2835.0,147
507,2840.0,141
508,2845.0,169
509,2850.0,149
510,2855.0,153
511,2860.0,144
512,2865.0,153
513,2870.0,173
514,2875.0,165
515,2880.0,170
516,2885.0,163
517,2890.0,157
518,2895.0,150
519,2900.0,131
520,2905.0,97
521,2910.0,106
522,2915.0,116
523,2920.0,126
524,2925.0,168
525,2930.0,177
526,2935.0,179
527,2940.0,170
528,2945.0,156
529,2950.0,155
530,2955.0,138
531,2960.0,158
532,2965.0,185
533,2970.0,205
534,2975.0,190
535,2980.0,180
536,2985.0,170
537,2990.0,184
538,2995.0,186
539,3000.0,151
540,3005.0,125
541,3010.0,150
542,3015.0,182
543,3020.0,181
544,3025.0,165
545,3030.0,181
546,3035.0,183
547,3040.0,176
548,3045.0,151
549,3050.0,164
550,3055.0,173
551,3060.0,177
552,3065.0,163
553,3070.0,165
554,3075.0,157
555,3080.0,138
556,3085.0,147
557,3090.0,176
558,3095.0,198
559,3100.0,179
560,3105.0,162
561,3110.0,146
562,3115.0,139
563,3120.0,160
564,3125.0,157
565,3130.0,153
566,3135.0,145
567,3140.0,161
568,3145.0,153
569,3150.0,140
570,3155.0,132
