,buffer_size,step_time,total_stopped,total_wait_time
0,0,305.0,143,5704.0
1,0,310.0,151,5883.0
2,0,315.0,106,5915.0
3,0,320.0,97,5931.0
4,0,325.0,79,5598.0
5,0,330.0,70,5528.0
6,0,335.0,98,5706.0
7,0,340.0,113,6024.0
8,0,345.0,88,5644.0
9,0,350.0,58,5129.0
10,0,355.0,48,4312.0
11,0,360.0,60,4139.0
12,0,365.0,66,3617.0
13,0,370.0,76,3487.0
14,0,375.0,71,3538.0
15,0,380.0,68,3605.0
16,0,385.0,66,3835.0
17,0,390.0,66,3561.0
18,0,395.0,78,3650.0
19,0,400.0,74,3577.0
20,0,405.0,58,3451.0
21,0,410.0,77,3494.0
22,0,415.0,101,3920.0
23,0,420.0,109,4241.0
24,0,425.0,89,4338.0
25,0,430.0,94,4182.0
26,0,435.0,103,4307.0
27,0,440.0,97,4188.0
28,0,445.0,60,4298.0
29,0,450.0,83,4507.0
30,0,455.0,87,4681.0
31,0,460.0,94,4668.0
32,0,465.0,96,4913.0
33,0,470.0,82,4963.0
34,0,475.0,77,4807.0
35,0,480.0,88,5037.0
36,0,485.0,84,5191.0
37,0,490.0,80,5316.0
38,0,495.0,74,5363.0
39,0,500.0,82,5352.0
40,0,505.0,122,5226.0
41,0,510.0,130,5216.0
42,0,515.0,100,5552.0
43,0,520.0,90,5975.0
44,0,525.0,88,5858.0
45,0,530.0,100,5559.0
46,0,535.0,119,5149.0
47,0,540.0,105,5393.0
48,0,545.0,71,5441.0
49,0,550.0,86,5709.0
50,0,555.0,115,6174.0
51,0,560.0,131,6231.0
52,0,565.0,122,6207.0
53,0,570.0,101,6290.0
54,0,575.0,109,6110.0
55,0,580.0,115,6573.0
56,0,585.0,108,7046.0
57,0,590.0,100,7031.0
58,0,595.0,76,6606.0
59,0,600.0,83,6379.0
60,0,605.0,96,6100.0
61,0,610.0,105,6225.0
62,0,615.0,94,6095.0
63,0,620.0,107,5682.0
64,0,625.0,112,5736.0
65,0,630.0,124,6454.0
66,0,635.0,115,6695.0
67,0,640.0,98,6451.0
68,0,645.0,99,6263.0
69,0,650.0,102,6070.0
70,0,655.0,113,6016.0
71,0,660.0,129,6055.0
72,0,665.0,130,6372.0
73,0,670.0,130,6804.0
74,0,675.0,134,6990.0
75,0,680.0,146,7056.0
76,0,685.0,145,7121.0
77,0,690.0,140,7003.0
78,0,695.0,140,7091.0
79,0,700.0,120,7450.0
80,0,705.0,119,8076.0
81,0,710.0,123,8145.0
82,1,715.0,124,8114.0
83,2,720.0,131,7921.0
84,3,725.0,118,8062.0
85,3,730.0,103,8120.0
86,3,735.0,110,8044.0
87,3,740.0,92,8208.0
88,3,745.0,99,7916.0
89,3,750.0,104,7648.0
90,3,755.0,95,7474.0
91,3,760.0,96,7250.0
92,3,765.0,102,7435.0
93,3,770.0,86,7457.0
94,3,775.0,86,7368.0
95,3,780.0,84,7361.0
96,3,785.0,78,7535.0
97,3,790.0,98,7518.0
98,3,795.0,117,7203.0
99,3,800.0,148,7242.0
100,3,805.0,137,6979.0
101,3,810.0,109,7371.0
102,3,815.0,108,7499.0
103,3,820.0,108,7241.0
104,3,825.0,126,7134.0
105,3,830.0,138,7575.0
106,3,835.0,146,8146.0
107,3,840.0,149,8438.0
108,3,845.0,157,8567.0
109,3,850.0,154,8735.0
110,3,855.0,134,9213.0
111,3,860.0,126,9463.0
112,3,865.0,114,9469.0
113,3,870.0,132,9276.0
114,3,875.0,148,9371.0
115,3,880.0,160,9507.0
116,3,885.0,128,9720.0
117,3,890.0,109,9779.0
118,3,895.0,107,9458.0
119,3,900.0,128,8894.0
120,3,905.0,125,8493.0
121,3,910.0,109,8489.0
122,3,915.0,122,8532.0
123,3,920.0,133,8455.0
124,3,925.0,125,8322.0
125,3,930.0,98,8228.0
126,3,935.0,105,8061.0
127,3,940.0,100,8074.0
128,3,945.0,101,7777.0
129,3,950.0,116,7799.0
130,3,955.0,134,8149.0
131,3,960.0,143,8753.0
132,3,965.0,141,8778.0
133,3,970.0,123,8484.0
134,3,975.0,103,7855.0
135,3,980.0,105,7335.0
136,3,985.0,103,7192.0
137,3,990.0,94,7083.0
138,3,995.0,116,6994.0
139,3,1000.0,129,7094.0
140,3,1005.0,138,6920.0
141,3,1010.0,146,7265.0
142,3,1015.0,136,7477.0
143,3,1020.0,148,7634.0
144,3,1025.0,129,7400.0
145,3,1030.0,114,7158.0
146,3,1035.0,109,7184.0
147,3,1040.0,103,7425.0
148,3,1045.0,111,7403.0
149,3,1050.0,130,7374.0
150,3,1055.0,141,7413.0
151,3,1060.0,152,7462.0
152,3,1065.0,129,7451.0
153,3,1070.0,114,7524.0
154,3,1075.0,99,7701.0
155,3,1080.0,101,7711.0
156,3,1085.0,109,7642.0
157,3,1090.0,111,7523.0
158,3,1095.0,99,7710.0
159,3,1100.0,104,7849.0
160,3,1105.0,100,7573.0
161,3,1110.0,120,7549.0
162,3,1115.0,126,7496.0
163,3,1120.0,106,7369.0
164,3,1125.0,93,6884.0
165,3,1130.0,84,6337.0
166,3,1135.0,71,6389.0
167,3,1140.0,79,6646.0
168,3,1145.0,113,6717.0
169,3,1150.0,138,6614.0
170,3,1155.0,132,6481.0
171,3,1160.0,122,6763.0
172,3,1165.0,101,6740.0
173,3,1170.0,88,6678.0
174,3,1175.0,102,6506.0
175,3,1180.0,107,6552.0
176,3,1185.0,94,6477.0
177,3,1190.0,113,6291.0
178,3,1195.0,106,6397.0
179,3,1200.0,121,6694.0
180,3,1205.0,126,7110.0
181,3,1210.0,117,7441.0
182,3,1215.0,121,7878.0
183,3,1220.0,133,8119.0
184,3,1225.0,139,7943.0
185,3,1230.0,155,7831.0
186,3,1235.0,163,8420.0
187,3,1240.0,140,8681.0
188,3,1245.0,102,8456.0
189,5,1250.0,94,8785.0
190,5,1255.0,99,8604.0
191,5,1260.0,132,8612.0
192,5,1265.0,132,8853.0
193,5,1270.0,120,9049.0
194,6,1275.0,139,9049.0
195,8,1280.0,154,9108.0
196,8,1285.0,155,9608.0
197,8,1290.0,137,9607.0
198,8,1295.0,130,9839.0
199,8,1300.0,137,9864.0
200,8,1305.0,122,9551.0
201,8,1310.0,115,9047.0
202,8,1315.0,121,8704.0
203,8,1320.0,126,8757.0
204,8,1325.0,120,8529.0
205,8,1330.0,99,8803.0
206,8,1335.0,98,8812.0
207,8,1340.0,121,8780.0
208,8,1345.0,130,8499.0
209,8,1350.0,134,8187.0
210,8,1355.0,112,8044.0
211,8,1360.0,101,7505.0
212,8,1365.0,109,7598.0
213,8,1370.0,118,7478.0
214,8,1375.0,110,7291.0
215,8,1380.0,106,7284.0
216,8,1385.0,95,7395.0
217,8,1390.0,107,7784.0
218,8,1395.0,109,7746.0
219,8,1400.0,102,7089.0
220,8,1405.0,122,6219.0
221,8,1410.0,103,6416.0
222,8,1415.0,119,6925.0
223,8,1420.0,139,6974.0
224,8,1425.0,136,6789.0
225,8,1430.0,134,6759.0
226,8,1435.0,127,7334.0
227,8,1440.0,130,7636.0
228,8,1445.0,132,7566.0
229,8,1450.0,145,7738.0
230,8,1455.0,132,7876.0
231,8,1460.0,136,8505.0
232,8,1465.0,127,8675.0
233,8,1470.0,104,8442.0
234,8,1475.0,125,8517.0
235,8,1480.0,121,8127.0
236,8,1485.0,116,7692.0
237,8,1490.0,139,7566.0
238,8,1495.0,157,7807.0
239,8,1500.0,172,7989.0
240,8,1505.0,149,8196.0
241,8,1510.0,127,8705.0
242,8,1515.0,114,9100.0
243,8,1520.0,120,9228.0
244,8,1525.0,120,9365.0
245,8,1530.0,131,9349.0
246,8,1535.0,140,9496.0
247,8,1540.0,128,9170.0
248,8,1545.0,129,9160.0
249,8,1550.0,155,9115.0
250,8,1555.0,165,9530.0
251,8,1560.0,168,9902.0
252,8,1565.0,172,10115.0
253,8,1570.0,187,9744.0
254,8,1575.0,170,9928.0
255,8,1580.0,154,10166.0
256,8,1585.0,143,9825.0
257,8,1590.0,110,9343.0
258,8,1595.0,80,8771.0
259,8,1600.0,91,8211.0
260,8,1605.0,112,8132.0
261,8,1610.0,129,8171.0
262,8,1615.0,128,8057.0
263,8,1620.0,120,8184.0
264,8,1625.0,112,8219.0
265,8,1630.0,119,7813.0
266,8,1635.0,124,7693.0
267,8,1640.0,108,7670.0
268,8,1645.0,90,7634.0
269,8,1650.0,109,7779.0
270,8,1655.0,129,7872.0
271,8,1660.0,123,7507.0
272,8,1665.0,112,6853.0
273,8,1670.0,117,6908.0
274,8,1675.0,113,7135.0
275,8,1680.0,129,7269.0
276,8,1685.0,123,7373.0
277,8,1690.0,121,6880.0
278,8,1695.0,113,7107.0
279,8,1700.0,93,7095.0
280,8,1705.0,88,6725.0
281,8,1710.0,111,6854.0
282,8,1715.0,121,6873.0
283,8,1720.0,144,7041.0
284,8,1725.0,142,6998.0
285,8,1730.0,128,6842.0
286,8,1735.0,120,7386.0
287,8,1740.0,135,7811.0
288,8,1745.0,160,8197.0
289,8,1750.0,167,8346.0
290,8,1755.0,164,8408.0
291,8,1760.0,156,8525.0
292,8,1765.0,165,9017.0
293,8,1770.0,167,9732.0
294,8,1775.0,162,10057.0
295,8,1780.0,143,10218.0
296,8,1785.0,151,10028.0
297,8,1790.0,152,9998.0
298,8,1795.0,151,9950.0
299,8,1800.0,143,10050.0
300,8,1805.0,168,10484.0
301,8,1810.0,168,10874.0
302,8,1815.0,174,11119.0
303,8,1820.0,172,11200.0
304,8,1825.0,191,11749.0
305,8,1830.0,213,12222.0
306,10,1835.0,210,12880.0
307,12,1840.0,198,13352.0
308,13,1845.0,204,13188.0
309,13,1850.0,198,13336.0
310,13,1855.0,176,12860.0
311,14,1860.0,147,12374.0
312,14,1865.0,147,12434.0
313,16,1870.0,148,12349.0
314,17,1875.0,153,11743.0
315,19,1880.0,135,11210.0
316,21,1885.0,134,10930.0
317,21,1890.0,158,10565.0
318,21,1895.0,166,10381.0
319,21,1900.0,153,10151.0
320,21,1905.0,136,10042.0
321,23,1910.0,128,10102.0
322,25,1915.0,135,9884.0
323,25,1920.0,127,10252.0
324,25,1925.0,128,10623.0
325,25,1930.0,133,10485.0
326,25,1935.0,121,10466.0
327,26,1940.0,145,10483.0
328,26,1945.0,162,10218.0
329,26,1950.0,134,10531.0
330,26,1955.0,109,10318.0
331,26,1960.0,107,9544.0
332,26,1965.0,124,8936.0
333,26,1970.0,132,8496.0
334,26,1975.0,143,8429.0
335,26,1980.0,157,8304.0
336,26,1985.0,165,8625.0
337,26,1990.0,145,8692.0
338,26,1995.0,116,8966.0
339,26,2000.0,118,9004.0
340,26,2005.0,121,8757.0
341,26,2010.0,114,8410.0
342,26,2015.0,115,8026.0
343,26,2020.0,106,8177.0
344,26,2025.0,115,8598.0
345,26,2030.0,120,8548.0
346,26,2035.0,133,8418.0
347,26,2040.0,114,8223.0
348,26,2045.0,112,7983.0
349,26,2050.0,101,8023.0
350,26,2055.0,104,7934.0
351,26,2060.0,138,7748.0
352,26,2065.0,140,7596.0
353,26,2070.0,138,7755.0
354,26,2075.0,124,7985.0
355,26,2080.0,126,8111.0
356,26,2085.0,117,8351.0
357,26,2090.0,118,8455.0
358,26,2095.0,132,8194.0
359,26,2100.0,135,8119.0
360,26,2105.0,125,8409.0
361,26,2110.0,135,8770.0
362,26,2115.0,143,8735.0
363,26,2120.0,150,8397.0
364,26,2125.0,134,8531.0
365,26,2130.0,144,8497.0
366,26,2135.0,131,8401.0
367,26,2140.0,139,8227.0
368,26,2145.0,157,8211.0
369,26,2150.0,140,8152.0
370,26,2155.0,142,8240.0
371,26,2160.0,143,8081.0
372,26,2165.0,148,8429.0
373,26,2170.0,138,8994.0
374,26,2175.0,156,9497.0
375,26,2180.0,153,9404.0
376,26,2185.0,142,8968.0
377,26,2190.0,137,8466.0
378,26,2195.0,142,8281.0
379,26,2200.0,142,7752.0
380,26,2205.0,115,7741.0
381,26,2210.0,103,8096.0
382,26,2215.0,97,8008.0
383,26,2220.0,117,7489.0
384,26,2225.0,135,7565.0
385,26,2230.0,120,7783.0
386,26,2235.0,114,7959.0
387,26,2240.0,124,8274.0
388,26,2245.0,130,8254.0
389,26,2250.0,147,8296.0
390,26,2255.0,154,8380.0
391,26,2260.0,140,8562.0
392,26,2265.0,137,8696.0
393,26,2270.0,137,8630.0
394,26,2275.0,128,8472.0
395,26,2280.0,115,7804.0
396,26,2285.0,122,8253.0
397,26,2290.0,125,8626.0
398,26,2295.0,117,8188.0
399,26,2300.0,121,7857.0
400,26,2305.0,144,7847.0
401,26,2310.0,171,8233.0
402,26,2315.0,179,8625.0
403,26,2320.0,175,8602.0
404,26,2325.0,168,8245.0
405,26,2330.0,153,8464.0
406,26,2335.0,144,8939.0
407,26,2340.0,139,9233.0
408,26,2345.0,130,8782.0
