buffer_size,step_time,total_stopped,total_wait_time
0,305.0,143,5704.0
0,310.0,151,5883.0
0,315.0,150,6096.0
0,320.0,155,6460.0
0,325.0,167,6987.0
0,330.0,180,7815.0
0,335.0,194,8754.0
0,340.0,205,9756.0
0,345.0,202,10780.0
0,350.0,200,11503.0
0,355.0,141,11195.0
0,360.0,110,10775.0
0,365.0,101,9977.0
4,370.0,83,9679.0
4,375.0,93,10100.0
4,380.0,115,9703.0
4,385.0,153,10817.0
4,390.0,187,11333.0
5,395.0,214,11309.0
7,400.0,221,11390.0
8,405.0,193,11281.0
10,410.0,165,11475.0
12,415.0,148,11933.0
13,420.0,129,11944.0
15,425.0,130,12070.0
17,430.0,140,11788.0
17,435.0,169,12459.0
18,440.0,197,12971.0
18,445.0,212,13503.0
18,450.0,206,14103.0
18,455.0,167,14591.0
18,460.0,136,14789.0
18,465.0,118,15146.0
18,470.0,117,15394.0
18,475.0,131,15726.0
18,480.0,164,16231.0
18,485.0,191,16367.0
18,490.0,198,16468.0
18,495.0,224,16818.0
18,500.0,238,17336.0
18,505.0,221,17585.0
18,510.0,198,17028.0
18,515.0,186,16533.0
18,520.0,194,15573.0
18,525.0,208,14663.0
18,530.0,227,13675.0
18,535.0,223,14033.0
18,540.0,197,14476.0
18,545.0,171,14987.0
18,550.0,163,14888.0
18,555.0,173,14965.0
18,560.0,181,15341.0
18,565.0,182,15573.0
18,570.0,180,16058.0
18,575.0,182,16313.0
18,580.0,198,17047.0
18,585.0,180,16698.0
18,590.0,152,15868.0
18,595.0,118,14732.0
18,600.0,110,13741.0
18,605.0,125,12825.0
18,610.0,153,12218.0
18,615.0,182,12075.0
18,620.0,188,11862.0
18,625.0,193,11552.0
18,630.0,188,11675.0
19,635.0,174,12302.0
21,640.0,166,12811.0
21,645.0,159,13310.0
21,650.0,164,13650.0
21,655.0,179,13614.0
21,660.0,178,13623.0
21,665.0,177,13759.0
22,670.0,184,13668.0
23,675.0,188,14222.0
25,680.0,207,15082.0
27,685.0,226,16052.0
28,690.0,239,16448.0
30,695.0,242,17483.0
32,700.0,235,18463.0
33,705.0,220,19021.0
35,710.0,203,19192.0
37,715.0,182,19298.0
37,720.0,164,18863.0
37,725.0,163,18206.0
37,730.0,175,18199.0
37,735.0,202,18604.0
37,740.0,206,18931.0
37,745.0,220,18834.0
37,750.0,218,18233.0
37,755.0,210,17960.0
37,760.0,187,17818.0
37,765.0,182,18046.0
37,770.0,211,18211.0
37,775.0,238,18827.0
37,780.0,259,19808.0
37,785.0,270,20652.0
38,790.0,254,20981.0
39,795.0,222,21302.0
39,800.0,201,21944.0
39,805.0,211,22089.0
39,810.0,197,21864.0
39,815.0,179,21762.0
39,820.0,175,20842.0
39,825.0,183,21219.0
39,830.0,199,21861.0
39,835.0,198,22684.0
39,840.0,203,22972.0
39,845.0,223,23271.0
39,850.0,246,24444.0
39,855.0,267,25404.0
39,860.0,276,26336.0
39,865.0,264,26497.0
39,870.0,256,25819.0
39,875.0,246,24779.0
39,880.0,230,23016.0
39,885.0,222,21887.0
39,890.0,223,20630.0
41,895.0,241,20010.0
41,900.0,237,20435.0
41,905.0,234,20708.0
41,910.0,230,20787.0
41,915.0,239,20630.0
41,920.0,252,21035.0
41,925.0,256,21899.0
41,930.0,234,23117.0
41,935.0,227,24015.0
41,940.0,231,23783.0
41,945.0,251,24221.0
41,950.0,255,24357.0
42,955.0,222,24162.0
43,960.0,186,23262.0
45,965.0,174,22302.0
47,970.0,185,21422.0
47,975.0,225,21714.0
47,980.0,280,21638.0
47,985.0,294,21852.0
47,990.0,301,22438.0
47,995.0,319,23460.0
47,1000.0,304,24663.0
47,1005.0,288,24414.0
47,1010.0,271,23750.0
47,1015.0,249,22603.0
47,1020.0,246,22309.0
47,1025.0,269,22120.0
47,1030.0,284,22262.0
47,1035.0,279,22549.0
49,1040.0,263,22427.0
51,1045.0,252,22368.0
52,1050.0,230,22522.0
56,1055.0,187,22246.0
