buffer_size,step_time,total_stopped,total_wait_time
0,305.0,143,5704.0
0,310.0,151,5810.0
0,315.0,106,5288.0
0,320.0,97,3821.0
0,325.0,79,2922.0
0,330.0,70,2537.0
0,335.0,98,2691.0
0,340.0,113,2693.0
0,345.0,88,2066.0
0,350.0,58,1428.0
0,355.0,48,982.0
0,360.0,59,914.0
0,365.0,66,983.0
0,370.0,77,1091.0
0,375.0,70,1029.0
0,380.0,47,807.0
0,385.0,47,696.0
0,390.0,74,775.0
0,395.0,73,987.0
0,400.0,79,1065.0
0,405.0,70,1052.0
0,410.0,74,1051.0
0,415.0,79,1163.0
0,420.0,57,1047.0
0,425.0,63,969.0
0,430.0,67,890.0
0,435.0,71,1005.0
0,440.0,78,1024.0
0,445.0,76,1042.0
0,450.0,88,1073.0
0,455.0,66,1092.0
0,460.0,68,934.0
0,465.0,71,1084.0
0,470.0,92,1256.0
0,475.0,128,1621.0
0,480.0,134,2036.0
0,485.0,98,1897.0
0,490.0,60,1412.0
0,495.0,52,1159.0
0,500.0,69,1096.0
0,505.0,111,1281.0
0,510.0,115,1479.0
0,515.0,99,1533.0
0,520.0,79,1400.0
0,525.0,96,1339.0
0,530.0,91,1356.0
0,535.0,88,1343.0
0,540.0,116,1539.0
0,545.0,134,1990.0
0,550.0,129,2377.0
0,555.0,150,2723.0
0,560.0,146,3070.0
0,565.0,139,3057.0
0,570.0,112,3026.0
0,575.0,105,2995.0
0,580.0,129,3110.0
0,585.0,120,3111.0
0,590.0,118,2922.0
0,595.0,104,2840.0
0,600.0,112,2757.0
0,605.0,118,2665.0
0,610.0,103,2705.0
0,615.0,118,2708.0
0,620.0,142,3099.0
0,625.0,160,3529.0
0,630.0,162,4020.0
0,635.0,157,4120.0
0,640.0,155,3888.0
0,645.0,158,3998.0
0,650.0,151,4353.0
0,655.0,166,4593.0
0,660.0,168,4933.0
0,665.0,172,5328.0
0,670.0,178,5588.0
0,675.0,163,5634.0
0,680.0,153,5345.0
0,685.0,141,5055.0
0,690.0,151,5281.0
0,695.0,150,5345.0
0,700.0,130,4771.0
0,705.0,112,4031.0
0,710.0,129,3560.0
0,715.0,132,3371.0
0,720.0,130,3115.0
0,725.0,127,3025.0
0,730.0,131,3044.0
0,735.0,138,3046.0
0,740.0,142,3131.0
0,745.0,150,3314.0
0,750.0,153,3712.0
0,755.0,140,3625.0
0,760.0,141,3485.0
0,765.0,139,3565.0
0,770.0,135,3758.0
0,775.0,126,3710.0
0,780.0,134,3469.0
0,785.0,140,3691.0
0,790.0,140,3771.0
0,795.0,137,3492.0
0,800.0,127,3217.0
0,805.0,143,3071.0
0,810.0,144,2979.0
0,815.0,158,3054.0
0,820.0,158,3298.0
0,825.0,143,3299.0
0,830.0,151,3208.0
0,835.0,160,3255.0
0,840.0,147,3308.0
0,845.0,132,3030.0
0,850.0,122,2986.0
0,855.0,128,2843.0
0,860.0,124,2747.0
0,865.0,124,2660.0
0,870.0,117,2527.0
0,875.0,127,2329.0
0,880.0,131,2129.0
0,885.0,138,2150.0
0,890.0,125,2296.0
0,895.0,131,2317.0
0,900.0,125,2546.0
0,905.0,139,2679.0
0,910.0,130,2723.0
0,915.0,132,2619.0
0,920.0,123,2563.0
0,925.0,131,2677.0
0,930.0,144,2822.0
0,935.0,158,2998.0
0,940.0,159,3241.0
0,945.0,146,3252.0
0,950.0,159,3100.0
0,955.0,136,3132.0
0,960.0,111,2878.0
0,965.0,124,2886.0
0,970.0,125,2949.0
0,975.0,121,3079.0
0,980.0,149,3208.0
0,985.0,158,3519.0
0,990.0,142,3490.0
0,995.0,133,3204.0
0,1000.0,120,3006.0
0,1005.0,116,2944.0
0,1010.0,123,3085.0
0,1015.0,146,3434.0
0,1020.0,163,3865.0
0,1025.0,156,4169.0
0,1030.0,136,4125.0
0,1035.0,122,3860.0
0,1040.0,122,3236.0
0,1045.0,123,2914.0
0,1050.0,134,2736.0
0,1055.0,134,2712.0
0,1060.0,131,2652.0
0,1065.0,142,2682.0
0,1070.0,135,2775.0
0,1075.0,152,2970.0
0,1080.0,153,3381.0
0,1085.0,151,3384.0
0,1090.0,147,3239.0
0,1095.0,147,3503.0
0,1100.0,165,4043.0
0,1105.0,178,4409.0
0,1110.0,157,4444.0
0,1115.0,131,4438.0
0,1120.0,123,4157.0
0,1125.0,116,4241.0
0,1130.0,147,4372.0
0,1135.0,161,4435.0
0,1140.0,133,3939.0
0,1145.0,123,3327.0
0,1150.0,102,3196.0
0,1155.0,115,3374.0
0,1160.0,149,3704.0
0,1165.0,189,4001.0
0,1170.0,193,4283.0
0,1175.0,182,4386.0
0,1180.0,164,4174.0
0,1185.0,132,4044.0
2,1190.0,129,3765.0
3,1195.0,127,3386.0
3,1200.0,138,3152.0
3,1205.0,156,3232.0
3,1210.0,174,3470.0
3,1215.0,181,3791.0
3,1220.0,171,4094.0
3,1225.0,195,4498.0
3,1230.0,171,4666.0
3,1235.0,152,4698.0
3,1240.0,139,4467.0
3,1245.0,139,4394.0
3,1250.0,149,4597.0
3,1255.0,158,5051.0
3,1260.0,165,5311.0
3,1265.0,134,4842.0
3,1270.0,115,4464.0
3,1275.0,123,4460.0
3,1280.0,150,4736.0
3,1285.0,156,4875.0
3,1290.0,149,4546.0
3,1295.0,152,3857.0
3,1300.0,145,3929.0
3,1305.0,155,4344.0
3,1310.0,158,4552.0
3,1315.0,156,4227.0
3,1320.0,132,3788.0
3,1325.0,141,3892.0
3,1330.0,158,4213.0
3,1335.0,162,4517.0
3,1340.0,155,4478.0
3,1345.0,176,4393.0
3,1350.0,194,4672.0
3,1355.0,179,4673.0
3,1360.0,149,4312.0
3,1365.0,145,4655.0
3,1370.0,149,4946.0
3,1375.0,143,4753.0
3,1380.0,123,4117.0
3,1385.0,116,3763.0
3,1390.0,150,3875.0
3,1395.0,179,4298.0
3,1400.0,191,4536.0
3,1405.0,181,4689.0
3,1410.0,172,4480.0
3,1415.0,165,4495.0
3,1420.0,194,4400.0
3,1425.0,200,4773.0
3,1430.0,182,4878.0
3,1435.0,167,4989.0
3,1440.0,162,4972.0
3,1445.0,162,4813.0
3,1450.0,154,4835.0
3,1455.0,153,4602.0
3,1460.0,147,4589.0
3,1465.0,152,4733.0
3,1470.0,162,4913.0
3,1475.0,168,5012.0
3,1480.0,164,4927.0
3,1485.0,169,4904.0
3,1490.0,180,4976.0
3,1495.0,190,5041.0
3,1500.0,220,5078.0
3,1505.0,206,5525.0
3,1510.0,179,5420.0
3,1515.0,163,5034.0
3,1520.0,162,4700.0
3,1525.0,156,4436.0
3,1530.0,157,4535.0
3,1535.0,187,4867.0
3,1540.0,194,5216.0
3,1545.0,219,5282.0
3,1550.0,227,5355.0
3,1555.0,223,5699.0
3,1560.0,169,5968.0
3,1565.0,163,5521.0
3,1570.0,178,5537.0
3,1575.0,179,5394.0
3,1580.0,186,5208.0
3,1585.0,190,5424.0
3,1590.0,188,5545.0
3,1595.0,162,5600.0
3,1600.0,147,5199.0
4,1605.0,164,5251.0
5,1610.0,186,5248.0
5,1615.0,169,5152.0
5,1620.0,151,4927.0
5,1625.0,155,4712.0
5,1630.0,163,4298.0
5,1635.0,154,4139.0
5,1640.0,160,4244.0
5,1645.0,187,4347.0
5,1650.0,196,4468.0
5,1655.0,179,4659.0
5,1660.0,160,4476.0
5,1665.0,138,4143.0
5,1670.0,143,3830.0
5,1675.0,156,3975.0
5,1680.0,157,4165.0
5,1685.0,147,4100.0
5,1690.0,147,4131.0
5,1695.0,112,3923.0
5,1700.0,109,3464.0
5,1705.0,129,3586.0
5,1710.0,124,3631.0
5,1715.0,132,3622.0
5,1720.0,147,3545.0
5,1725.0,134,3571.0
5,1730.0,121,3447.0
5,1735.0,127,3392.0
5,1740.0,155,3681.0
5,1745.0,171,4087.0
5,1750.0,165,4279.0
5,1755.0,186,4343.0
5,1760.0,204,4731.0
5,1765.0,205,4885.0
5,1770.0,180,4854.0
5,1775.0,162,5062.0
5,1780.0,158,5197.0
5,1785.0,166,5161.0
5,1790.0,180,5554.0
7,1795.0,195,6018.0
8,1800.0,194,6545.0
10,1805.0,214,7127.0
10,1810.0,187,7449.0
10,1815.0,168,7553.0
11,1820.0,160,7457.0
13,1825.0,150,7047.0
14,1830.0,133,6299.0
15,1835.0,118,5612.0
17,1840.0,136,5239.0
18,1845.0,146,5399.0
20,1850.0,163,5656.0
22,1855.0,162,5928.0
23,1860.0,153,5894.0
23,1865.0,163,5818.0
25,1870.0,175,5807.0
26,1875.0,160,5313.0
28,1880.0,150,4895.0
30,1885.0,132,4488.0
30,1890.0,134,4353.0
30,1895.0,136,4205.0
30,1900.0,148,4082.0
30,1905.0,145,4047.0
30,1910.0,144,3857.0
30,1915.0,139,3602.0
30,1920.0,144,3372.0
30,1925.0,144,3205.0
30,1930.0,149,3041.0
30,1935.0,148,3268.0
30,1940.0,142,3518.0
30,1945.0,149,3838.0
30,1950.0,154,4150.0
30,1955.0,189,4489.0
30,1960.0,212,5079.0
30,1965.0,221,5614.0
30,1970.0,178,5838.0
30,1975.0,142,5441.0
30,1980.0,123,5645.0
30,1985.0,123,5692.0
30,1990.0,117,5431.0
30,1995.0,110,5107.0
30,2000.0,117,4816.0
30,2005.0,119,4856.0
30,2010.0,118,4469.0
30,2015.0,121,4082.0
30,2020.0,114,4103.0
30,2025.0,117,4074.0
30,2030.0,93,3745.0
30,2035.0,102,3272.0
30,2040.0,140,2948.0
30,2045.0,130,2950.0
30,2050.0,122,2814.0
30,2055.0,148,2975.0
30,2060.0,160,3120.0
30,2065.0,149,3034.0
30,2070.0,107,2817.0
30,2075.0,127,2633.0
30,2080.0,147,2927.0
30,2085.0,150,3048.0
30,2090.0,146,3111.0
30,2095.0,145,3158.0
30,2100.0,140,3428.0
30,2105.0,136,3440.0
30,2110.0,142,3493.0
30,2115.0,141,3465.0
30,2120.0,144,3350.0
30,2125.0,146,3210.0
30,2130.0,170,3292.0
30,2135.0,162,3466.0
30,2140.0,162,3650.0
30,2145.0,156,3740.0
30,2150.0,136,3643.0
