buffer_size,step_time,total_stopped,total_wait_time
0,305.0,143,5704.0
0,310.0,151,5810.0
0,315.0,148,6120.0
0,320.0,151,6359.0
0,325.0,158,6611.0
0,330.0,182,7005.0
0,335.0,197,7733.0
0,340.0,207,8397.0
0,345.0,224,9047.0
0,350.0,238,10151.0
0,355.0,194,9387.0
0,360.0,161,7025.0
0,365.0,143,5271.0
3,370.0,104,4258.0
3,375.0,86,3296.0
3,380.0,104,2518.0
3,385.0,130,2168.0
3,390.0,157,2592.0
3,395.0,190,3476.0
3,400.0,223,4529.0
3,405.0,194,4793.0
3,410.0,175,4553.0
3,415.0,166,4392.0
3,420.0,152,4357.0
3,425.0,133,4366.0
3,430.0,124,4181.0
3,435.0,151,4065.0
3,440.0,181,4257.0
3,445.0,223,4628.0
3,450.0,250,5292.0
3,455.0,233,5581.0
3,460.0,201,5440.0
3,465.0,162,4741.0
3,470.0,134,4459.0
3,475.0,134,4224.0
3,480.0,131,3949.0
3,485.0,150,3658.0
3,490.0,162,3373.0
3,495.0,172,3290.0
3,500.0,172,3463.0
3,505.0,168,3736.0
3,510.0,159,4084.0
3,515.0,160,4604.0
3,520.0,161,4810.0
3,525.0,165,4788.0
3,530.0,183,4615.0
3,535.0,191,4421.0
3,540.0,207,4243.0
3,545.0,216,4403.0
3,550.0,215,5039.0
3,555.0,203,5392.0
3,560.0,158,5392.0
3,565.0,124,4916.0
3,570.0,103,4188.0
3,575.0,118,3402.0
3,580.0,143,2854.0
3,585.0,154,2696.0
3,590.0,184,2801.0
3,595.0,209,3335.0
3,600.0,223,4012.0
3,605.0,211,4586.0
3,610.0,190,4777.0
3,615.0,177,5005.0
3,620.0,174,5093.0
3,625.0,175,5029.0
3,630.0,174,4798.0
3,635.0,160,4465.0
3,640.0,136,4261.0
3,645.0,145,4005.0
3,650.0,171,4252.0
3,655.0,189,4398.0
3,660.0,185,4579.0
3,665.0,171,4569.0
3,670.0,175,4685.0
3,675.0,187,4734.0
3,680.0,199,5061.0
3,685.0,190,5488.0
3,690.0,182,5639.0
3,695.0,165,5324.0
3,700.0,167,4833.0
3,705.0,153,4233.0
3,710.0,149,3876.0
3,715.0,175,3776.0
3,720.0,188,4066.0
3,725.0,185,4509.0
3,730.0,185,4797.0
3,735.0,179,4806.0
3,740.0,161,4623.0
3,745.0,157,4140.0
3,750.0,160,4000.0
3,755.0,164,4121.0
3,760.0,171,4078.0
3,765.0,186,4172.0
3,770.0,216,4675.0
3,775.0,229,5314.0
3,780.0,229,5844.0
3,785.0,218,6195.0
3,790.0,211,5972.0
3,795.0,217,5971.0
3,800.0,221,6174.0
3,805.0,204,6343.0
3,810.0,186,6015.0
3,815.0,160,5418.0
3,820.0,146,4992.0
3,825.0,144,4785.0
3,830.0,153,4364.0
3,835.0,180,4229.0
3,840.0,199,4229.0
3,845.0,205,4482.0
3,850.0,210,4789.0
3,855.0,212,5245.0
3,860.0,197,5367.0
3,865.0,172,5178.0
3,870.0,149,4977.0
3,875.0,144,4762.0
3,880.0,159,4228.0
3,885.0,171,4077.0
3,890.0,164,3950.0
3,895.0,159,4047.0
3,900.0,144,4099.0
3,905.0,126,3935.0
3,910.0,126,3726.0
3,915.0,147,3520.0
3,920.0,180,3767.0
3,925.0,201,4388.0
3,930.0,225,5026.0
3,935.0,220,5570.0
3,940.0,211,5740.0
3,945.0,184,5678.0
3,950.0,180,5466.0
3,955.0,175,5238.0
3,960.0,166,4761.0
3,965.0,164,4490.0
3,970.0,170,4615.0
3,975.0,190,5057.0
3,980.0,190,5321.0
3,985.0,181,5243.0
3,990.0,168,4897.0
3,995.0,153,4393.0
3,1000.0,172,3973.0
3,1005.0,175,3768.0
3,1010.0,179,3857.0
3,1015.0,167,4169.0
3,1020.0,166,4304.0
3,1025.0,174,4409.0
3,1030.0,180,4373.0
3,1035.0,176,4128.0
3,1040.0,165,4159.0
3,1045.0,145,4012.0
3,1050.0,149,3714.0
3,1055.0,145,3479.0
3,1060.0,168,3361.0
3,1065.0,188,3579.0
3,1070.0,204,4058.0
3,1075.0,192,4518.0
3,1080.0,184,4585.0
3,1085.0,184,4596.0
3,1090.0,193,4738.0
3,1095.0,199,5199.0
3,1100.0,195,5450.0
3,1105.0,193,5511.0
3,1110.0,200,5634.0
3,1115.0,208,5685.0
3,1120.0,196,5535.0
3,1125.0,188,5255.0
3,1130.0,155,4855.0
3,1135.0,135,4421.0
3,1140.0,127,4075.0
3,1145.0,150,3991.0
3,1150.0,175,4182.0
3,1155.0,195,4394.0
3,1160.0,214,4824.0
3,1165.0,236,5527.0
3,1170.0,252,6154.0
3,1175.0,245,6445.0
3,1180.0,213,6436.0
3,1185.0,194,6173.0
3,1190.0,189,5982.0
3,1195.0,174,5641.0
3,1200.0,175,5434.0
3,1205.0,177,5095.0
3,1210.0,181,4781.0
3,1215.0,176,4766.0
3,1220.0,180,5037.0
3,1225.0,174,5147.0
3,1230.0,183,5175.0
3,1235.0,184,5116.0
5,1240.0,170,4827.0
6,1245.0,168,4345.0
6,1250.0,180,4159.0
6,1255.0,181,4389.0
6,1260.0,200,4741.0
6,1265.0,212,5163.0
6,1270.0,212,5575.0
6,1275.0,216,5950.0
6,1280.0,224,6137.0
6,1285.0,207,6300.0
6,1290.0,207,6288.0
6,1295.0,199,5904.0
6,1300.0,181,5428.0
6,1305.0,155,4685.0
6,1310.0,140,4073.0
6,1315.0,135,3929.0
6,1320.0,181,4225.0
6,1325.0,221,4677.0
6,1330.0,249,5233.0
6,1335.0,253,5692.0
6,1340.0,229,6024.0
6,1345.0,204,6270.0
6,1350.0,208,6628.0
6,1355.0,178,6436.0
6,1360.0,153,5658.0
6,1365.0,153,4895.0
6,1370.0,142,4196.0
7,1375.0,162,3889.0
6,1380.0,200,3984.0
6,1385.0,230,4445.0
6,1390.0,242,4876.0
6,1395.0,261,5553.0
6,1400.0,283,6344.0
6,1405.0,271,6851.0
6,1410.0,238,6783.0
6,1415.0,202,6617.0
6,1420.0,167,6088.0
6,1425.0,158,5693.0
6,1430.0,184,5532.0
6,1435.0,189,5318.0
6,1440.0,208,5346.0
6,1445.0,227,5621.0
6,1450.0,241,5974.0
6,1455.0,235,6176.0
6,1460.0,225,6403.0
6,1465.0,201,6222.0
6,1470.0,193,6183.0
6,1475.0,199,6186.0
6,1480.0,233,6014.0
6,1485.0,237,5959.0
6,1490.0,235,5957.0
6,1495.0,243,5837.0
6,1500.0,250,5877.0
6,1505.0,254,6321.0
6,1510.0,258,6994.0
6,1515.0,280,7417.0
6,1520.0,257,7394.0
6,1525.0,221,6653.0
6,1530.0,189,5976.0
6,1535.0,200,5653.0
6,1540.0,205,5513.0
6,1545.0,213,5383.0
6,1550.0,210,5260.0
6,1555.0,188,5443.0
6,1560.0,189,5712.0
6,1565.0,197,6143.0
6,1570.0,217,6461.0
6,1575.0,223,6537.0
6,1580.0,218,6371.0
6,1585.0,221,6421.0
6,1590.0,216,6593.0
6,1595.0,195,6332.0
6,1600.0,185,5823.0
6,1605.0,179,5186.0
6,1610.0,179,4973.0
6,1615.0,187,4930.0
6,1620.0,198,4805.0
6,1625.0,198,4911.0
6,1630.0,206,4858.0
6,1635.0,235,5054.0
6,1640.0,252,5715.0
6,1645.0,259,6259.0
6,1650.0,250,6530.0
6,1655.0,242,6973.0
6,1660.0,235,7280.0
6,1665.0,233,7215.0
6,1670.0,215,7100.0
8,1675.0,196,6717.0
9,1680.0,176,6011.0
11,1685.0,150,5440.0
13,1690.0,103,4991.0
13,1695.0,112,4419.0
13,1700.0,136,4219.0
13,1705.0,168,4703.0
13,1710.0,197,5281.0
13,1715.0,226,5898.0
13,1720.0,239,6611.0
13,1725.0,238,7188.0
14,1730.0,242,7416.0
17,1735.0,237,7759.0
18,1740.0,199,7496.0
20,1745.0,165,6666.0
22,1750.0,164,5700.0
23,1755.0,161,5414.0
23,1760.0,165,5306.0
23,1765.0,169,4831.0
23,1770.0,179,4179.0
23,1775.0,200,4090.0
23,1780.0,210,4414.0
23,1785.0,211,4775.0
23,1790.0,192,4916.0
23,1795.0,157,4832.0
23,1800.0,136,4526.0
23,1805.0,141,4311.0
23,1810.0,139,3920.0
23,1815.0,141,3552.0
23,1820.0,140,3139.0
23,1825.0,151,2832.0
23,1830.0,158,2813.0
23,1835.0,168,3094.0
23,1840.0,179,3277.0
23,1845.0,181,3439.0
23,1850.0,179,3764.0
23,1855.0,191,4105.0
23,1860.0,203,4302.0
23,1865.0,200,4569.0
23,1870.0,193,4885.0
23,1875.0,211,5145.0
23,1880.0,212,5715.0
23,1885.0,244,6362.0
23,1890.0,256,7077.0
23,1895.0,231,7355.0
23,1900.0,179,6725.0
23,1905.0,166,5673.0
23,1910.0,156,4927.0
23,1915.0,174,4556.0
23,1920.0,191,4614.0
23,1925.0,199,4613.0
23,1930.0,196,4418.0
23,1935.0,198,4452.0
23,1940.0,174,4499.0
23,1945.0,162,4276.0
23,1950.0,163,3731.0
23,1955.0,174,3823.0
23,1960.0,167,4018.0
23,1965.0,175,4201.0
23,1970.0,175,4329.0
23,1975.0,177,4579.0
23,1980.0,171,4373.0
23,1985.0,178,4278.0
23,1990.0,185,4536.0
23,1995.0,186,4749.0
23,2000.0,182,4840.0
23,2005.0,177,4713.0
23,2010.0,162,4626.0
23,2015.0,184,4649.0
23,2020.0,183,4785.0
23,2025.0,179,4575.0
23,2030.0,187,4456.0
23,2035.0,187,4732.0
23,2040.0,175,5092.0
23,2045.0,181,5084.0
23,2050.0,175,4863.0
23,2055.0,163,4567.0
23,2060.0,143,4133.0
23,2065.0,143,3634.0
23,2070.0,141,3230.0
23,2075.0,151,3335.0
23,2080.0,168,3668.0
23,2085.0,196,4118.0
23,2090.0,219,4745.0
23,2095.0,239,5518.0
23,2100.0,215,5895.0
23,2105.0,199,5815.0
23,2110.0,184,5298.0
23,2115.0,174,5139.0
23,2120.0,178,4893.0
23,2125.0,185,4874.0
23,2130.0,183,4597.0
23,2135.0,174,4472.0
23,2140.0,177,4432.0
23,2145.0,194,4559.0
