,buffer_size,step_time,total_stopped,total_wait_time
0,20,305.0,54,3867.0
1,20,310.0,58,3502.0
2,20,315.0,41,3067.0
3,20,320.0,76,3358.0
4,20,325.0,102,3600.0
5,20,330.0,86,3774.0
6,20,335.0,76,3864.0
7,20,340.0,85,3859.0
8,20,345.0,77,3731.0
9,20,350.0,68,3885.0
10,20,355.0,86,3889.0
11,20,360.0,93,3943.0
12,20,365.0,92,4059.0
13,20,370.0,110,4330.0
14,20,375.0,82,4227.0
15,20,380.0,76,3881.0
16,20,385.0,77,3795.0
17,20,390.0,65,3619.0
18,20,395.0,42,3420.0
19,20,400.0,62,3366.0
20,20,405.0,100,3592.0
21,20,410.0,111,3892.0
22,20,415.0,98,4206.0
23,20,420.0,95,4551.0
24,20,425.0,100,4666.0
25,20,430.0,98,4713.0
26,22,435.0,93,4691.0
27,22,440.0,90,5045.0
28,23,445.0,119,5512.0
29,23,450.0,146,5812.0
30,26,455.0,127,5782.0
31,28,460.0,96,5504.0
32,31,465.0,76,5630.0
33,33,470.0,90,5814.0
34,33,475.0,102,6124.0
35,33,480.0,100,6152.0
36,33,485.0,91,6126.0
37,33,490.0,91,6213.0
38,33,495.0,91,6275.0
39,33,500.0,103,6414.0
40,33,505.0,118,6807.0
41,33,510.0,133,6986.0
42,36,515.0,134,7141.0
43,38,520.0,126,7502.0
44,42,525.0,115,7893.0
45,43,530.0,106,8202.0
46,46,535.0,120,8801.0
47,48,540.0,144,9378.0
48,51,545.0,133,9247.0
49,50,550.0,140,9525.0
50,57,555.0,137,9949.0
51,62,560.0,137,10191.0
52,67,565.0,156,10237.0
53,69,570.0,159,10833.0
54,75,575.0,147,11639.0
55,77,580.0,109,11815.0
56,81,585.0,95,11965.0
57,83,590.0,100,11629.0
58,86,595.0,109,12190.0
59,86,600.0,148,12161.0
60,86,605.0,159,12400.0
61,87,610.0,184,12657.0
62,88,615.0,170,13070.0
63,90,620.0,161,13763.0
64,96,625.0,158,13896.0
65,98,630.0,149,13424.0
66,98,635.0,146,13532.0
67,100,640.0,141,13031.0
68,102,645.0,134,13012.0
69,103,650.0,147,13478.0
70,104,655.0,187,14131.0
71,106,660.0,195,14337.0
72,111,665.0,182,13982.0
73,111,670.0,186,13948.0
74,117,675.0,180,14061.0
75,121,680.0,152,13737.0
76,127,685.0,139,14099.0
77,129,690.0,125,14402.0
78,133,695.0,128,14821.0
79,136,700.0,127,14443.0
80,136,705.0,119,14741.0
81,139,710.0,121,14597.0
82,141,715.0,132,14527.0
83,143,720.0,144,14302.0
84,143,725.0,138,13404.0
85,143,730.0,123,13357.0
86,143,735.0,119,13320.0
87,143,740.0,122,13514.0
88,143,745.0,137,13908.0
89,143,750.0,154,14428.0
90,146,755.0,143,14271.0
91,148,760.0,148,14111.0
92,153,765.0,150,14895.0
93,152,770.0,164,15362.0
94,155,775.0,147,15517.0
95,157,780.0,125,14989.0
96,162,785.0,113,15370.0
97,164,790.0,123,15872.0
98,167,795.0,144,16161.0
99,167,800.0,170,16473.0
100,171,805.0,194,16688.0
101,171,810.0,188,16141.0
102,174,815.0,175,16574.0
103,174,820.0,191,16673.0
104,175,825.0,186,17292.0
105,175,830.0,198,17941.0
106,178,835.0,204,17841.0
107,180,840.0,187,17247.0
108,184,845.0,181,17907.0
109,189,850.0,178,18678.0
110,196,855.0,178,19175.0
111,200,860.0,143,18652.0
112,203,865.0,127,17429.0
113,205,870.0,133,17397.0
114,208,875.0,152,17411.0
115,207,880.0,183,17360.0
116,208,885.0,202,17498.0
117,209,890.0,182,17433.0
118,213,895.0,183,17958.0
119,217,900.0,194,18305.0
120,220,905.0,188,17899.0
121,221,910.0,187,17473.0
122,222,915.0,178,18105.0
123,224,920.0,185,17939.0
124,232,925.0,179,18241.0
125,238,930.0,168,17774.0
126,247,935.0,188,18152.0
127,251,940.0,213,19181.0
128,254,945.0,222,19822.0
129,256,950.0,217,20112.0
130,263,955.0,196,21005.0
131,271,960.0,194,21636.0
132,278,965.0,192,21160.0
133,282,970.0,164,20296.0
134,288,975.0,144,20807.0
135,290,980.0,148,20759.0
136,297,985.0,151,21044.0
137,301,990.0,144,20791.0
138,305,995.0,135,20949.0
139,308,1000.0,125,21016.0
140,309,1005.0,103,21020.0
141,311,1010.0,99,20012.0
142,313,1015.0,107,19334.0
143,316,1020.0,86,17817.0
144,318,1025.0,98,17521.0
145,321,1030.0,111,17395.0
146,325,1035.0,130,17211.0
147,330,1040.0,135,16808.0
148,334,1045.0,115,15824.0
149,337,1050.0,102,15030.0
150,340,1055.0,109,15393.0
151,342,1060.0,110,15452.0
152,345,1065.0,106,15382.0
153,345,1070.0,102,14160.0
154,348,1075.0,109,12923.0
155,350,1080.0,135,11910.0
156,352,1085.0,133,11845.0
157,354,1090.0,121,11947.0
158,360,1095.0,101,12097.0
159,362,1100.0,99,11828.0
160,365,1105.0,106,11499.0
161,366,1110.0,118,11655.0
162,367,1115.0,137,12145.0
163,369,1120.0,95,11886.0
164,372,1125.0,81,11243.0
165,375,1130.0,85,10271.0
166,376,1135.0,85,9930.0
167,378,1140.0,105,9433.0
168,378,1145.0,101,9478.0
169,378,1150.0,116,9895.0
170,381,1155.0,113,10131.0
171,383,1160.0,108,10070.0
172,384,1165.0,108,9616.0
173,383,1170.0,130,9718.0
174,383,1175.0,134,10303.0
175,384,1180.0,119,10348.0
176,387,1185.0,139,9961.0
177,391,1190.0,131,9928.0
178,394,1195.0,128,9984.0
179,394,1200.0,146,9819.0
180,394,1205.0,124,9700.0
181,396,1210.0,127,9195.0
182,396,1215.0,125,8709.0
183,396,1220.0,126,8870.0
184,400,1225.0,137,9263.0
185,403,1230.0,140,9273.0
186,408,1235.0,145,8931.0
187,411,1240.0,151,9426.0
188,417,1245.0,144,10013.0
189,419,1250.0,109,9960.0
190,425,1255.0,79,9903.0
191,427,1260.0,88,9427.0
192,433,1265.0,98,9762.0
193,432,1270.0,117,9957.0
194,434,1275.0,103,9821.0
195,436,1280.0,96,9934.0
196,437,1285.0,114,10253.0
197,438,1290.0,134,10179.0
198,439,1295.0,141,10444.0
199,441,1300.0,128,10661.0
200,444,1305.0,118,10772.0
201,446,1310.0,105,11214.0
202,449,1315.0,117,11166.0
203,451,1320.0,143,11054.0
204,457,1325.0,159,11884.0
205,459,1330.0,149,12416.0
206,463,1335.0,147,12543.0
207,467,1340.0,159,12697.0
208,473,1345.0,139,12428.0
209,477,1350.0,124,12831.0
210,483,1355.0,125,13316.0
211,484,1360.0,107,13608.0
212,488,1365.0,108,13341.0
213,488,1370.0,98,12852.0
214,491,1375.0,68,12323.0
215,492,1380.0,78,11921.0
216,495,1385.0,93,12320.0
217,494,1390.0,126,11947.0
218,497,1395.0,151,11819.0
219,497,1400.0,134,12310.0
220,497,1405.0,160,12463.0
221,497,1410.0,141,12147.0
