buffer_size,step_time,total_stopped,total_wait_time
20,305.0,54,3867.0
20,310.0,58,3502.0
20,315.0,41,3067.0
20,320.0,76,3358.0
20,325.0,102,3600.0
20,330.0,86,3774.0
20,335.0,76,3864.0
20,340.0,85,3859.0
20,345.0,92,3632.0
20,350.0,85,3496.0
20,355.0,87,3498.0
20,360.0,97,3549.0
20,365.0,80,3723.0
20,370.0,83,3550.0
20,375.0,84,3769.0
20,380.0,78,3682.0
20,385.0,66,3683.0
20,390.0,47,3582.0
20,395.0,36,3666.0
20,400.0,60,3631.0
20,405.0,95,3566.0
20,410.0,98,3871.0
21,415.0,90,4024.0
23,420.0,85,3913.0
26,425.0,92,3765.0
26,430.0,100,3999.0
26,435.0,92,4479.0
26,440.0,95,4749.0
26,445.0,100,4764.0
26,450.0,125,5090.0
26,455.0,115,5442.0
27,460.0,99,5880.0
31,465.0,96,6171.0
35,470.0,78,6171.0
41,475.0,71,6031.0
44,480.0,72,6018.0
49,485.0,85,6165.0
51,490.0,75,6506.0
55,495.0,58,6346.0
59,500.0,67,6282.0
65,505.0,85,6660.0
65,510.0,95,6755.0
65,515.0,97,6465.0
66,520.0,92,6348.0
68,525.0,89,6472.0
69,530.0,85,6535.0
72,535.0,72,6435.0
74,540.0,65,6596.0
79,545.0,48,6318.0
82,550.0,71,6538.0
83,555.0,98,6862.0
82,560.0,131,7329.0
83,565.0,141,7754.0
85,570.0,128,7939.0
85,575.0,122,7549.0
85,580.0,118,7774.0
85,585.0,109,8085.0
85,590.0,121,8463.0
85,595.0,115,8297.0
85,600.0,99,8000.0
85,605.0,113,7579.0
87,610.0,100,7877.0
88,615.0,111,8340.0
88,620.0,124,8534.0
90,625.0,133,8490.0
89,630.0,132,8270.0
91,635.0,119,8839.0
91,640.0,130,9228.0
94,645.0,133,9557.0
96,650.0,153,9732.0
99,655.0,146,10069.0
100,660.0,128,9876.0
101,665.0,124,9266.0
105,670.0,122,9253.0
111,675.0,133,9805.0
111,680.0,148,10100.0
114,685.0,162,10046.0
114,690.0,167,9702.0
115,695.0,163,9509.0
118,700.0,129,9899.0
124,705.0,116,9787.0
126,710.0,94,10069.0
132,715.0,92,10157.0
134,720.0,108,10459.0
137,725.0,112,10370.0
139,730.0,110,10411.0
140,735.0,134,10603.0
143,740.0,133,11166.0
146,745.0,146,11815.0
145,750.0,137,12384.0
147,755.0,127,13070.0
152,760.0,114,13329.0
161,765.0,118,13021.0
166,770.0,98,12946.0
168,775.0,104,13255.0
171,780.0,117,12853.0
178,785.0,140,12486.0
184,790.0,137,12386.0
187,795.0,130,12562.0
189,800.0,131,12836.0
190,805.0,124,12425.0
196,810.0,125,12113.0
199,815.0,142,12463.0
202,820.0,152,12877.0
209,825.0,165,12941.0
211,830.0,146,12675.0
218,835.0,117,12662.0
222,840.0,104,12709.0
227,845.0,104,12901.0
229,850.0,111,12925.0
229,855.0,104,12760.0
230,860.0,106,12677.0
232,865.0,97,12551.0
232,870.0,87,12499.0
234,875.0,95,12507.0
235,880.0,100,12701.0
238,885.0,134,12443.0
238,890.0,142,12286.0
239,895.0,141,12203.0
241,900.0,137,12232.0
250,905.0,128,11643.0
256,910.0,115,11228.0
259,915.0,122,11581.0
258,920.0,124,11889.0
259,925.0,142,12239.0
263,930.0,139,12113.0
266,935.0,134,12088.0
268,940.0,155,12650.0
268,945.0,165,12974.0
270,950.0,149,13152.0
274,955.0,128,12580.0
274,960.0,116,12665.0
278,965.0,111,12516.0
280,970.0,118,12651.0
285,975.0,126,12533.0
290,980.0,122,11900.0
296,985.0,134,12129.0
295,990.0,144,12322.0
296,995.0,141,12023.0
298,1000.0,143,11668.0
301,1005.0,147,11831.0
