step_time,total_stopped,total_wait_time
305.0,86,7930.0
310.0,97,6253.0
315.0,80,3145.0
320.0,68,1985.0
325.0,74,1985.0
330.0,85,2149.0
335.0,95,2486.0
340.0,110,2953.0
345.0,122,3365.0
350.0,141,3733.0
355.0,121,3219.0
360.0,137,2491.0
365.0,176,2745.0
370.0,185,3437.0
375.0,181,4114.0
380.0,192,4729.0
385.0,198,5386.0
390.0,203,5979.0
395.0,204,6383.0
400.0,201,6602.0
405.0,160,6104.0
410.0,135,4831.0
415.0,110,3866.0
420.0,81,3422.0
425.0,66,2750.0
430.0,89,2267.0
435.0,96,1902.0
440.0,116,1730.0
445.0,138,2169.0
450.0,150,2620.0
455.0,144,2848.0
460.0,156,3146.0
465.0,178,3725.0
470.0,179,4260.0
475.0,190,4696.0
480.0,208,5231.0
485.0,223,5821.0
490.0,233,6196.0
495.0,235,6422.0
500.0,230,6579.0
505.0,186,6343.0
510.0,136,5409.0
515.0,106,4466.0
520.0,78,3645.0
525.0,92,2890.0
530.0,136,2633.0
535.0,178,2918.0
540.0,198,3501.0
545.0,209,4266.0
550.0,233,5188.0
555.0,247,6030.0
560.0,241,6774.0
565.0,229,6995.0
570.0,195,6607.0
575.0,159,5967.0
580.0,150,5399.0
585.0,150,5130.0
590.0,154,4860.0
595.0,145,4410.0
600.0,150,3930.0
605.0,169,3711.0
610.0,206,4183.0
615.0,227,4909.0
620.0,215,5360.0
625.0,211,5607.0
630.0,200,6132.0
635.0,197,6707.0
640.0,194,7094.0
645.0,178,7148.0
650.0,172,6917.0
655.0,179,6639.0
660.0,192,6654.0
665.0,200,6781.0
670.0,193,6797.0
675.0,193,6652.0
680.0,198,7013.0
685.0,205,7431.0
690.0,191,7246.0
695.0,171,6348.0
700.0,174,5925.0
705.0,167,5623.0
710.0,179,5249.0
715.0,190,5050.0
720.0,180,5076.0
725.0,162,5120.0
730.0,164,5202.0
735.0,162,5256.0
740.0,172,5270.0
745.0,165,5402.0
750.0,182,5787.0
755.0,202,6136.0
760.0,206,6497.0
765.0,204,6764.0
770.0,166,6400.0
775.0,146,5577.0
780.0,145,4919.0
785.0,162,4664.0
790.0,167,4555.0
795.0,162,4319.0
800.0,167,4363.0
805.0,139,4298.0
810.0,128,3831.0
815.0,123,3428.0
820.0,114,3111.0
825.0,130,2976.0
830.0,163,3026.0
835.0,195,3450.0
840.0,227,4245.0
845.0,261,5179.0
850.0,269,6324.0
855.0,261,7139.0
860.0,253,7658.0
865.0,229,7904.0
870.0,190,7564.0
875.0,182,7009.0
880.0,178,6362.0
885.0,168,6094.0
890.0,173,6106.0
895.0,191,6288.0
900.0,213,6839.0
905.0,228,7688.0
910.0,240,8371.0
915.0,262,8989.0
920.0,275,9510.0
925.0,260,9815.0
930.0,244,9768.0
935.0,239,9564.0
940.0,249,9176.0
945.0,242,9532.0
950.0,253,9807.0
955.0,244,9899.0
960.0,220,9523.0
965.0,200,8731.0
970.0,182,8075.0
975.0,172,7448.0
980.0,169,6486.0
985.0,170,5795.0
990.0,158,5620.0
995.0,155,5416.0
1000.0,172,5260.0
1005.0,168,5457.0
1010.0,177,5418.0
1015.0,205,5505.0
1020.0,220,6052.0
1025.0,217,6354.0
1030.0,230,6574.0
1035.0,240,7112.0
1040.0,241,7492.0
1045.0,238,7617.0
1050.0,232,7668.0
1055.0,220,7488.0
1060.0,194,7390.0
1065.0,170,7046.0
1070.0,173,6380.0
1075.0,188,6484.0
1080.0,193,6625.0
1085.0,198,6826.0
1090.0,222,7411.0
1095.0,234,8181.0
1100.0,246,9036.0
1105.0,245,9656.0
1110.0,239,9742.0
1115.0,200,8898.0
1120.0,164,7933.0
1125.0,157,7623.0
1130.0,153,7407.0
1135.0,174,6942.0
1140.0,173,6302.0
1145.0,156,6016.0
1150.0,168,5729.0
1155.0,165,5595.0
1160.0,149,5124.0
1165.0,145,4852.0
1170.0,154,4561.0
1175.0,171,4477.0
1180.0,176,4335.0
1185.0,198,4321.0
1190.0,197,4218.0
1195.0,185,4292.0
1200.0,188,4570.0
1205.0,185,4900.0
1210.0,206,5255.0
1215.0,237,5727.0
1220.0,266,6400.0
1225.0,273,6988.0
1230.0,247,6887.0
1235.0,199,6448.0
1240.0,164,5578.0
1245.0,138,4770.0
1250.0,136,4517.0
1255.0,153,4177.0
1260.0,180,4156.0
1265.0,192,4455.0
1270.0,205,4761.0
1275.0,228,5324.0
1280.0,244,5894.0
1285.0,238,6102.0
1290.0,234,6138.0
1295.0,219,6229.0
1300.0,191,6079.0
1305.0,169,5702.0
1310.0,173,4861.0
1315.0,183,4487.0
1320.0,199,4431.0
1325.0,202,4488.0
1330.0,199,4569.0
1335.0,185,4404.0
1340.0,192,4350.0
1345.0,194,4431.0
1350.0,213,4652.0
1355.0,225,4962.0
1360.0,249,5618.0
1365.0,242,6124.0
1370.0,235,6386.0
1375.0,238,6898.0
1380.0,233,7084.0
1385.0,225,7155.0
1390.0,210,7019.0
1395.0,205,6765.0
1400.0,203,6360.0
1405.0,189,6221.0
1410.0,184,5711.0
1415.0,199,5474.0
1420.0,211,5428.0
1425.0,218,5219.0
1430.0,219,5299.0
1435.0,240,5624.0
1440.0,223,5927.0
1445.0,229,6135.0
1450.0,246,6358.0
1455.0,260,7166.0
1460.0,272,8064.0
1465.0,259,8646.0
1470.0,250,8615.0
1475.0,241,8307.0
1480.0,219,7739.0
1485.0,201,7079.0
1490.0,183,6430.0
1495.0,184,6033.0
1500.0,201,5612.0
1505.0,229,5598.0
1510.0,239,5881.0
1515.0,232,6129.0
1520.0,222,6089.0
1525.0,221,5927.0
1530.0,228,5740.0
1535.0,228,5971.0
1540.0,240,6321.0
1545.0,232,6533.0
1550.0,214,6491.0
1555.0,208,6279.0
1560.0,212,5849.0
1565.0,212,5805.0
1570.0,220,6157.0
1575.0,265,6941.0
1580.0,273,7743.0
1585.0,247,8070.0
1590.0,248,8227.0
1595.0,216,8367.0
1600.0,218,8085.0
1605.0,215,7305.0
1610.0,189,6940.0
1615.0,187,6390.0
1620.0,188,6024.0
1625.0,198,5787.0
1630.0,207,5604.0
1635.0,217,5545.0
1640.0,216,5410.0
1645.0,187,5202.0
1650.0,173,4945.0
1655.0,191,4902.0
1660.0,193,4821.0
1665.0,203,4929.0
1670.0,185,4819.0
1675.0,163,4507.0
1680.0,150,4055.0
1685.0,148,3704.0
1690.0,170,3651.0
1695.0,209,3835.0
1700.0,232,4250.0
1705.0,228,4650.0
1710.0,228,5072.0
1715.0,223,5536.0
1720.0,237,5762.0
1725.0,242,6080.0
1730.0,235,6292.0
1735.0,231,6302.0
1740.0,214,6319.0
1745.0,193,5833.0
1750.0,166,5310.0
1755.0,138,5006.0
1760.0,169,4843.0
1765.0,219,5276.0
1770.0,234,5845.0
1775.0,234,6299.0
1780.0,228,6795.0
1785.0,234,7402.0
1790.0,216,7750.0
1795.0,196,7536.0
1800.0,167,6805.0
1805.0,130,5728.0
1810.0,129,4534.0
1815.0,141,3706.0
1820.0,146,3507.0
1825.0,131,3468.0
1830.0,143,3360.0
1835.0,128,3214.0
1840.0,136,3038.0
1845.0,147,3011.0
1850.0,157,3190.0
1855.0,160,3272.0
1860.0,155,3197.0
1865.0,162,3422.0
1870.0,169,3871.0
1875.0,180,4261.0
1880.0,190,4615.0
1885.0,186,4880.0
1890.0,193,4908.0
1895.0,228,5285.0
1900.0,238,5756.0
1905.0,222,6218.0
1910.0,209,6493.0
1915.0,208,6791.0
1920.0,199,6984.0
1925.0,183,6864.0
1930.0,184,6545.0
1935.0,198,6104.0
1940.0,194,5669.0
1945.0,205,5273.0
1950.0,206,5244.0
1955.0,201,5352.0
1960.0,202,5354.0
1965.0,193,5368.0
1970.0,171,5254.0
1975.0,161,5200.0
1980.0,176,5104.0
1985.0,187,4979.0
1990.0,191,5101.0
1995.0,195,5341.0
2000.0,191,5445.0
2005.0,174,5507.0
2010.0,180,5472.0
2015.0,187,5545.0
2020.0,208,5805.0
2025.0,207,5967.0
2030.0,198,5951.0
2035.0,181,5933.0
2040.0,156,5546.0
2045.0,148,4918.0
2050.0,164,4342.0
2055.0,158,4068.0
2060.0,164,4207.0
2065.0,157,4233.0
2070.0,159,4092.0
2075.0,149,3739.0
2080.0,138,3493.0
2085.0,156,3576.0
2090.0,157,3660.0
2095.0,142,3634.0
2100.0,142,3682.0
2105.0,144,3892.0
2110.0,192,4343.0
2115.0,215,4859.0
2120.0,215,5301.0
2125.0,212,5479.0
2130.0,207,5667.0
2135.0,222,5943.0
2140.0,239,6145.0
2145.0,214,6102.0
2150.0,195,5538.0
2155.0,176,5368.0
2160.0,166,5454.0
2165.0,185,5673.0
2170.0,199,5821.0
2175.0,195,5623.0
2180.0,182,5292.0
2185.0,157,4591.0
2190.0,165,4024.0
2195.0,160,3954.0
2200.0,170,4113.0
2205.0,184,4424.0
2210.0,201,4676.0
2215.0,205,5112.0
2220.0,183,5170.0
2225.0,188,4896.0
2230.0,192,4928.0
2235.0,205,5329.0
2240.0,207,5757.0
2245.0,212,6174.0
2250.0,219,6537.0
2255.0,211,6769.0
2260.0,193,6799.0
2265.0,166,6304.0
2270.0,153,5606.0
2275.0,166,5698.0
2280.0,174,6006.0
2285.0,172,5829.0
2290.0,174,5700.0
2295.0,174,5530.0
2300.0,175,5376.0
2305.0,174,5040.0
2310.0,159,4455.0
2315.0,136,3997.0
2320.0,132,3788.0
2325.0,135,3987.0
2330.0,144,4337.0
2335.0,148,4412.0
2340.0,165,4238.0
2345.0,177,4328.0
2350.0,200,4676.0
2355.0,190,4974.0
2360.0,185,5205.0
2365.0,178,5354.0
2370.0,164,5359.0
2375.0,161,5470.0
2380.0,167,5613.0
2385.0,168,5663.0
2390.0,165,5867.0
2395.0,153,6030.0
2400.0,171,5905.0
2405.0,199,6138.0
2410.0,210,6077.0
2415.0,217,6013.0
2420.0,201,5823.0
2425.0,195,5784.0
2430.0,170,5555.0
2435.0,160,5016.0
2440.0,153,4476.0
2445.0,134,3949.0
2450.0,126,3369.0
2455.0,133,2880.0
2460.0,147,3144.0
2465.0,176,3580.0
2470.0,195,4168.0
2475.0,174,4465.0
2480.0,149,4116.0
2485.0,147,3495.0
2490.0,157,3303.0
2495.0,145,3407.0
2500.0,134,3537.0
2505.0,132,3507.0
2510.0,161,3759.0
2515.0,195,4259.0
2520.0,209,4774.0
2525.0,203,4971.0
2530.0,186,5049.0
2535.0,167,4958.0
2540.0,145,4768.0
2545.0,140,4615.0
2550.0,154,4335.0
2555.0,171,4208.0
2560.0,164,4294.0
2565.0,168,4215.0
2570.0,168,4394.0
2575.0,152,4348.0
2580.0,130,4114.0
2585.0,132,3918.0
2590.0,141,3903.0
2595.0,138,3717.0
2600.0,124,3283.0
2605.0,117,3018.0
2610.0,103,2843.0
2615.0,105,2573.0
2620.0,111,2452.0
2625.0,117,2400.0
2630.0,119,2353.0
2635.0,131,2424.0
2640.0,146,2706.0
2645.0,159,2832.0
2650.0,156,3099.0
2655.0,151,3240.0
2660.0,186,3651.0
2665.0,208,4166.0
2670.0,191,4439.0
2675.0,188,4251.0
2680.0,199,4394.0
