buffer_size,step_time,total_stopped,total_wait_time
31,305.0,85,8281.0
34,310.0,95,6716.0
39,315.0,57,5211.0
44,320.0,94,5082.0
46,325.0,137,4935.0
46,330.0,116,4067.0
46,335.0,95,3455.0
49,340.0,93,2955.0
50,345.0,88,2117.0
49,350.0,95,1923.0
51,355.0,100,1977.0
51,360.0,101,1845.0
56,365.0,92,1862.0
57,370.0,90,1745.0
57,375.0,96,1729.0
60,380.0,121,1760.0
62,385.0,128,1940.0
65,390.0,123,2106.0
67,395.0,103,2314.0
67,400.0,104,2469.0
67,405.0,121,2587.0
68,410.0,113,2469.0
70,415.0,104,2570.0
73,420.0,105,2772.0
72,425.0,100,2778.0
72,430.0,124,2833.0
72,435.0,123,2827.0
72,440.0,120,2795.0
73,445.0,108,2816.0
74,450.0,114,2843.0
74,455.0,103,2848.0
74,460.0,88,2537.0
74,465.0,91,2202.0
74,470.0,108,2200.0
74,475.0,136,2521.0
74,480.0,150,2847.0
74,485.0,121,2746.0
74,490.0,121,2677.0
75,495.0,142,2820.0
83,500.0,150,3319.0
90,505.0,150,3645.0
97,510.0,129,3793.0
95,515.0,130,3815.0
99,520.0,135,3901.0
103,525.0,143,3746.0
105,530.0,134,3688.0
109,535.0,111,3878.0
112,540.0,109,3701.0
112,545.0,134,3653.0
112,550.0,132,3456.0
112,555.0,134,3249.0
113,560.0,136,3356.0
116,565.0,139,3440.0
116,570.0,126,3391.0
119,575.0,132,3486.0
119,580.0,129,3368.0
121,585.0,134,3376.0
122,590.0,140,3669.0
125,595.0,147,3698.0
125,600.0,119,3609.0
126,605.0,122,3645.0
129,610.0,125,3735.0
130,615.0,160,3927.0
135,620.0,188,4154.0
135,625.0,191,4149.0
138,630.0,150,3952.0
141,635.0,126,3756.0
146,640.0,115,3548.0
147,645.0,93,3248.0
149,650.0,113,3170.0
151,655.0,129,3286.0
155,660.0,132,3073.0
159,665.0,138,2874.0
161,670.0,129,2668.0
164,675.0,125,2708.0
164,680.0,150,2938.0
164,685.0,146,3079.0
166,690.0,168,3415.0
168,695.0,191,3752.0
173,700.0,193,3872.0
176,705.0,189,3797.0
182,710.0,158,4017.0
189,715.0,137,3902.0
188,720.0,116,3684.0
188,725.0,104,3550.0
190,730.0,115,3090.0
191,735.0,117,2802.0
192,740.0,117,2599.0
194,745.0,126,2687.0
194,750.0,141,2764.0
197,755.0,129,2830.0
198,760.0,137,2804.0
199,765.0,130,2955.0
204,770.0,134,3005.0
205,775.0,150,3124.0
205,780.0,134,3024.0
205,785.0,134,3149.0
206,790.0,129,3228.0
210,795.0,131,3247.0
210,800.0,153,3423.0
212,805.0,174,3585.0
214,810.0,174,3738.0
221,815.0,168,4093.0
226,820.0,151,4522.0
231,825.0,162,4665.0
231,830.0,174,4700.0
230,835.0,181,4688.0
236,840.0,184,5124.0
241,845.0,198,5555.0
248,850.0,195,5895.0
255,855.0,166,5671.0
260,860.0,129,5393.0
262,865.0,128,5333.0
268,870.0,160,5172.0
269,875.0,161,5109.0
272,880.0,162,5111.0
275,885.0,164,5192.0
279,890.0,148,5303.0
283,895.0,159,5418.0
286,900.0,169,5617.0
286,905.0,170,5988.0
286,910.0,163,6105.0
286,915.0,173,5962.0
290,920.0,176,6454.0
295,925.0,168,6851.0
300,930.0,142,6712.0
303,935.0,141,6380.0
307,940.0,182,6612.0
309,945.0,173,7071.0
316,950.0,199,7261.0
322,955.0,173,7077.0
329,960.0,123,6187.0
340,965.0,102,5112.0
344,970.0,94,5002.0
346,975.0,125,5049.0
347,980.0,151,4955.0
347,985.0,145,4717.0
347,990.0,138,4522.0
348,995.0,147,4538.0
348,1000.0,147,4533.0
348,1005.0,138,4585.0
348,1010.0,143,4317.0
348,1015.0,158,4469.0
348,1020.0,168,4541.0
349,1025.0,169,4760.0
351,1030.0,193,5068.0
352,1035.0,194,5290.0
354,1040.0,189,5388.0
358,1045.0,192,5647.0
360,1050.0,167,6116.0
363,1055.0,162,6342.0
363,1060.0,156,6337.0
363,1065.0,135,6344.0
363,1070.0,144,5930.0
364,1075.0,145,5449.0
367,1080.0,147,5433.0
372,1085.0,170,5672.0
375,1090.0,164,5774.0
378,1095.0,143,5527.0
380,1100.0,139,5535.0
380,1105.0,145,5990.0
383,1110.0,179,6528.0
388,1115.0,187,6722.0
391,1120.0,169,6641.0
397,1125.0,168,6508.0
401,1130.0,166,6525.0
402,1135.0,155,6686.0
406,1140.0,157,6735.0
408,1145.0,171,6938.0
410,1150.0,179,7131.0
416,1155.0,191,7093.0
424,1160.0,173,7097.0
427,1165.0,143,6962.0
430,1170.0,151,7106.0
432,1175.0,165,7165.0
434,1180.0,170,6784.0
438,1185.0,159,6635.0
440,1190.0,151,6806.0
443,1195.0,142,6995.0
444,1200.0,139,6382.0
448,1205.0,120,5789.0
452,1210.0,112,5537.0
455,1215.0,136,5492.0
457,1220.0,161,5641.0
460,1225.0,170,5440.0
464,1230.0,140,5253.0
465,1235.0,120,4881.0
472,1240.0,104,4276.0
474,1245.0,88,4150.0
477,1250.0,96,4173.0
482,1255.0,103,4070.0
484,1260.0,107,3722.0
484,1265.0,89,3627.0
484,1270.0,97,3566.0
484,1275.0,99,3657.0
485,1280.0,132,3643.0
490,1285.0,148,3475.0
492,1290.0,145,3737.0
497,1295.0,135,3790.0
503,1300.0,124,3660.0
503,1305.0,110,3456.0
503,1310.0,117,3113.0
505,1315.0,123,2720.0
509,1320.0,98,2481.0
511,1325.0,105,2482.0
512,1330.0,125,2806.0
511,1335.0,139,3102.0
513,1340.0,113,3009.0
516,1345.0,107,2812.0
517,1350.0,120,2669.0
520,1355.0,120,2718.0
522,1360.0,122,2923.0
522,1365.0,145,3138.0
522,1370.0,141,3139.0
522,1375.0,144,3045.0
523,1380.0,124,3022.0
526,1385.0,114,3075.0
529,1390.0,95,3005.0
529,1395.0,98,2781.0
529,1400.0,117,2585.0
529,1405.0,130,2644.0
529,1410.0,123,2764.0
529,1415.0,138,2830.0
529,1420.0,143,2836.0
529,1425.0,142,2858.0
529,1430.0,145,2852.0
529,1435.0,151,2907.0
529,1440.0,141,2976.0
529,1445.0,115,3126.0
529,1450.0,124,3152.0
529,1455.0,125,3178.0
529,1460.0,127,3322.0
529,1465.0,135,3472.0
529,1470.0,147,3544.0
529,1475.0,150,3551.0
534,1480.0,120,3217.0
539,1485.0,89,2905.0
544,1490.0,107,2764.0
546,1495.0,121,3120.0
546,1500.0,148,3389.0
546,1505.0,178,3567.0
546,1510.0,161,3504.0
546,1515.0,142,3585.0
548,1520.0,159,3795.0
550,1525.0,162,3980.0
552,1530.0,157,4188.0
554,1535.0,156,4308.0
554,1540.0,157,4377.0
556,1545.0,172,4478.0
558,1550.0,191,4962.0
567,1555.0,222,5701.0
569,1560.0,211,6121.0
574,1565.0,202,5995.0
579,1570.0,191,5692.0
586,1575.0,148,5688.0
593,1580.0,138,5610.0
594,1585.0,136,5421.0
594,1590.0,115,4707.0
596,1595.0,111,4148.0
598,1600.0,135,4221.0
599,1605.0,135,4093.0
601,1610.0,111,3541.0
605,1615.0,106,3358.0
608,1620.0,94,3121.0
608,1625.0,108,3050.0
609,1630.0,121,3221.0
615,1635.0,135,3423.0
619,1640.0,140,3469.0
621,1645.0,127,3292.0
624,1650.0,124,3177.0
629,1655.0,137,3085.0
633,1660.0,135,3233.0
635,1665.0,130,3056.0
639,1670.0,122,2895.0
644,1675.0,137,2918.0
648,1680.0,145,3320.0
648,1685.0,150,3654.0
651,1690.0,130,3723.0
651,1695.0,127,3549.0
652,1700.0,138,3565.0
656,1705.0,150,3959.0
