buffer_size,step_time,total_stopped,total_wait_time
12,305.0,73,6830.0
12,310.0,85,5256.0
12,315.0,78,2851.0
13,320.0,86,2139.0
14,325.0,94,2398.0
13,330.0,106,2817.0
13,335.0,122,3317.0
13,340.0,149,3982.0
13,345.0,169,4711.0
13,350.0,193,5543.0
13,355.0,151,5030.0
13,360.0,132,3984.0
13,365.0,171,3282.0
13,370.0,185,3684.0
13,375.0,189,4262.0
13,380.0,188,4788.0
13,385.0,206,5368.0
13,390.0,216,5912.0
13,395.0,221,6441.0
13,400.0,225,6961.0
13,405.0,172,6449.0
13,410.0,124,4942.0
14,415.0,94,3498.0
17,420.0,62,3176.0
20,425.0,60,2786.0
20,430.0,70,2501.0
20,435.0,102,2429.0
20,440.0,141,2784.0
21,445.0,177,3417.0
23,450.0,215,4396.0
25,455.0,201,5079.0
28,460.0,201,5495.0
33,465.0,213,6196.0
34,470.0,188,6594.0
37,475.0,159,6242.0
40,480.0,148,5316.0
42,485.0,136,4849.0
45,490.0,138,4518.0
48,495.0,161,4653.0
48,500.0,185,4921.0
48,505.0,175,5012.0
48,510.0,160,4791.0
48,515.0,156,4732.0
48,520.0,155,4780.0
48,525.0,157,4544.0
50,530.0,155,3959.0
52,535.0,178,3688.0
56,540.0,211,4139.0
59,545.0,250,4854.0
59,550.0,270,5556.0
61,555.0,255,6315.0
67,560.0,236,7008.0
72,565.0,248,7613.0
83,570.0,237,7847.0
91,575.0,207,7616.0
96,580.0,173,6924.0
102,585.0,146,6605.0
107,590.0,138,5971.0
106,595.0,121,5269.0
107,600.0,112,4354.0
107,605.0,109,3614.0
109,610.0,122,3394.0
111,615.0,149,3644.0
112,620.0,171,4060.0
111,625.0,180,4414.0
113,630.0,189,4692.0
115,635.0,198,4685.0
119,640.0,191,4701.0
120,645.0,184,4732.0
123,650.0,178,4660.0
132,655.0,188,4634.0
135,660.0,212,5160.0
137,665.0,240,5951.0
138,670.0,246,6575.0
138,675.0,236,6740.0
138,680.0,226,6773.0
138,685.0,192,6754.0
138,690.0,176,6480.0
138,695.0,187,6294.0
138,700.0,203,6259.0
138,705.0,223,6215.0
138,710.0,227,6777.0
138,715.0,234,7335.0
138,720.0,245,8016.0
141,725.0,245,8859.0
143,730.0,264,9680.0
150,735.0,253,10147.0
153,740.0,232,10064.0
