step_time,total_stopped,total_wait_time
305.0,54,3867.0
310.0,58,2930.0
315.0,60,2121.0
320.0,42,1577.0
325.0,43,518.0
330.0,67,438.0
335.0,46,543.0
340.0,61,589.0
345.0,55,657.0
350.0,45,564.0
355.0,49,449.0
360.0,28,398.0
365.0,46,376.0
370.0,54,511.0
375.0,41,487.0
380.0,39,383.0
385.0,38,361.0
390.0,33,358.0
395.0,28,316.0
400.0,48,317.0
405.0,35,322.0
410.0,32,300.0
415.0,36,311.0
420.0,29,295.0
425.0,46,306.0
430.0,35,350.0
435.0,39,283.0
440.0,40,335.0
445.0,25,295.0
450.0,34,266.0
455.0,29,286.0
460.0,33,274.0
465.0,36,307.0
470.0,28,308.0
475.0,33,285.0
480.0,24,251.0
485.0,35,235.0
490.0,34,273.0
495.0,32,274.0
500.0,32,282.0
505.0,25,250.0
510.0,32,234.0
515.0,32,258.0
520.0,35,279.0
525.0,27,285.0
530.0,27,255.0
535.0,32,264.0
540.0,27,238.0
545.0,40,246.0
550.0,38,326.0
555.0,22,288.0
560.0,30,240.0
565.0,29,290.0
570.0,30,254.0
575.0,39,304.0
580.0,23,271.0
585.0,19,196.0
590.0,20,182.0
595.0,31,204.0
600.0,33,260.0
605.0,22,252.0
610.0,27,199.0
615.0,26,242.0
620.0,29,225.0
625.0,31,256.0
630.0,27,241.0
635.0,26,204.0
640.0,38,258.0
645.0,25,271.0
650.0,34,243.0
655.0,27,282.0
660.0,32,249.0
665.0,33,281.0
670.0,22,268.0
675.0,35,272.0
680.0,31,287.0
685.0,23,233.0
690.0,21,198.0
695.0,43,260.0
700.0,29,302.0
705.0,31,256.0
710.0,17,217.0
715.0,35,233.0
720.0,35,281.0
725.0,35,287.0
730.0,32,285.0
735.0,15,227.0
740.0,22,199.0
745.0,30,224.0
750.0,30,255.0
755.0,31,289.0
760.0,16,231.0
765.0,26,182.0
770.0,32,260.0
775.0,33,304.0
780.0,27,273.0
785.0,26,267.0
790.0,19,197.0
795.0,32,217.0
800.0,37,287.0
805.0,28,306.0
810.0,28,275.0
815.0,32,274.0
820.0,28,226.0
825.0,46,279.0
830.0,43,369.0
835.0,17,319.0
840.0,25,213.0
845.0,32,256.0
850.0,29,280.0
855.0,43,279.0
860.0,36,315.0
865.0,20,252.0
870.0,35,261.0
875.0,38,349.0
880.0,33,316.0
885.0,42,316.0
890.0,26,308.0
895.0,32,299.0
900.0,49,371.0
905.0,41,418.0
910.0,28,335.0
915.0,29,273.0
920.0,29,274.0
925.0,40,313.0
930.0,40,386.0
935.0,22,267.0
940.0,35,247.0
945.0,40,324.0
950.0,42,394.0
955.0,31,377.0
960.0,33,356.0
965.0,36,350.0
970.0,39,357.0
975.0,32,347.0
980.0,35,362.0
985.0,26,311.0
990.0,29,283.0
995.0,40,330.0
1000.0,28,331.0
1005.0,23,280.0
1010.0,26,252.0
1015.0,39,281.0
1020.0,25,321.0
1025.0,35,278.0
1030.0,25,297.0
1035.0,26,267.0
1040.0,34,284.0
1045.0,42,331.0
1050.0,39,374.0
1055.0,30,338.0
1060.0,29,285.0
1065.0,37,293.0
1070.0,42,342.0
1075.0,28,305.0
1080.0,19,247.0
1085.0,28,237.0
1090.0,25,240.0
1095.0,50,320.0
1100.0,44,429.0
1105.0,29,377.0
1110.0,25,272.0
1115.0,32,295.0
1120.0,48,366.0
1125.0,47,374.0
1130.0,36,379.0
1135.0,36,350.0
1140.0,29,328.0
1145.0,38,337.0
1150.0,53,391.0
1155.0,43,409.0
1160.0,39,398.0
1165.0,31,346.0
1170.0,37,345.0
1175.0,38,364.0
1180.0,36,305.0
1185.0,30,289.0
1190.0,25,259.0
1195.0,37,304.0
1200.0,45,376.0
1205.0,36,359.0
1210.0,35,336.0
1215.0,27,366.0
1220.0,23,312.0
1225.0,51,375.0
