buffer_size,step_time,total_stopped,total_wait_time
0,305.0,65,5277.0
0,310.0,120,4761.0
0,315.0,135,3292.0
0,320.0,144,3435.0
0,325.0,150,4173.0
0,330.0,156,4938.0
0,335.0,164,5740.0
0,340.0,61,3503.0
0,345.0,83,1764.0
0,350.0,111,927.0
0,355.0,124,1474.0
0,360.0,134,2124.0
0,365.0,145,2823.0
0,370.0,151,3564.0
0,375.0,83,3150.0
0,380.0,73,1767.0
0,385.0,115,990.0
0,390.0,129,1378.0
0,395.0,135,1976.0
0,400.0,144,2676.0
0,405.0,152,3419.0
0,410.0,125,3089.0
0,415.0,65,2420.0
0,420.0,103,1159.0
0,425.0,131,1223.0
0,430.0,139,1804.0
0,435.0,146,2520.0
0,440.0,155,3276.0
0,445.0,160,4071.0
0,450.0,73,2807.0
0,455.0,89,1559.0
0,460.0,139,1089.0
0,465.0,145,1667.0
0,470.0,158,2432.0
0,475.0,165,3243.0
0,480.0,171,4083.0
0,485.0,122,3800.0
0,490.0,61,2370.0
0,495.0,100,1340.0
0,500.0,124,1153.0
0,505.0,133,1771.0
0,510.0,141,2464.0
0,515.0,150,3196.0
0,520.0,161,3977.0
0,525.0,72,2537.0
0,530.0,96,1710.0
0,535.0,118,1172.0
0,540.0,125,1582.0
0,545.0,131,2212.0
0,550.0,142,2899.0
0,555.0,151,3636.0
0,560.0,90,3226.0
0,565.0,78,1888.0
0,570.0,121,1034.0
0,575.0,131,1437.0
0,580.0,144,2112.0
0,585.0,154,2860.0
0,590.0,159,3644.0
0,595.0,133,3356.0
0,600.0,54,2692.0
0,605.0,91,1217.0
0,610.0,118,1056.0
0,615.0,128,1637.0
0,620.0,134,2292.0
0,625.0,142,2984.0
0,630.0,158,3738.0
0,635.0,82,2610.0
0,640.0,85,1621.0
0,645.0,126,1158.0
0,650.0,137,1588.0
0,655.0,146,2269.0
0,660.0,156,3030.0
0,665.0,167,3846.0
0,670.0,107,3527.0
0,675.0,71,2078.0
0,680.0,116,1282.0
0,685.0,129,1303.0
0,690.0,137,1921.0
0,695.0,145,2621.0
0,700.0,151,3363.0
0,705.0,156,4131.0
0,710.0,62,2545.0
0,715.0,99,1464.0
0,720.0,136,1133.0
0,725.0,144,1763.0
0,730.0,150,2504.0
0,735.0,156,3275.0
0,740.0,160,4063.0
0,745.0,84,3659.0
0,750.0,56,2090.0
0,755.0,103,727.0
0,760.0,113,1169.0
0,765.0,121,1759.0
0,770.0,131,2393.0
0,775.0,133,3053.0
0,780.0,108,2688.0
0,785.0,48,2077.0
0,790.0,93,861.0
0,795.0,113,1013.0
0,800.0,120,1578.0
0,805.0,124,2195.0
0,810.0,127,2827.0
0,815.0,133,3480.0
0,820.0,54,2133.0
0,825.0,76,1046.0
0,830.0,115,917.0
0,835.0,126,1431.0
0,840.0,135,2089.0
0,845.0,144,2785.0
0,850.0,153,3527.0
0,855.0,100,3131.0
0,860.0,67,1937.0
0,865.0,105,1248.0
0,870.0,117,1245.0
0,875.0,124,1765.0
0,880.0,134,2389.0
0,885.0,143,3081.0
0,890.0,151,3821.0
0,895.0,63,2291.0
0,900.0,97,1318.0
0,905.0,139,1190.0
0,910.0,150,1814.0
0,915.0,158,2580.0
0,920.0,166,3387.0
0,925.0,173,4239.0
0,930.0,101,3925.0
0,935.0,76,2493.0
0,940.0,125,1048.0
0,945.0,132,1457.0
0,950.0,140,2083.0
0,955.0,146,2789.0
0,960.0,153,3538.0
0,965.0,124,3226.0
0,970.0,56,2525.0
0,975.0,113,1206.0
0,980.0,133,1219.0
0,985.0,146,1906.0
0,990.0,158,2672.0
0,995.0,166,3480.0
0,1000.0,176,4338.0
0,1005.0,92,3104.0
0,1010.0,92,1870.0
0,1015.0,133,1305.0
0,1020.0,137,1687.0
0,1025.0,140,2287.0
0,1030.0,145,2956.0
0,1035.0,149,3680.0
0,1040.0,100,3305.0
0,1045.0,65,1959.0
0,1050.0,122,1224.0
0,1055.0,147,1374.0
0,1060.0,154,2115.0
0,1065.0,162,2909.0
0,1070.0,171,3746.0
0,1075.0,178,4623.0
0,1080.0,70,3068.0
0,1085.0,86,1893.0
0,1090.0,112,1135.0
0,1095.0,119,1536.0
0,1100.0,129,2124.0
0,1105.0,132,2771.0
0,1110.0,138,3448.0
0,1115.0,69,2984.0
0,1120.0,72,1601.0
0,1125.0,113,886.0
0,1130.0,126,1331.0
0,1135.0,135,1975.0
0,1140.0,144,2679.0
0,1145.0,151,3415.0
0,1150.0,124,3093.0
0,1155.0,53,2468.0
0,1160.0,94,1163.0
0,1165.0,113,1084.0
0,1170.0,118,1593.0
0,1175.0,123,2172.0
0,1180.0,130,2801.0
0,1185.0,136,3465.0
0,1190.0,65,2268.0
0,1195.0,80,1185.0
0,1200.0,128,1031.0
0,1205.0,136,1545.0
0,1210.0,144,2231.0
0,1215.0,149,2960.0
0,1220.0,158,3727.0
0,1225.0,102,3387.0
0,1230.0,65,2142.0
0,1235.0,105,1232.0
0,1240.0,115,1202.0
0,1245.0,119,1726.0
0,1250.0,125,2334.0
0,1255.0,132,2981.0
0,1260.0,138,3660.0
0,1265.0,50,2047.0
0,1270.0,83,1106.0
0,1275.0,115,958.0
0,1280.0,121,1524.0
0,1285.0,127,2147.0
0,1290.0,134,2804.0
0,1295.0,148,3515.0
0,1300.0,76,3171.0
0,1305.0,67,1794.0
0,1310.0,106,826.0
0,1315.0,115,1245.0
0,1320.0,117,1810.0
0,1325.0,121,2410.0
0,1330.0,126,3032.0
0,1335.0,100,2597.0
0,1340.0,45,1933.0
0,1345.0,96,774.0
0,1350.0,119,1015.0
0,1355.0,125,1618.0
0,1360.0,131,2268.0
0,1365.0,138,2947.0
0,1370.0,146,3662.0
0,1375.0,67,2520.0
0,1380.0,77,1436.0
0,1385.0,106,1010.0
0,1390.0,116,1350.0
0,1395.0,126,1930.0
