step_time,total_stopped,total_wait_time
305.0,78,7377.0
310.0,80,5832.0
315.0,61,2797.0
320.0,60,1569.0
325.0,65,1714.0
330.0,68,1998.0
335.0,61,2163.0
340.0,73,2287.0
345.0,85,2632.0
350.0,100,3097.0
355.0,69,2038.0
360.0,109,1349.0
365.0,164,1658.0
370.0,171,2431.0
375.0,176,3187.0
380.0,177,3909.0
385.0,185,4511.0
390.0,184,5004.0
395.0,192,5459.0
400.0,192,5877.0
405.0,154,5617.0
410.0,111,4425.0
415.0,93,3041.0
420.0,82,2611.0
425.0,99,2502.0
430.0,123,2558.0
435.0,142,2730.0
440.0,150,2863.0
445.0,160,2911.0
450.0,162,3131.0
455.0,156,3377.0
460.0,161,3503.0
465.0,179,3939.0
470.0,192,4670.0
475.0,189,5061.0
480.0,176,5023.0
485.0,174,4695.0
490.0,169,4299.0
495.0,175,4487.0
500.0,180,4722.0
505.0,172,4733.0
510.0,182,4899.0
515.0,189,5203.0
520.0,177,5610.0
525.0,181,5700.0
530.0,184,5747.0
535.0,187,5989.0
540.0,209,6380.0
545.0,216,6923.0
550.0,204,6971.0
555.0,171,6523.0
560.0,150,6349.0
565.0,148,6363.0
570.0,157,6353.0
575.0,154,6061.0
580.0,162,5870.0
585.0,166,5543.0
590.0,189,5444.0
595.0,191,5078.0
600.0,180,5134.0
605.0,178,4849.0
610.0,171,4668.0
615.0,176,4765.0
620.0,183,5070.0
625.0,190,5382.0
630.0,179,5404.0
635.0,160,5076.0
640.0,123,4608.0
645.0,138,4292.0
650.0,160,4344.0
655.0,163,4434.0
660.0,181,4767.0
665.0,206,5062.0
670.0,240,5626.0
675.0,234,6349.0
680.0,232,6882.0
685.0,234,7461.0
690.0,244,7997.0
695.0,250,8211.0
700.0,246,8328.0
705.0,237,8401.0
710.0,228,8336.0
715.0,234,8502.0
720.0,234,8500.0
725.0,233,8445.0
730.0,207,8336.0
735.0,194,8053.0
740.0,192,7871.0
745.0,204,7781.0
750.0,201,8185.0
755.0,212,8621.0
760.0,246,8997.0
765.0,241,9445.0
770.0,230,9889.0
775.0,234,10312.0
780.0,217,10476.0
785.0,208,10072.0
790.0,184,9397.0
795.0,162,8008.0
800.0,138,6347.0
805.0,129,4726.0
810.0,162,3921.0
815.0,186,4125.0
820.0,199,4412.0
825.0,224,4570.0
830.0,226,4779.0
835.0,215,5026.0
840.0,213,5139.0
845.0,213,5365.0
850.0,211,5606.0
855.0,195,5657.0
860.0,195,5512.0
865.0,195,5746.0
870.0,197,5944.0
875.0,185,6003.0
880.0,171,5499.0
885.0,139,4714.0
890.0,129,3952.0
895.0,136,3420.0
900.0,139,3244.0
905.0,151,3305.0
910.0,150,3292.0
915.0,179,3504.0
920.0,191,3978.0
925.0,159,4074.0
930.0,147,3771.0
935.0,162,3633.0
940.0,179,3528.0
945.0,200,3852.0
950.0,220,4287.0
955.0,233,4748.0
960.0,251,5278.0
965.0,258,5991.0
970.0,245,6472.0
975.0,220,6699.0
980.0,201,6609.0
985.0,188,6473.0
990.0,190,6283.0
995.0,200,5973.0
1000.0,205,5487.0
1005.0,180,5068.0
1010.0,159,4628.0
1015.0,155,4151.0
1020.0,152,4051.0
1025.0,154,3855.0
1030.0,150,3914.0
1035.0,160,3975.0
1040.0,173,4233.0
1045.0,202,4660.0
1050.0,198,4789.0
1055.0,164,4382.0
1060.0,155,4119.0
1065.0,145,3882.0
1070.0,143,3834.0
1075.0,169,3791.0
1080.0,178,3891.0
1085.0,192,4166.0
1090.0,202,4523.0
1095.0,212,5089.0
1100.0,194,5130.0
1105.0,166,4759.0
1110.0,188,4554.0
1115.0,215,4928.0
1120.0,244,5330.0
1125.0,275,5990.0
1130.0,279,6589.0
1135.0,266,7104.0
1140.0,244,7267.0
1145.0,211,7239.0
1150.0,190,7055.0
1155.0,199,7146.0
1160.0,232,7485.0
1165.0,276,8264.0
1170.0,291,9084.0
