,step,total_stopped
0,305.0,21.0
1,310.0,21.0
2,315.0,58.0
3,320.0,66.75
4,325.0,72.25
5,330.0,70.0
6,335.0,70.0
7,340.0,74.0
8,345.0,67.0
9,350.0,67.75
10,355.0,68.25
11,360.0,66.0
12,365.0,69.0
13,370.0,73.0
14,375.0,66.75
15,380.0,64.5
16,385.0,71.5
17,390.0,67.25
18,395.0,70.25
19,400.0,72.25
20,405.0,71.0
21,410.0,66.75
22,415.0,72.25
23,420.0,70.0
24,425.0,68.0
25,430.0,69.0
26,435.0,69.0
27,440.0,65.75
28,445.0,72.5
29,450.0,68.25
30,455.0,71.5
31,460.0,73.5
32,465.0,67.5
33,470.0,71.25
34,475.0,74.5
35,480.0,69.25
36,485.0,74.75
37,490.0,75.5
38,495.0,70.5
39,500.0,68.0
40,505.0,74.5
41,510.0,69.5
42,515.0,72.25
43,520.0,74.5
44,525.0,69.25
45,530.0,72.75
46,535.0,75.75
47,540.0,72.25
48,545.0,71.0
49,550.0,72.25
50,555.0,68.75
51,560.0,68.0
52,565.0,76.75
53,570.0,72.5
54,575.0,70.0
55,580.0,73.0
56,585.0,70.5
57,590.0,68.5
58,595.0,74.0
59,600.0,70.5
60,605.0,69.75
61,610.0,75.75
62,615.0,69.75
63,620.0,71.25
64,625.0,74.0
65,630.0,72.0
66,635.0,68.5
67,640.0,73.0
68,645.0,68.5
69,650.0,70.75
70,655.0,74.0
71,660.0,68.75
72,665.0,68.75
73,670.0,74.0
74,675.0,69.75
75,680.0,71.5
76,685.0,73.75
77,690.0,69.75
78,695.0,66.75
79,700.0,77.5
80,705.0,69.75
81,710.0,69.5
82,715.0,76.25
83,720.0,70.5
84,725.0,68.25
85,730.0,75.5
86,735.0,72.25
87,740.0,71.0
88,745.0,73.0
89,750.0,68.5
90,755.0,69.5
91,760.0,77.75
92,765.0,74.0
93,770.0,72.5
94,775.0,72.0
95,780.0,70.5
96,785.0,68.5
97,790.0,76.75
98,795.0,72.0
99,800.0,68.5
100,805.0,71.75
101,810.0,66.5
102,815.0,69.5
103,820.0,72.5
104,825.0,68.0
105,830.0,67.5
106,835.0,69.75
107,840.0,68.75
108,845.0,70.25
109,850.0,70.0
110,855.0,70.75
111,860.0,67.25
112,865.0,74.75
113,870.0,72.0
114,875.0,70.5
115,880.0,75.0
116,885.0,69.5
117,890.0,69.5
118,895.0,74.75
119,900.0,70.25
120,905.0,69.0
121,910.0,76.25
122,915.0,70.25
123,920.0,68.75
124,925.0,73.0
125,930.0,66.0
126,935.0,66.25
127,940.0,71.25
128,945.0,68.25
129,950.0,69.25
130,955.0,73.25
131,960.0,66.25
132,965.0,65.0
133,970.0,73.5
134,975.0,70.0
135,980.0,66.5
136,985.0,75.5
137,990.0,70.0
138,995.0,68.25
139,1000.0,72.0
140,1005.0,70.0
141,1010.0,70.0
142,1015.0,75.5
143,1020.0,68.25
144,1025.0,68.75
145,1030.0,72.0
146,1035.0,68.75
147,1040.0,71.0
148,1045.0,73.75
149,1050.0,66.5
150,1055.0,67.75
151,1060.0,76.25
152,1065.0,70.0
153,1070.0,69.0
154,1075.0,75.75
155,1080.0,69.5
156,1085.0,66.5
157,1090.0,74.5
158,1095.0,69.75
159,1100.0,65.5
160,1105.0,73.75
161,1110.0,67.75
162,1115.0,68.75
163,1120.0,75.25
164,1125.0,70.75
165,1130.0,68.5
166,1135.0,75.75
167,1140.0,68.5
168,1145.0,70.75
169,1150.0,78.0
170,1155.0,68.75
171,1160.0,71.75
172,1165.0,77.25
173,1170.0,66.25
174,1175.0,69.25
175,1180.0,71.5
176,1185.0,69.25
177,1190.0,68.0
178,1195.0,75.0
179,1200.0,72.25
180,1205.0,69.75
181,1210.0,73.0
182,1215.0,69.5
183,1220.0,69.75
184,1225.0,72.75
185,1230.0,68.75
186,1235.0,68.5
187,1240.0,75.0
188,1245.0,72.25
189,1250.0,67.5
190,1255.0,72.5
191,1260.0,68.25
192,1265.0,67.0
193,1270.0,73.25
194,1275.0,65.5
195,1280.0,66.0
196,1285.0,72.5
197,1290.0,64.5
198,1295.0,67.75
199,1300.0,72.0
200,1305.0,69.0
201,1310.0,66.0
202,1315.0,69.0
203,1320.0,68.5
204,1325.0,67.75
205,1330.0,74.5
206,1335.0,68.75
207,1340.0,70.25
208,1345.0,73.5
209,1350.0,69.5
210,1355.0,72.5
211,1360.0,73.0
212,1365.0,71.25
213,1370.0,70.75
214,1375.0,76.0
215,1380.0,66.0
216,1385.0,70.75
217,1390.0,74.5
218,1395.0,67.75
219,1400.0,66.75
220,1405.0,70.5
221,1410.0,69.0
222,1415.0,66.0
223,1420.0,74.0
224,1425.0,72.0
225,1430.0,68.5
226,1435.0,73.0
227,1440.0,72.25
228,1445.0,69.25
229,1450.0,71.5
230,1455.0,70.25
231,1460.0,70.75
232,1465.0,73.5
233,1470.0,69.0
234,1475.0,68.75
235,1480.0,75.5
236,1485.0,70.0
237,1490.0,72.75
238,1495.0,72.25
239,1500.0,63.75
240,1505.0,68.25
241,1510.0,75.75
242,1515.0,72.0
243,1520.0,72.75
244,1525.0,74.25
245,1530.0,69.0
246,1535.0,71.25
247,1540.0,72.5
248,1545.0,65.5
249,1550.0,68.0
250,1555.0,74.5
251,1560.0,67.5
252,1565.0,68.75
253,1570.0,74.5
254,1575.0,70.0
255,1580.0,66.75
256,1585.0,76.75
257,1590.0,68.0
258,1595.0,69.75
259,1600.0,72.5
260,1605.0,71.75
261,1610.0,72.25
262,1615.0,76.25
263,1620.0,68.5
264,1625.0,66.0
265,1630.0,73.0
266,1635.0,73.25
267,1640.0,70.75
268,1645.0,74.25
269,1650.0,73.25
270,1655.0,68.0
271,1660.0,74.25
272,1665.0,67.5
273,1670.0,69.5
274,1675.0,71.25
275,1680.0,73.0
276,1685.0,68.0
277,1690.0,70.0
278,1695.0,65.0
279,1700.0,68.75
280,1705.0,73.5
281,1710.0,73.75
282,1715.0,69.0
283,1720.0,72.0
284,1725.0,68.25
285,1730.0,67.75
286,1735.0,73.0
287,1740.0,70.75
288,1745.0,73.5
289,1750.0,73.0
290,1755.0,70.5
291,1760.0,68.25
292,1765.0,74.5
293,1770.0,70.5
294,1775.0,72.0
295,1780.0,73.25
296,1785.0,68.75
297,1790.0,64.5
298,1795.0,72.5
299,1800.0,69.0
300,1805.0,69.75
301,1810.0,72.0
302,1815.0,70.5
