,step,total_stopped
0,305.0,56
1,310.0,111
2,315.0,74
3,320.0,88
4,325.0,124
5,330.0,110
6,335.0,84
7,340.0,94
8,345.0,98
9,350.0,84
10,355.0,85
11,360.0,79
12,365.0,73
13,370.0,85
14,375.0,71
15,380.0,56
16,385.0,49
17,390.0,47
18,395.0,66
19,400.0,83
20,405.0,68
21,410.0,71
22,415.0,82
23,420.0,79
24,425.0,68
25,430.0,63
26,435.0,75
27,440.0,80
28,445.0,87
29,450.0,76
30,455.0,66
31,460.0,78
32,465.0,77
33,470.0,86
34,475.0,83
35,480.0,76
36,485.0,76
37,490.0,73
38,495.0,76
39,500.0,64
40,505.0,78
41,510.0,111
42,515.0,111
43,520.0,94
44,525.0,69
45,530.0,55
46,535.0,49
47,540.0,59
48,545.0,85
49,550.0,93
50,555.0,80
51,560.0,76
52,565.0,84
53,570.0,92
54,575.0,90
55,580.0,84
56,585.0,73
57,590.0,93
58,595.0,102
59,600.0,99
60,605.0,108
61,610.0,114
62,615.0,105
63,620.0,91
64,625.0,114
65,630.0,120
66,635.0,112
67,640.0,117
68,645.0,87
69,650.0,68
70,655.0,94
71,660.0,94
72,665.0,110
73,670.0,138
74,675.0,122
75,680.0,111
76,685.0,116
77,690.0,98
78,695.0,91
79,700.0,113
80,705.0,102
81,710.0,108
82,715.0,99
83,720.0,103
84,725.0,109
85,730.0,123
86,735.0,106
87,740.0,109
88,745.0,111
89,750.0,99
90,755.0,110
91,760.0,112
92,765.0,108
93,770.0,97
94,775.0,72
95,780.0,84
96,785.0,105
97,790.0,105
98,795.0,85
99,800.0,75
100,805.0,76
101,810.0,78
102,815.0,81
103,820.0,87
104,825.0,96
105,830.0,95
106,835.0,97
107,840.0,109
108,845.0,109
109,850.0,90
110,855.0,80
111,860.0,98
112,865.0,100
113,870.0,84
114,875.0,80
115,880.0,100
116,885.0,100
117,890.0,92
118,895.0,94
119,900.0,95
120,905.0,73
121,910.0,61
122,915.0,78
123,920.0,93
124,925.0,91
125,930.0,95
126,935.0,79
127,940.0,78
128,945.0,78
129,950.0,77
130,955.0,97
131,960.0,101
132,965.0,74
133,970.0,79
134,975.0,68
135,980.0,84
136,985.0,94
137,990.0,75
138,995.0,70
139,1000.0,98
140,1005.0,106
141,1010.0,89
142,1015.0,84
143,1020.0,71
144,1025.0,62
145,1030.0,57
146,1035.0,66
147,1040.0,80
148,1045.0,72
149,1050.0,72
150,1055.0,64
151,1060.0,69
152,1065.0,70
153,1070.0,80
154,1075.0,92
155,1080.0,72
156,1085.0,64
157,1090.0,86
158,1095.0,55
159,1100.0,43
160,1105.0,67
161,1110.0,71
162,1115.0,67
163,1120.0,69
164,1125.0,71
165,1130.0,73
166,1135.0,77
167,1140.0,76
168,1145.0,59
169,1150.0,53
170,1155.0,59
171,1160.0,49
172,1165.0,67
173,1170.0,77
174,1175.0,79
175,1180.0,80
176,1185.0,84
177,1190.0,65
178,1195.0,69
179,1200.0,75
180,1205.0,89
181,1210.0,84
182,1215.0,73
183,1220.0,69
184,1225.0,58
185,1230.0,61
186,1235.0,67
187,1240.0,83
188,1245.0,88
189,1250.0,85
190,1255.0,80
191,1260.0,70
192,1265.0,83
193,1270.0,91
194,1275.0,90
195,1280.0,103
196,1285.0,73
197,1290.0,47
198,1295.0,56
199,1300.0,69
200,1305.0,70
201,1310.0,72
202,1315.0,74
203,1320.0,56
204,1325.0,60
205,1330.0,77
206,1335.0,84
207,1340.0,84
208,1345.0,90
209,1350.0,77
210,1355.0,71
211,1360.0,70
212,1365.0,70
213,1370.0,83
214,1375.0,102
215,1380.0,85
216,1385.0,82
217,1390.0,90
218,1395.0,52
219,1400.0,69
220,1405.0,86
221,1410.0,81
222,1415.0,69
223,1420.0,62
224,1425.0,54
225,1430.0,53
226,1435.0,74
227,1440.0,79
228,1445.0,77
229,1450.0,68
230,1455.0,48
231,1460.0,59
232,1465.0,67
233,1470.0,68
234,1475.0,68
