,step,total_stopped
0,305.0,56
1,310.0,99
2,315.0,74
3,320.0,78
4,325.0,95
5,330.0,69
6,335.0,82
7,340.0,94
8,345.0,66
9,350.0,54
10,355.0,103
11,360.0,101
12,365.0,99
13,370.0,103
14,375.0,75
15,380.0,67
16,385.0,88
17,390.0,72
18,395.0,70
19,400.0,83
20,405.0,67
21,410.0,76
22,415.0,112
23,420.0,111
24,425.0,103
25,430.0,86
26,435.0,69
27,440.0,91
28,445.0,109
29,450.0,126
30,455.0,106
31,460.0,91
32,465.0,99
33,470.0,85
34,475.0,81
35,480.0,81
36,485.0,86
37,490.0,102
38,495.0,102
39,500.0,102
40,505.0,119
41,510.0,120
42,515.0,126
43,520.0,123
44,525.0,82
45,530.0,62
46,535.0,68
47,540.0,74
48,545.0,87
49,550.0,112
50,555.0,103
51,560.0,94
52,565.0,80
53,570.0,86
54,575.0,106
55,580.0,102
56,585.0,97
57,590.0,78
58,595.0,77
59,600.0,61
60,605.0,66
61,610.0,97
62,615.0,103
63,620.0,108
64,625.0,118
65,630.0,129
66,635.0,139
67,640.0,142
68,645.0,115
69,650.0,77
70,655.0,88
71,660.0,96
72,665.0,97
73,670.0,103
74,675.0,107
75,680.0,114
76,685.0,118
77,690.0,100
78,695.0,90
79,700.0,108
80,705.0,111
81,710.0,107
82,715.0,109
83,720.0,109
84,725.0,97
85,730.0,110
86,735.0,86
87,740.0,93
88,745.0,118
89,750.0,127
90,755.0,129
91,760.0,115
92,765.0,104
93,770.0,80
94,775.0,101
95,780.0,103
96,785.0,98
97,790.0,133
98,795.0,112
99,800.0,91
100,805.0,100
101,810.0,90
102,815.0,94
103,820.0,113
104,825.0,110
105,830.0,115
106,835.0,139
107,840.0,129
108,845.0,107
109,850.0,88
110,855.0,76
111,860.0,76
112,865.0,107
113,870.0,120
114,875.0,116
115,880.0,122
116,885.0,83
117,890.0,59
118,895.0,81
119,900.0,75
120,905.0,81
121,910.0,99
122,915.0,97
123,920.0,99
124,925.0,92
125,930.0,83
126,935.0,86
127,940.0,111
128,945.0,92
129,950.0,86
130,955.0,79
131,960.0,70
132,965.0,91
133,970.0,122
134,975.0,122
135,980.0,105
136,985.0,88
137,990.0,82
138,995.0,76
139,1000.0,104
140,1005.0,108
141,1010.0,99
142,1015.0,106
143,1020.0,103
144,1025.0,85
145,1030.0,79
146,1035.0,85
147,1040.0,106
148,1045.0,116
149,1050.0,94
150,1055.0,118
151,1060.0,113
152,1065.0,90
153,1070.0,61
154,1075.0,79
155,1080.0,81
156,1085.0,77
157,1090.0,87
158,1095.0,96
159,1100.0,110
160,1105.0,119
161,1110.0,101
162,1115.0,99
163,1120.0,98
164,1125.0,73
165,1130.0,102
166,1135.0,135
167,1140.0,106
168,1145.0,88
169,1150.0,115
170,1155.0,106
171,1160.0,103
172,1165.0,127
173,1170.0,116
174,1175.0,93
175,1180.0,100
176,1185.0,56
177,1190.0,62
178,1195.0,98
179,1200.0,102
180,1205.0,113
181,1210.0,143
182,1215.0,124
183,1220.0,90
184,1225.0,91
185,1230.0,78
186,1235.0,77
187,1240.0,85
188,1245.0,93
189,1250.0,103
190,1255.0,100
191,1260.0,72
192,1265.0,81
193,1270.0,104
194,1275.0,105
195,1280.0,93
196,1285.0,117
197,1290.0,99
198,1295.0,84
199,1300.0,89
200,1305.0,84
201,1310.0,89
202,1315.0,102
203,1320.0,84
204,1325.0,85
205,1330.0,87
206,1335.0,77
207,1340.0,86
208,1345.0,79
209,1350.0,76
210,1355.0,100
211,1360.0,100
212,1365.0,80
213,1370.0,82
214,1375.0,97
215,1380.0,77
216,1385.0,70
217,1390.0,51
218,1395.0,72
219,1400.0,96
220,1405.0,91
221,1410.0,73
222,1415.0,91
223,1420.0,103
224,1425.0,83
225,1430.0,98
226,1435.0,82
227,1440.0,64
228,1445.0,84
229,1450.0,81
230,1455.0,68
231,1460.0,76
232,1465.0,88
233,1470.0,74
234,1475.0,108
235,1480.0,113
236,1485.0,88
237,1490.0,94
238,1495.0,108
239,1500.0,75
240,1505.0,77
241,1510.0,91
242,1515.0,86
243,1520.0,93
244,1525.0,87
245,1530.0,79
246,1535.0,76
247,1540.0,93
248,1545.0,90
249,1550.0,81
250,1555.0,81
251,1560.0,87
252,1565.0,84
253,1570.0,85
254,1575.0,73
255,1580.0,70
256,1585.0,85
257,1590.0,83
258,1595.0,98
259,1600.0,103
260,1605.0,79
261,1610.0,99
262,1615.0,125
263,1620.0,118
264,1625.0,107
265,1630.0,99
266,1635.0,85
267,1640.0,93
268,1645.0,107
269,1650.0,102
270,1655.0,120
271,1660.0,119
272,1665.0,80
273,1670.0,57
274,1675.0,90
275,1680.0,108
276,1685.0,117
277,1690.0,95
278,1695.0,82
279,1700.0,60
280,1705.0,71
281,1710.0,67
282,1715.0,79
283,1720.0,80
284,1725.0,89
285,1730.0,113
286,1735.0,121
287,1740.0,91
288,1745.0,86
289,1750.0,78
290,1755.0,73
291,1760.0,78
292,1765.0,100
293,1770.0,91
294,1775.0,98
295,1780.0,100
296,1785.0,83
297,1790.0,94
298,1795.0,104
299,1800.0,97
300,1805.0,100
301,1810.0,99
302,1815.0,69
303,1820.0,95
304,1825.0,109
305,1830.0,99
306,1835.0,98
307,1840.0,101
308,1845.0,86
309,1850.0,99
310,1855.0,107
311,1860.0,90
312,1865.0,83
313,1870.0,97
314,1875.0,78
315,1880.0,71
316,1885.0,102
317,1890.0,94
318,1895.0,108
319,1900.0,124
320,1905.0,88
321,1910.0,75
322,1915.0,83
323,1920.0,96
324,1925.0,101
325,1930.0,110
326,1935.0,104
327,1940.0,109
328,1945.0,102
329,1950.0,77
330,1955.0,78
331,1960.0,102
332,1965.0,81
333,1970.0,67
334,1975.0,84
335,1980.0,80
336,1985.0,88
337,1990.0,92
338,1995.0,87
339,2000.0,89
340,2005.0,87
341,2010.0,67
342,2015.0,60
343,2020.0,64
344,2025.0,61
345,2030.0,67
346,2035.0,80
347,2040.0,90
348,2045.0,73
349,2050.0,93
350,2055.0,98
351,2060.0,99
352,2065.0,111
353,2070.0,97
354,2075.0,73
355,2080.0,70
356,2085.0,75
357,2090.0,96
358,2095.0,94
359,2100.0,83
360,2105.0,78
361,2110.0,73
362,2115.0,62
363,2120.0,88
364,2125.0,82
365,2130.0,65
366,2135.0,83
367,2140.0,100
368,2145.0,77
369,2150.0,97
370,2155.0,90
371,2160.0,89
372,2165.0,95
373,2170.0,94
