,step,total_stopped
0,305.0,76
1,310.0,84
2,315.0,50
3,320.0,60
4,325.0,91
5,330.0,85
6,335.0,68
7,340.0,90
8,345.0,108
9,350.0,112
10,355.0,113
11,360.0,106
12,365.0,90
13,370.0,75
14,375.0,80
15,380.0,92
16,385.0,122
17,390.0,121
18,395.0,122
19,400.0,101
20,405.0,114
21,410.0,113
22,415.0,132
23,420.0,130
24,425.0,135
25,430.0,108
26,435.0,118
27,440.0,118
28,445.0,126
29,450.0,119
30,455.0,126
31,460.0,118
32,465.0,113
33,470.0,94
34,475.0,80
35,480.0,92
36,485.0,88
37,490.0,116
38,495.0,136
39,500.0,141
40,505.0,166
41,510.0,177
42,515.0,169
43,520.0,129
44,525.0,103
45,530.0,93
46,535.0,81
47,540.0,79
48,545.0,109
49,550.0,105
50,555.0,117
51,560.0,146
52,565.0,146
53,570.0,137
54,575.0,135
55,580.0,113
56,585.0,115
57,590.0,100
58,595.0,98
59,600.0,82
60,605.0,95
61,610.0,118
62,615.0,134
63,620.0,137
64,625.0,131
65,630.0,106
66,635.0,111
67,640.0,102
68,645.0,139
69,650.0,153
70,655.0,151
71,660.0,120
72,665.0,119
73,670.0,115
74,675.0,115
75,680.0,115
76,685.0,127
77,690.0,101
78,695.0,118
79,700.0,116
80,705.0,123
81,710.0,157
82,715.0,174
83,720.0,153
84,725.0,148
85,730.0,157
86,735.0,150
87,740.0,139
88,745.0,127
89,750.0,99
90,755.0,102
91,760.0,118
92,765.0,126
93,770.0,154
94,775.0,169
95,780.0,172
96,785.0,179
97,790.0,163
98,795.0,157
99,800.0,131
100,805.0,136
101,810.0,160
102,815.0,177
103,820.0,178
104,825.0,179
105,830.0,174
106,835.0,183
107,840.0,174
108,845.0,148
109,850.0,151
110,855.0,119
111,860.0,104
112,865.0,124
113,870.0,129
114,875.0,161
115,880.0,150
116,885.0,145
117,890.0,135
118,895.0,146
119,900.0,166
120,905.0,165
121,910.0,155
122,915.0,166
123,920.0,164
124,925.0,161
125,930.0,142
126,935.0,149
127,940.0,136
128,945.0,128
129,950.0,129
130,955.0,145
131,960.0,132
132,965.0,117
133,970.0,94
134,975.0,77
135,980.0,86
136,985.0,104
137,990.0,122
138,995.0,118
139,1000.0,107
140,1005.0,123
141,1010.0,126
142,1015.0,130
143,1020.0,105
144,1025.0,91
145,1030.0,91
146,1035.0,113
147,1040.0,138
148,1045.0,169
149,1050.0,167
150,1055.0,136
151,1060.0,95
152,1065.0,91
153,1070.0,100
154,1075.0,141
155,1080.0,157
156,1085.0,141
157,1090.0,110
158,1095.0,96
159,1100.0,74
160,1105.0,77
161,1110.0,95
162,1115.0,126
163,1120.0,152
164,1125.0,154
165,1130.0,140
166,1135.0,143
167,1140.0,141
168,1145.0,126
169,1150.0,110
170,1155.0,115
171,1160.0,109
172,1165.0,109
173,1170.0,116
174,1175.0,130
175,1180.0,137
176,1185.0,132
177,1190.0,128
178,1195.0,138
179,1200.0,138
180,1205.0,165
181,1210.0,173
182,1215.0,142
183,1220.0,115
184,1225.0,128
185,1230.0,143
186,1235.0,127
187,1240.0,125
188,1245.0,135
189,1250.0,141
190,1255.0,161
191,1260.0,154
192,1265.0,165
193,1270.0,159
194,1275.0,154
195,1280.0,135
196,1285.0,110
197,1290.0,97
198,1295.0,114
199,1300.0,128
200,1305.0,138
201,1310.0,154
202,1315.0,162
203,1320.0,162
204,1325.0,139
205,1330.0,108
206,1335.0,107
207,1340.0,104
208,1345.0,108
209,1350.0,126
210,1355.0,131
211,1360.0,115
212,1365.0,122
213,1370.0,134
214,1375.0,134
215,1380.0,125
216,1385.0,124
217,1390.0,107
218,1395.0,98
219,1400.0,93
220,1405.0,134
221,1410.0,116
222,1415.0,108
223,1420.0,117
224,1425.0,119
225,1430.0,109
226,1435.0,113
227,1440.0,90
228,1445.0,85
229,1450.0,85
230,1455.0,78
231,1460.0,78
232,1465.0,77
233,1470.0,85
234,1475.0,99
235,1480.0,101
236,1485.0,103
237,1490.0,112
238,1495.0,124
239,1500.0,119
240,1505.0,113
241,1510.0,91
242,1515.0,108
243,1520.0,97
244,1525.0,116
245,1530.0,134
246,1535.0,124
247,1540.0,96
248,1545.0,109
249,1550.0,115
250,1555.0,138
251,1560.0,123
252,1565.0,105
253,1570.0,94
254,1575.0,108
255,1580.0,119
256,1585.0,128
257,1590.0,127
258,1595.0,129
259,1600.0,125
260,1605.0,132
261,1610.0,113
262,1615.0,128
263,1620.0,137
264,1625.0,155
265,1630.0,158
266,1635.0,132
267,1640.0,113
268,1645.0,111
269,1650.0,96
270,1655.0,162
271,1660.0,204
272,1665.0,200
273,1670.0,163
274,1675.0,140
275,1680.0,103
276,1685.0,102
277,1690.0,121
278,1695.0,118
279,1700.0,118
280,1705.0,119
281,1710.0,95
282,1715.0,117
283,1720.0,130
284,1725.0,148
285,1730.0,145
286,1735.0,142
287,1740.0,130
288,1745.0,127
289,1750.0,116
290,1755.0,110
291,1760.0,113
292,1765.0,115
293,1770.0,107
294,1775.0,116
295,1780.0,105
296,1785.0,84
297,1790.0,106
298,1795.0,115
299,1800.0,108
300,1805.0,115
301,1810.0,96
302,1815.0,94
303,1820.0,111
304,1825.0,112
305,1830.0,107
306,1835.0,104
307,1840.0,105
308,1845.0,97
309,1850.0,109
310,1855.0,154
311,1860.0,132
312,1865.0,109
313,1870.0,92
314,1875.0,89
315,1880.0,73
316,1885.0,100
317,1890.0,100
