buffer_size,step_time,total_stopped,total_wait_time
0,5.0,0,0.0
0,10.0,0,0.0
0,15.0,0,0.0
0,20.0,3,13.0
0,25.0,7,43.0
0,30.0,10,84.0
0,35.0,6,93.0
0,40.0,1,54.0
0,45.0,2,21.0
0,50.0,2,18.0
0,55.0,3,33.0
0,60.0,4,52.0
0,65.0,1,24.0
0,70.0,3,13.0
0,75.0,7,41.0
0,80.0,10,83.0
0,85.0,13,139.0
0,90.0,16,213.0
0,95.0,12,231.0
0,100.0,6,177.0
0,105.0,1,90.0
0,110.0,2,51.0
0,115.0,3,35.0
0,120.0,4,51.0
0,125.0,2,27.0
0,130.0,6,25.0
0,135.0,9,64.0
0,140.0,12,117.0
0,145.0,14,183.0
0,150.0,18,266.0
0,155.0,14,292.0
0,160.0,9,243.0
0,165.0,4,144.0
0,170.0,2,84.0
0,175.0,3,53.0
0,180.0,4,53.0
0,185.0,1,23.0
0,190.0,7,23.0
0,195.0,5,39.0
0,200.0,1,12.0
0,205.0,2,15.0
0,210.0,3,29.0
0,215.0,4,48.0
0,220.0,5,71.0
0,225.0,1,38.0
0,230.0,4,11.0
0,235.0,6,38.0
0,240.0,3,43.0
0,245.0,1,14.0
0,250.0,2,10.0
0,255.0,1,1.0
0,260.0,6,25.0
0,265.0,3,39.0
0,270.0,1,17.0
0,275.0,3,21.0
0,280.0,8,54.0
0,285.0,15,118.0
0,290.0,18,200.0
0,295.0,21,298.0
0,300.0,24,410.0
0,305.0,20,455.0
0,310.0,14,418.0
0,315.0,9,316.0
0,320.0,5,250.0
2,325.0,3,149.0
1,330.0,4,101.0
1,335.0,0,62.0
0,340.0,7,62.0
0,345.0,13,115.0
0,350.0,12,143.0
0,355.0,8,117.0
0,360.0,2,87.0
0,365.0,3,53.0
0,370.0,4,49.0
0,375.0,5,64.0
0,380.0,1,34.0
0,385.0,5,22.0
0,390.0,3,34.0
0,395.0,1,15.0
0,400.0,2,9.0
0,405.0,1,3.0
0,410.0,6,27.0
0,415.0,4,43.0
0,420.0,1,22.0
0,425.0,2,12.0
0,430.0,3,6.0
0,435.0,7,30.0
0,440.0,11,78.0
0,445.0,14,141.0
0,450.0,16,218.0
0,455.0,19,306.0
0,460.0,17,341.0
0,465.0,9,292.0
0,470.0,7,185.0
0,475.0,2,129.0
0,480.0,3,71.0
0,485.0,4,52.0
0,490.0,2,26.0
0,495.0,8,33.0
0,500.0,7,53.0
0,505.0,1,43.0
0,510.0,2,21.0
0,515.0,2,12.0
0,520.0,7,33.0
0,525.0,13,87.0
0,530.0,11,119.0
0,535.0,4,107.0
0,540.0,2,97.0
0,545.0,7,124.0
0,550.0,7,130.0
0,555.0,5,90.0
0,560.0,2,43.0
0,565.0,2,29.0
0,570.0,3,34.0
0,575.0,4,50.0
0,580.0,2,25.0
0,585.0,7,28.0
0,590.0,5,45.0
0,595.0,1,29.0
0,600.0,2,15.0
0,605.0,2,4.0
0,610.0,7,27.0
0,615.0,6,50.0
0,620.0,1,31.0
0,625.0,2,18.0
