step_time,total_stopped,total_wait_time
5.0,0,0.0
10.0,0,0.0
15.0,0,0.0
20.0,2,8.0
25.0,6,29.0
30.0,9,69.0
35.0,12,124.0
40.0,13,187.0
45.0,16,260.0
50.0,17,344.0
55.0,18,434.0
60.0,21,532.0
65.0,25,650.0
70.0,29,787.0
75.0,29,932.0
80.0,32,1089.0
85.0,33,1250.0
90.0,37,1428.0
95.0,38,1618.0
100.0,38,1808.0
105.0,32,1814.0
110.0,23,1620.0
115.0,19,1718.0
120.0,15,1802.0
125.0,15,1873.0
130.0,22,1966.0
135.0,29,2095.0
140.0,35,2257.0
145.0,32,2215.0
150.0,24,1931.0
155.0,16,1823.0
160.0,12,1889.0
165.0,13,1948.0
170.0,19,2031.0
175.0,25,2143.0
180.0,32,2285.0
185.0,37,2462.0
190.0,38,2652.0
195.0,38,2842.0
200.0,38,3032.0
205.0,32,2926.0
210.0,24,2533.0
215.0,16,2499.0
220.0,12,2564.0
225.0,13,2622.0
230.0,20,2707.0
235.0,27,2828.0
240.0,35,2986.0
245.0,38,3167.0
250.0,38,3357.0
255.0,38,3547.0
260.0,32,3392.0
265.0,22,2878.0
270.0,14,2809.0
275.0,13,2880.0
280.0,13,2937.0
285.0,13,2675.0
290.0,11,2113.0
295.0,12,2012.0
300.0,14,2076.0
305.0,15,2144.0
310.0,21,2239.0
315.0,28,2368.0
320.0,35,2529.0
325.0,38,2711.0
330.0,38,2901.0
335.0,38,3091.0
340.0,32,2888.0
345.0,23,2234.0
350.0,16,2171.0
355.0,11,2234.0
360.0,13,2292.0
365.0,19,2379.0
370.0,20,2174.0
375.0,16,1570.0
380.0,16,1649.0
385.0,15,1721.0
390.0,15,1790.0
395.0,16,1580.0
400.0,14,1229.0
405.0,12,1170.0
410.0,12,1232.0
415.0,9,1060.0
420.0,6,734.0
425.0,4,686.0
430.0,6,712.0
435.0,12,760.0
440.0,13,672.0
445.0,13,445.0
450.0,11,496.0
455.0,12,558.0
460.0,13,619.0
465.0,22,711.0
470.0,28,838.0
475.0,35,1001.0
480.0,38,1187.0
485.0,32,1164.0
490.0,24,1048.0
495.0,15,1007.0
500.0,10,1066.0
505.0,12,1117.0
510.0,18,1194.0
515.0,25,1305.0
520.0,33,1456.0
525.0,36,1633.0
530.0,31,1628.0
535.0,25,1466.0
540.0,18,1560.0
545.0,15,1632.0
550.0,9,1524.0
555.0,4,1263.0
560.0,3,1145.0
565.0,8,1170.0
570.0,12,1220.0
575.0,15,1135.0
580.0,11,892.0
585.0,9,864.0
590.0,11,916.0
595.0,14,973.0
600.0,13,878.0
605.0,12,562.0
610.0,10,615.0
615.0,12,674.0
620.0,9,566.0
625.0,7,399.0
630.0,8,424.0
635.0,14,480.0
640.0,16,547.0
645.0,23,644.0
650.0,29,776.0
655.0,30,784.0
660.0,22,657.0
665.0,15,744.0
