step_time,total_stopped,total_wait_time
5.0,0,0.0
10.0,0,0.0
15.0,0,0.0
20.0,4,2.0
25.0,8,4.0
30.0,10,5.0
35.0,15,7.5
40.0,19,9.5
45.0,24,12.0
50.0,27,13.5
55.0,28,14.0
60.0,30,15.0
65.0,34,17.0
70.0,38,19.0
75.0,38,19.0
80.0,38,19.0
85.0,38,19.0
90.0,38,19.0
95.0,38,19.0
100.0,38,19.0
105.0,38,19.0
110.0,38,19.0
115.0,38,19.0
120.0,38,19.0
125.0,38,19.0
130.0,38,19.0
135.0,38,19.0
140.0,38,19.0
145.0,38,19.0
150.0,38,19.0
155.0,38,19.0
160.0,38,19.0
165.0,38,19.0
170.0,38,19.0
175.0,38,19.0
180.0,38,19.0
185.0,38,19.0
190.0,38,19.0
195.0,38,19.0
200.0,38,19.0
205.0,38,19.0
210.0,38,19.0
215.0,38,19.0
220.0,38,19.0
225.0,32,16.0
230.0,24,12.0
235.0,16,8.0
240.0,13,6.5
245.0,13,6.5
250.0,21,10.5
255.0,28,14.0
260.0,34,17.0
265.0,36,18.0
270.0,37,18.5
275.0,38,19.0
280.0,38,19.0
285.0,38,19.0
290.0,38,19.0
295.0,38,19.0
300.0,38,19.0
305.0,38,19.0
310.0,38,19.0
315.0,38,19.0
320.0,32,16.0
325.0,23,11.5
330.0,16,8.0
335.0,14,7.0
340.0,15,7.5
345.0,19,9.5
350.0,27,13.5
355.0,34,17.0
360.0,37,18.5
365.0,38,19.0
370.0,38,19.0
375.0,38,19.0
380.0,32,16.0
385.0,23,11.5
390.0,15,7.5
395.0,13,6.5
400.0,14,7.0
405.0,15,7.5
410.0,13,6.5
415.0,11,5.5
420.0,11,5.5
425.0,16,8.0
430.0,20,10.0
435.0,27,13.5
440.0,34,17.0
445.0,35,17.5
450.0,38,19.0
455.0,33,16.5
460.0,23,11.5
465.0,15,7.5
470.0,13,6.5
475.0,14,7.0
480.0,21,10.5
485.0,26,13.0
490.0,35,17.5
495.0,38,19.0
500.0,32,16.0
505.0,22,11.0
510.0,15,7.5
515.0,12,6.0
520.0,12,6.0
525.0,18,9.0
530.0,25,12.5
535.0,32,16.0
540.0,36,18.0
545.0,38,19.0
550.0,33,16.5
555.0,24,12.0
560.0,14,7.0
565.0,11,5.5
570.0,14,7.0
575.0,13,6.5
580.0,12,6.0
585.0,10,5.0
590.0,11,5.5
595.0,15,7.5
600.0,15,7.5
605.0,11,5.5
610.0,11,5.5
615.0,6,3.0
620.0,8,4.0
625.0,13,6.5
630.0,20,10.0
635.0,22,11.0
640.0,18,9.0
645.0,16,8.0
650.0,12,6.0
655.0,15,7.5
660.0,14,7.0
665.0,10,5.0
670.0,12,6.0
675.0,11,5.5
680.0,14,7.0
685.0,14,7.0
690.0,10,5.0
695.0,12,6.0
700.0,13,6.5
705.0,16,8.0
710.0,22,11.0
