reward,step_time,total_stopped,total_wait_time
0.0,5.0,0,0.0
0.0,10.0,0,0.0
0.0,15.0,0,0.0
0.0,20.0,1,3.0
-3.0,25.0,5,21.0
-18.0,30.0,10,59.0
-38.0,35.0,13,122.0
-63.0,40.0,17,202.0
-80.0,45.0,20,296.0
-94.0,50.0,24,412.0
-116.0,55.0,27,544.0
-132.0,60.0,32,695.0
-151.0,65.0,35,863.0
-168.0,70.0,37,1048.0
-185.0,75.0,38,1237.0
-189.0,80.0,38,1427.0
-190.0,85.0,32,1478.0
-51.0,90.0,23,1371.0
107.0,95.0,16,1398.0
-27.0,100.0,14,1472.0
-74.0,105.0,14,1538.0
-66.0,110.0,19,1628.0
-90.0,115.0,26,1749.0
-121.0,120.0,33,1903.0
-154.0,125.0,38,2087.0
-184.0,130.0,38,2277.0
-190.0,135.0,38,2467.0
-190.0,140.0,38,2657.0
-190.0,145.0,32,2621.0
36.0,150.0,24,2339.0
282.0,155.0,16,2328.0
11.0,160.0,13,2397.0
-69.0,165.0,15,2458.0
-61.0,170.0,21,2549.0
-91.0,175.0,26,2670.0
-121.0,180.0,33,2824.0
-154.0,185.0,38,3005.0
-181.0,190.0,32,2917.0
88.0,195.0,22,2538.0
379.0,200.0,17,2512.0
26.0,205.0,13,2585.0
-73.0,210.0,14,2645.0
-60.0,215.0,14,2452.0
193.0,220.0,13,1996.0
456.0,225.0,12,1922.0
74.0,230.0,14,1989.0
-67.0,235.0,12,2049.0
-60.0,240.0,19,2134.0
-85.0,245.0,27,2255.0
-121.0,250.0,33,2405.0
-150.0,255.0,36,2581.0
-176.0,260.0,32,2437.0
144.0,265.0,23,1824.0
613.0,270.0,17,1911.0
-87.0,275.0,15,1985.0
-74.0,280.0,13,2049.0
-64.0,285.0,20,2139.0
-90.0,290.0,28,2264.0
-125.0,295.0,35,2423.0
-159.0,300.0,38,2608.0
-185.0,305.0,32,2433.0
175.0,310.0,23,1976.0
457.0,315.0,15,1355.0
621.0,320.0,7,1390.0
-35.0,325.0,8,1420.0
-30.0,330.0,13,1472.0
-52.0,335.0,19,1556.0
-84.0,340.0,25,1671.0
-115.0,345.0,34,1823.0
-152.0,350.0,32,1763.0
