buffer_size,step_time,total_stopped,total_wait_time
0,5.0,0,0.0
0,10.0,0,0.0
0,15.0,0,0.0
0,20.0,3,9.0
0,25.0,3,24.0
0,30.0,5,41.0
0,35.0,6,69.0
0,40.0,7,104.0
0,45.0,8,141.0
0,50.0,2,60.0
0,55.0,2,9.0
0,60.0,7,28.0
0,65.0,10,73.0
0,70.0,13,130.0
0,75.0,18,209.0
0,80.0,21,311.0
0,85.0,24,423.0
0,90.0,27,551.0
0,95.0,18,516.0
0,100.0,13,455.0
0,105.0,11,340.0
1,110.0,4,226.0
1,115.0,4,143.0
0,120.0,5,101.0
0,125.0,6,86.0
0,130.0,6,107.0
0,135.0,4,72.0
0,140.0,2,37.0
0,145.0,4,18.0
0,150.0,7,49.0
0,155.0,10,94.0
0,160.0,12,150.0
0,165.0,16,225.0
0,170.0,19,316.0
0,175.0,22,420.0
0,180.0,23,463.0
0,185.0,17,415.0
0,190.0,12,365.0
0,195.0,5,257.0
2,200.0,5,182.0
1,205.0,5,133.0
1,210.0,7,101.0
1,215.0,7,122.0
0,220.0,10,165.0
0,225.0,6,138.0
0,230.0,4,67.0
0,235.0,10,55.0
0,240.0,13,111.0
0,245.0,15,179.0
0,250.0,16,255.0
0,255.0,22,353.0
0,260.0,27,476.0
0,265.0,30,621.0
0,270.0,25,601.0
0,275.0,19,555.0
3,280.0,13,458.0
6,285.0,5,344.0
7,290.0,4,251.0
7,295.0,5,153.0
7,300.0,6,111.0
6,305.0,8,117.0
0,310.0,9,158.0
0,315.0,3,73.0
0,320.0,8,47.0
0,325.0,15,96.0
0,330.0,15,171.0
0,335.0,18,257.0
0,340.0,21,356.0
0,345.0,23,466.0
0,350.0,24,583.0
0,355.0,25,627.0
0,360.0,21,622.0
0,365.0,16,515.0
4,370.0,13,436.0
5,375.0,4,290.0
6,380.0,5,208.0
3,385.0,5,160.0
2,390.0,6,128.0
2,395.0,7,148.0
0,400.0,4,106.0
1,405.0,5,31.0
0,410.0,10,55.0
0,415.0,16,120.0
0,420.0,23,220.0
0,425.0,25,340.0
0,430.0,29,479.0
0,435.0,32,632.0
1,440.0,37,808.0
5,445.0,32,903.0
6,450.0,23,874.0
9,455.0,17,741.0
12,460.0,9,624.0
14,465.0,5,480.0
13,470.0,8,327.0
13,475.0,9,217.0
11,480.0,11,177.0
9,485.0,12,234.0
9,490.0,7,150.0
9,495.0,8,92.0
6,500.0,13,92.0
3,505.0,19,169.0
2,510.0,25,287.0
5,515.0,32,431.0
6,520.0,38,608.0
8,525.0,38,798.0
10,530.0,38,988.0
12,535.0,28,985.0
17,540.0,20,940.0
20,545.0,12,791.0
25,550.0,2,644.0
24,555.0,4,481.0
25,560.0,6,309.0
23,565.0,6,181.0
20,570.0,7,124.0
18,575.0,5,90.0
15,580.0,4,65.0
15,585.0,9,45.0
14,590.0,14,103.0
12,595.0,19,190.0
12,600.0,26,306.0
10,605.0,31,452.0
9,610.0,35,622.0
11,615.0,38,810.0
13,620.0,34,912.0
14,625.0,25,894.0
