direction,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,ES,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,EW,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SN,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WE,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN,WN
hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,0,0,0,0,0,0,1,3,6,4,4,5,4,1,6,3,11,8,1,0,0,2,0,1,0,2,0,1,0,3,3,23,24,17,9,7,18,9,9,10,11,2,11,0,1,0,1,0,0,0,1,0,0,0,1,3,1,5,4,1,2,2,0,2,4,2,0,1,0,0,0,0,0,1,0,1,1,2,8,9,13,10,25,16,12,17,22,12,21,25,15,3,4,3,2,2,2,0,1,2,1,2,13,32,19,14,7,10,12,19,11,20,9,16,4,4,6,4,1,1,1,1,0,1,0,2,16,21,19,6,8,11,6,8,14,10,14,10,7,6,8,5,4,0,1,1,1,0,4,3,20,19,12,17,26,13,10,13,27,25,34,23,15,9,5,0,8,0,0,0,1,0,0,4,2,4,12,10,6,8,3,7,6,8,8,5,0,0,3,0,0
1,3,0,1,0,0,0,0,1,3,3,5,8,3,3,2,2,6,5,8,2,1,0,0,1,4,1,1,0,0,1,1,10,5,20,4,18,9,15,18,14,11,6,6,3,6,3,2,2,0,0,1,0,0,0,1,1,1,3,2,4,0,1,3,0,1,1,0,2,0,1,0,0,3,2,0,1,0,6,7,6,6,7,18,13,15,14,13,9,8,25,12,10,4,4,2,0,0,2,1,1,1,1,1,19,37,13,14,9,8,13,8,12,19,8,6,3,9,2,2,3,1,2,0,1,3,0,4,13,24,19,14,9,9,12,20,7,17,8,16,6,13,11,2,4,1,0,2,0,0,4,5,7,30,22,25,14,18,22,11,20,19,37,29,8,7,10,3,5,0,0,0,0,0,1,0,1,12,14,6,8,3,9,7,8,1,9,3,3,3,3,0,0
2,0,0,0,0,0,0,0,5,8,0,6,5,3,1,2,3,8,4,6,2,0,3,0,3,0,1,1,1,1,1,3,5,15,10,13,9,13,8,14,12,12,9,4,5,3,7,1,1,0,0,0,1,0,0,0,0,2,3,6,0,1,2,1,2,3,2,4,0,4,1,0,0,1,0,0,2,0,2,4,2,11,12,5,21,16,13,17,20,9,34,15,8,2,4,1,2,3,0,1,0,1,1,2,10,25,29,15,18,15,13,11,17,20,8,13,4,4,5,3,3,0,0,0,0,0,0,1,17,22,19,6,9,8,12,8,15,14,12,19,5,2,3,14,1,2,2,2,0,1,0,5,20,23,15,17,13,10,8,25,30,16,40,25,20,7,6,15,5,1,0,0,0,0,0,1,1,7,13,4,6,7,10,13,8,4,7,5,5,0,2,1,0
3,0,0,0,0,1,1,0,3,5,2,3,7,1,3,3,5,3,12,7,3,0,0,0,1,0,0,0,0,0,0,4,7,11,28,14,21,4,24,7,6,6,9,8,3,1,2,1,1,0,0,0,0,0,0,0,0,2,2,3,0,3,3,3,1,3,3,2,1,0,0,0,0,0,0,0,1,0,0,2,7,11,17,14,11,16,12,11,14,27,16,12,13,9,2,1,5,1,1,0,1,0,4,5,8,28,14,15,15,11,14,17,16,14,9,10,6,6,2,2,1,0,0,0,1,1,0,1,13,19,16,15,13,10,10,18,8,9,8,13,8,6,8,5,3,1,2,0,0,0,2,9,3,21,18,17,18,31,15,13,19,27,33,30,8,14,10,10,0,1,0,0,0,1,1,1,2,9,9,8,7,3,7,5,11,13,15,3,1,1,1,0,0
4,0,0,0,0,0,0,0,1,3,2,6,2,2,1,8,2,5,15,10,1,1,2,0,0,1,1,0,0,0,0,3,10,12,15,21,7,18,4,12,6,13,4,11,9,5,0,4,2,0,0,0,0,0,0,0,0,1,2,0,2,0,2,3,2,5,2,1,1,0,4,0,0,4,1,0,0,3,3,3,4,16,22,19,19,21,14,22,12,11,29,24,3,6,4,0,1,2,1,0,1,0,0,1,8,31,23,15,14,15,13,11,11,19,7,7,5,4,8,0,2,2,2,0,1,0,2,4,14,23,11,9,13,5,11,18,21,11,11,13,12,6,8,8,1,1,1,0,1,1,0,3,19,12,11,18,34,20,15,19,16,24,55,20,14,11,4,2,3,0,0,0,0,0,0,1,1,3,5,10,11,12,12,8,7,6,8,3,1,0,1,0,0
5,0,0,1,0,0,0,0,1,5,3,2,6,6,5,3,6,4,8,8,1,1,2,2,0,0,1,0,0,0,1,5,4,15,10,12,11,10,7,9,15,4,15,5,6,0,1,1,2,0,0,0,0,0,0,0,0,2,0,5,0,3,0,3,2,2,2,1,0,2,0,0,0,2,1,1,0,1,1,1,8,12,9,19,16,19,16,12,24,17,19,20,12,6,0,1,2,0,1,1,0,1,2,0,14,27,15,14,13,15,13,15,11,9,11,8,4,5,2,0,1,1,3,1,1,1,0,0,21,20,17,10,6,11,14,18,12,7,14,11,6,6,4,3,1,5,0,2,0,0,2,2,6,32,28,21,14,17,12,23,23,17,18,45,4,9,5,5,0,0,0,0,0,0,0,0,5,7,5,7,10,4,6,8,5,3,4,6,3,0,1,0,0
6,0,0,0,0,0,0,1,3,2,6,2,3,1,4,3,6,3,13,8,3,2,1,1,0,0,0,1,0,1,1,1,12,2,16,12,13,5,4,8,10,3,11,11,5,3,2,4,0,0,0,0,0,0,0,1,0,0,5,2,2,2,2,2,1,2,5,3,1,1,0,0,0,0,0,1,1,4,2,7,5,8,17,10,19,9,12,23,14,19,26,9,9,6,4,3,0,2,0,0,0,0,2,7,4,23,23,8,21,2,10,14,10,17,9,8,4,4,2,4,2,2,1,3,0,1,1,3,7,27,17,13,9,9,12,17,10,16,8,11,6,4,8,4,5,1,0,0,0,0,3,2,11,9,24,16,24,18,13,19,17,36,29,12,8,13,1,2,1,0,0,1,0,0,1,3,3,8,12,11,5,6,4,5,10,5,5,7,1,4,1,2,0
7,0,0,0,0,0,0,2,3,6,3,1,8,9,4,4,3,5,3,6,1,2,3,0,0,0,0,0,1,0,2,1,15,11,6,18,8,18,4,19,9,19,4,12,1,2,2,1,1,0,0,0,0,0,0,1,2,1,4,3,1,1,4,2,4,1,4,2,0,0,1,1,1,2,0,0,1,5,2,3,4,13,12,10,17,14,13,11,25,19,10,13,8,1,5,2,1,1,0,0,0,3,3,3,17,36,13,14,15,15,15,14,11,13,7,7,6,4,1,4,2,1,1,1,2,1,3,4,18,19,16,12,8,6,17,16,18,4,10,11,3,5,7,7,3,1,0,1,0,2,2,8,6,29,16,17,19,23,19,22,16,29,31,37,10,12,9,1,3,1,0,0,0,0,0,3,0,9,11,3,11,8,8,4,5,7,9,4,2,1,0,0,0
