分钟,路口号+车道号,车流量
2024-10-20 00:00:00,ES,1
2024-10-20 00:00:00,EW,1
2024-10-20 00:00:00,SN,2
2024-10-20 00:00:00,SW,1
2024-10-20 00:01:00,NS,1
2024-10-20 00:01:00,WE,1
2024-10-20 00:02:00,SN,3
2024-10-20 00:02:00,WE,1
2024-10-20 00:03:00,WE,1
2024-10-20 00:03:00,WN,1
2024-10-20 00:04:00,NS,1
2024-10-20 00:04:00,SN,1
2024-10-20 00:04:00,SW,1
2024-10-20 00:05:00,NS,1
2024-10-20 00:05:00,WE,1
2024-10-20 00:06:00,SN,1
2024-10-20 00:06:00,SW,2
2024-10-20 00:06:00,WE,1
2024-10-20 00:07:00,NS,1
2024-10-20 00:07:00,WN,1
2024-10-20 00:08:00,EW,2
2024-10-20 00:08:00,WE,1
2024-10-20 00:09:00,SN,2
2024-10-20 00:09:00,SW,1
2024-10-20 00:09:00,WE,1
2024-10-20 00:09:00,WN,1
2024-10-20 00:10:00,NS,2
2024-10-20 00:10:00,SW,2
2024-10-20 00:10:00,WE,1
2024-10-20 00:11:00,NS,2
2024-10-20 00:11:00,SW,1
2024-10-20 00:11:00,WE,1
2024-10-20 00:12:00,WE,2
2024-10-20 00:13:00,ES,1
2024-10-20 00:13:00,NS,1
2024-10-20 00:13:00,SW,2
2024-10-20 00:13:00,WE,1
2024-10-20 00:13:00,WN,1
2024-10-20 00:14:00,NS,1
2024-10-20 00:14:00,SN,1
2024-10-20 00:15:00,SN,1
2024-10-20 00:15:00,SW,2
2024-10-20 00:16:00,EW,2
2024-10-20 00:16:00,SN,1
2024-10-20 00:17:00,SW,2
2024-10-20 00:17:00,WE,1
2024-10-20 00:17:00,WN,1
2024-10-20 00:18:00,ES,1
2024-10-20 00:18:00,EW,1
2024-10-20 00:19:00,EW,1
2024-10-20 00:19:00,NS,2
2024-10-20 00:19:00,SN,1
2024-10-20 00:19:00,WE,2
2024-10-20 00:20:00,EW,1
2024-10-20 00:20:00,NS,1
2024-10-20 00:20:00,SN,1
2024-10-20 00:20:00,SW,1
2024-10-20 00:21:00,NS,1
2024-10-20 00:21:00,SN,1
2024-10-20 00:21:00,SW,1
2024-10-20 00:21:00,WE,2
2024-10-20 00:21:00,WN,1
2024-10-20 00:22:00,ES,2
2024-10-20 00:22:00,EW,1
2024-10-20 00:22:00,SN,1
2024-10-20 00:22:00,SW,5
2024-10-20 00:22:00,WE,1
2024-10-20 00:23:00,ES,1
2024-10-20 00:23:00,SW,2
2024-10-20 00:24:00,NS,1
2024-10-20 00:24:00,SN,1
2024-10-20 00:24:00,SW,2
2024-10-20 00:24:00,WN,1
2024-10-20 00:25:00,EW,2
2024-10-20 00:25:00,SN,2
2024-10-20 00:25:00,SW,1
2024-10-20 00:26:00,SW,1
2024-10-20 00:27:00,ES,2
2024-10-20 00:27:00,NS,2
2024-10-20 00:27:00,SW,1
2024-10-20 00:27:00,WE,1
2024-10-20 00:28:00,ES,1
2024-10-20 00:28:00,SN,3
2024-10-20 00:28:00,WE,2
2024-10-20 00:29:00,EW,2
